Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
605228,神通科技,2026-06-08,12.34,-1.20%,"形态: 两连阴 (-0.48%, -0.40%)",13.55,14.07,1.18X
601636,旗滨集团,2026-06-08,6.78,-3.56%,趋势: 高于MA20,6.71,6.34,1.34X
600966,博汇纸业,2026-06-10,5.55,-3.81%,"形态: 两连阴 (-1.01%, -2.04%)",5.93,6.43,1.26X
002629,仁智股份,2026-06-10,4.93,-1.79%,"形态: 10日内有涨停 | 形态: 两连阴 (-1.54%, -1.57%)",6.04,6.40,0.72X
001313,粤海饲料,2026-06-08,7.06,-3.68%,"形态: 两连阴 (-0.54%, -0.95%)",8.55,8.14,0.83X
002811,郑中设计,2026-06-08,11.35,0.09%,"形态: 两连阴 (-0.69%, -1.05%)",12.43,13.29,1.42X
605337,李子园,2026-06-10,9.18,-0.76%,"形态: 两连阴 (-2.22%, -0.22%)",9.86,10.56,0.96X
000712,锦龙股份,2026-06-08,8.44,-6.01%,"形态: 两连阴 (-5.06%, -4.37%)",10.58,10.55,0.85X
600722,金牛化工,2026-06-08,10.4,2.36%,量能: 放量 (1.69X),11.24,13.75,1.69X
600748,上实发展,2026-06-08,4.21,-0.94%,"形态: 两连阴 (-4.45%, -0.93%)",4.90,5.08,0.97X
002688,金河生物,2026-06-08,5.03,-3.08%,形态: 10日内有涨停,5.61,5.85,0.93X
000803,山高环能,2026-06-08,7.75,3.75%,"量能: 放量 (1.58X) | 形态: 两连阴 (-0.77%, -2.99%)",8.07,8.47,1.58X
603187,海容冷链,2026-06-10,12.23,-0.73%,"形态: 两连阴 (-2.88%, -1.12%)",13.07,14.28,1.03X
002972,科安达,2026-06-10,12.82,1.99%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),12.50,12.65,0.92X
000739,普洛药业,2026-06-10,15.63,0.84%,"形态: 两连阴 (-1.74%, -2.21%)",16.55,17.44,0.63X
601798,蓝科高新,2026-06-08,7.62,-6.73%,形态: 10日内有涨停,8.40,8.86,0.95X
000716,黑芝麻,2026-06-10,4.71,-3.68%,"形态: 两连阴 (-4.32%, -4.12%)",5.45,5.30,0.64X
603903,中持股份,2026-06-10,11.68,-2.26%,"形态: 10日内有涨停 | 形态: 两连阴 (-3.16%, -0.17%)",12.42,12.02,0.60X
002301,齐心集团,2026-06-08,7.27,-2.81%,"形态: 两连阴 (-4.80%, -0.66%)",7.98,7.33,0.93X
002863,今飞凯达,2026-06-10,12.56,4.41%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.27X) | 形态: 两连阴 (-3.76%, -3.14%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",5.91,5.66,2.27X
605377,华旺科技,2026-06-10,8.15,0.62%,"形态: 两连阴 (-1.55%, -1.94%)",9.04,9.44,0.81X
002774,快意电梯,2026-06-08,11.9,-0.17%,量能: 放量 (1.55X),12.35,11.58,1.55X
605018,长华集团,2026-06-10,16.41,0.61%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,14.70,12.80,0.28X
003018,金富科技,2026-06-08,49.71,-2.70%,形态: 10日内有涨停,59.41,44.28,0.85X
603819,神力股份,2026-06-08,12.08,-2.74%,形态: 10日内有涨停,13.70,13.59,0.68X
603162,海通发展,2026-06-10,10.04,1.01%,"形态: 两连阴 (-7.75%, -0.60%)",12.87,13.95,0.97X
603815,交建股份,2026-06-08,5.84,-1.35%,"形态: 两连阴 (-3.69%, -1.50%)",6.77,6.57,0.61X
603272,联翔股份,2026-06-10,37.38,-5.01%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-5.00%, -5.00%)",37.86,31.29,0.05X
002012,凯恩股份,2026-06-08,7.2,-5.51%,形态: 10日内有涨停,7.69,7.13,0.77X
603085,天成自控,2026-06-10,11.42,-3.38%,"形态: 两连阴 (-2.32%, -3.19%)",13.42,12.20,1.04X
002871,伟隆股份,2026-06-10,21.47,-0.51%,量能: 放量 (2.00X) | 形态: 10日内有涨停 | 趋势: 高于MA20,21.01,18.99,2.00X
600399,抚顺特钢,2026-06-10,4.23,-1.63%,"形态: 两连阴 (-4.79%, -1.60%)",4.87,5.56,0.83X
603218,日月股份,2026-06-08,10.66,-4.31%,"形态: 两连阴 (-2.10%, -0.45%)",12.07,13.52,1.46X
603709,中源家居,2026-06-10,15.27,-0.39%,"形态: 两连阴 (-3.49%, -1.03%)",17.00,17.44,0.96X
600530,交大昂立,2026-06-10,6.05,-3.04%,形态: 10日内有涨停,6.97,5.97,0.84X
600367,红星发展,2026-06-10,58.88,5.99%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),35.43,26.90,0.88X
002598,山东章鼓,2026-06-08,7.48,5.06%,量能: 放量 (1.94X) | 动量: 突破转强 (阳线上穿5/10),7.70,8.39,1.94X
000715,中兴商业,2026-06-10,4.89,-1.61%,"形态: 两连阴 (-3.28%, -0.80%)",5.24,5.66,0.60X
603885,吉祥航空,2026-06-08,10.21,-6.33%,"形态: 两连阴 (-0.18%, -0.37%)",11.33,11.71,1.28X
600848,上海临港,2026-06-08,8.24,-3.63%,"形态: 两连阴 (-4.74%, -1.04%)",8.86,9.44,0.57X
600596,新安股份,2026-06-08,13.58,-5.76%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,12.83,12.21,0.76X
002095,生 意 宝,2026-06-10,9.82,-3.25%,量能: 放量 (2.19X),14.28,15.91,2.19X
600199,金种子酒,2026-06-08,7.07,-3.81%,"形态: 两连阴 (-6.40%, -1.47%)",8.13,8.18,0.72X
600158,中体产业,2026-06-08,9.47,1.18%,"形态: 两连阴 (-2.33%, -3.01%)",11.60,11.37,1.12X
600888,新疆众和,2026-06-10,10.89,4.91%,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-5.61%, -0.48%) | 趋势: 高于MA20",10.48,9.16,1.13X
600279,重庆港,2026-06-10,4.51,-9.98%,"形态: 两连阴 (-4.46%, -10.05%)",5.03,5.04,1.23X
000886,海南高速,2026-06-10,4.36,-0.91%,"形态: 两连阴 (-3.29%, -0.23%)",4.86,5.42,0.81X
603886,元祖股份,2026-06-10,12.25,9.96%,"形态: 10日内有涨停 | 形态: 两连阴 (-7.55%, -1.15%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",11.42,12.27,0.44X
605300,佳禾食品,2026-06-10,9.18,0.77%,"形态: 两连阴 (-3.45%, -1.41%)",10.16,10.64,0.72X
601615,明阳智能,2026-06-08,13.11,-6.89%,"形态: 两连阴 (-1.81%, -3.63%)",16.16,17.12,0.96X
002795,永和智控,2026-06-08,7.23,-4.24%,形态: 10日内有涨停,8.76,8.37,0.68X
600007,中国国贸,2026-06-08,22.25,4.56%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),21.34,21.11,1.28X
601872,招商轮船,2026-06-10,5.53,-1.60%,"形态: 两连阴 (-4.46%, -0.18%)",15.40,17.15,0.13X
600188,兖矿能源,2026-06-10,23.49,-4.90%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,22.62,21.11,0.91X
605555,德昌股份,2026-06-08,16.05,-1.23%,形态: 10日内有涨停 | 趋势: 高于MA20,16.02,15.90,0.79X
600379,宝光股份,2026-06-08,12.09,-4.73%,"形态: 两连阴 (-4.51%, -0.08%)",14.65,13.47,0.80X
600143,金发科技,2026-06-10,12.49,1.30%,"形态: 两连阴 (-3.37%, -0.96%)",16.81,16.95,0.20X
002254,泰和新材,2026-06-10,6.58,0.92%,形态: 10日内有涨停,13.86,11.98,0.58X
600855,航天长峰,2026-06-10,14.4,-2.11%,"形态: 两连阴 (-3.71%, -0.47%)",17.00,17.91,0.87X
601969,海南矿业,2026-06-10,8.81,-1.45%,"形态: 两连阴 (-2.82%, -0.33%)",10.00,11.09,0.87X
603042,华脉科技,2026-06-10,17.03,-0.64%,"形态: 两连阴 (-5.16%, -0.17%)",20.35,20.80,0.13X
000859,国风新材,2026-06-10,11.37,1.79%,趋势: 多头排列 (5>20>60) | 量能: 放量 (1.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),10.36,9.92,1.52X
600635,大众公用,2026-06-08,5.03,0.40%,形态: 10日内有涨停,5.36,5.54,0.95X
603070,万控智造,2026-06-10,13.7,5.47%,量能: 放量 (2.81X) | 形态: 10日内有涨停,16.26,15.37,2.81X
002491,通鼎互联,2026-06-10,24.29,-8.68%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,23.86,17.81,0.74X
002016,世荣兆业,2026-06-10,4.63,-0.86%,"形态: 两连阴 (-0.61%, -3.71%)",4.83,5.37,0.66X
002201,九鼎新材,2026-06-10,10.98,0.09%,动量: 突破转强 (阳线上穿5/10),11.52,12.15,1.30X
001299,美能能源,2026-06-08,10.93,-7.92%,"形态: 10日内有涨停 | 形态: 两连阴 (-3.01%, -10.01%)",12.36,13.36,0.85X
600552,凯盛科技,2026-06-10,20.68,-9.06%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,19.27,15.70,0.85X
600965,福成股份,2026-06-10,6.05,-0.66%,"量能: 放量 (1.63X) | 形态: 两连阴 (-2.99%, -3.49%) | 趋势: 高于MA20",3.48,4.55,1.63X
600973,宝胜股份,2026-06-10,14.78,-3.08%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.77%, -0.46%) | 趋势: 高于MA20",7.98,7.37,0.06X
002212,天融信,2026-06-10,5.45,1.68%,"形态: 两连阴 (-3.70%, -0.92%)",6.82,7.37,1.08X
603598,引力传媒,2026-06-10,21.16,1.24%,形态: 10日内有涨停,22.33,21.35,1.23X
