Code,Name,LatestDate,Close,MA_Used,MA_Value,MaxClose,Fall_%,AdjustmentDays
000758,中色股份,2026-02-11,7.52,MA30,7.327333333333333,9.0,16.44%,10
600435,北方导航,2026-02-11,16.8,MA30,17.618333333333336,21.87,23.18%,22
002589,瑞康医药,2025-12-25,3.44,MA30,3.4096666666666664,4.69,26.65%,13
002532,天山铝业,2026-02-11,18.16,MA30,18.299333333333333,20.5,11.41%,9
002114,罗平锌电,2026-02-11,9.56,MA30,9.54,11.42,16.29%,10
000878,云南铜业,2026-02-11,22.87,MA30,22.94066666666667,29.47,22.40%,9
600775,南京熊猫,2026-02-11,14.33,MA30,15.023666666666667,19.54,26.66%,22
600497,驰宏锌锗,2026-02-11,9.02,MA30,8.934333333333335,10.97,17.78%,10
603015,弘讯科技,2026-02-11,14.77,MA30,15.074666666666667,18.82,21.52%,22
600981,苏豪汇鸿,2025-12-25,3.31,MA30,3.2610000000000006,3.83,13.58%,13
