代码,名称,现价,单阳日,调整天数,逻辑说明
002706,良信股份,11.66,2026-02-12,3,单阳不破+极限缩量
600110,诺德股份,8.17,2026-02-24,1,单阳不破+极限缩量
002225,濮耐股份,6.65,2026-02-24,1,单阳不破+极限缩量
000407,胜利股份,5.22,2026-02-24,1,单阳不破+极限缩量
603889,新澳股份,9.29,2026-02-24,1,单阳不破+极限缩量
002258,利尔化学,16.68,2026-02-24,1,单阳不破+极限缩量
601777,千里科技,11.39,2026-02-13,2,单阳不破+极限缩量
603861,白云电器,18.13,2026-02-24,1,单阳不破+极限缩量
002743,富煌钢构,5.94,2026-02-24,1,单阳不破+极限缩量
002476,宝莫股份,6.66,2026-02-24,1,单阳不破+极限缩量
002064,华峰化学,12.61,2026-02-24,1,单阳不破+极限缩量
600452,涪陵电力,12.05,2026-02-10,5,单阳不破+极限缩量
600667,太极实业,10.8,2026-02-24,1,单阳不破+极限缩量
605303,园林股份,18.63,2026-02-24,1,单阳不破+极限缩量
000811,冰轮环境,19.13,2026-02-24,1,单阳不破+极限缩量
002478,常宝股份,11.55,2026-02-24,1,单阳不破+极限缩量
002208,合肥城建,15.64,2026-02-24,1,单阳不破+极限缩量
002283,天润工业,10.05,2026-02-24,1,单阳不破+极限缩量
603968,醋化股份,16.8,2026-02-24,1,单阳不破+极限缩量
002012,凯恩股份,7.38,2026-02-11,4,单阳不破+极限缩量
603601,再升科技,13.02,2026-02-24,1,单阳不破+极限缩量
002519,银河电子,10.7,2026-02-10,5,单阳不破+极限缩量
600590,泰豪科技,14.01,2026-02-12,3,单阳不破+极限缩量
000571,新大洲A,7.45,2026-02-10,5,单阳不破+极限缩量
002448,中原内配,16.12,2026-02-12,3,单阳不破+极限缩量
603766,隆鑫通用,15.9,2026-02-24,1,单阳不破+极限缩量
002617,露笑科技,9.16,2026-02-24,1,单阳不破+极限缩量
000425,徐工机械,12.6,2026-02-24,1,单阳不破+极限缩量
002274,华昌化工,6.51,2026-02-24,1,单阳不破+极限缩量
600505,西昌电力,14.59,2026-02-24,1,单阳不破+极限缩量
002629,仁智股份,6.66,2026-02-24,1,单阳不破+极限缩量
600960,渤海汽车,5.99,2026-02-24,1,单阳不破+极限缩量
605555,德昌股份,18.37,2026-02-10,5,单阳不破+极限缩量
600710,苏美达,12.85,2026-02-24,1,单阳不破+极限缩量
603086,先达股份,8.55,2026-02-24,1,单阳不破+极限缩量
000949,新乡化纤,7.35,2026-02-24,1,单阳不破+极限缩量
601700,风范股份,6.03,2026-02-12,3,单阳不破+极限缩量
000801,四川九洲,17.13,2026-02-24,1,单阳不破+极限缩量
601857,中国石油,10.99,2026-02-24,1,单阳不破+极限缩量
000510,新金路,18.7,2026-02-12,3,单阳不破+极限缩量
600470,六国化工,7.84,2026-02-24,1,单阳不破+极限缩量
601369,陕鼓动力,11.24,2026-02-24,1,单阳不破+极限缩量
603798,康普顿,15.85,2026-02-24,1,单阳不破+极限缩量
600510,黑牡丹,9.79,2026-02-24,1,单阳不破+极限缩量
603466,风语筑,12.97,2026-02-24,1,单阳不破+极限缩量
002278,神开股份,14.25,2026-02-24,1,单阳不破+极限缩量
603980,吉华集团,8.4,2026-02-24,1,单阳不破+极限缩量
603876,鼎胜新材,19.73,2026-02-11,4,单阳不破+极限缩量
600295,鄂尔多斯,16.34,2026-02-11,4,单阳不破+极限缩量
002015,协鑫能科,12.56,2026-02-24,1,单阳不破+极限缩量
603328,依顿电子,13.21,2026-02-10,5,单阳不破+极限缩量
002655,共达电声,15.58,2026-02-13,2,单阳不破+极限缩量
002221,东华能源,8.5,2026-02-24,1,单阳不破+极限缩量
001217,华尔泰,14.83,2026-02-10,5,单阳不破+极限缩量
000096,广聚能源,11.05,2026-02-24,1,单阳不破+极限缩量
601118,海南橡胶,7.83,2026-02-24,1,单阳不破+极限缩量
000875,吉电股份,7.51,2026-02-24,1,单阳不破+极限缩量
603985,恒润股份,16.92,2026-02-12,3,单阳不破+极限缩量
000519,中兵红箭,19.77,2026-02-24,1,单阳不破+极限缩量
603618,杭电股份,15.14,2026-02-11,4,单阳不破+极限缩量
002441,众业达,11.38,2026-02-24,1,单阳不破+极限缩量
002300,太阳电缆,9.65,2026-02-24,1,单阳不破+极限缩量
600158,中体产业,10.35,2026-02-24,1,单阳不破+极限缩量
002772,众兴菌业,17.87,2026-02-24,1,单阳不破+极限缩量
600916,中国黄金,11.59,2026-02-24,1,单阳不破+极限缩量
002810,山东赫达,19.68,2026-02-11,4,单阳不破+极限缩量
603871,嘉友国际,15.08,2026-02-24,1,单阳不破+极限缩量
600860,京城股份,14.06,2026-02-24,1,单阳不破+极限缩量
002654,万润科技,15.52,2026-02-24,1,单阳不破+极限缩量
002632,道明光学,13.5,2026-02-24,1,单阳不破+极限缩量
002121,科陆电子,9.44,2026-02-24,1,单阳不破+极限缩量
002215,诺 普 信,12.05,2026-02-10,5,单阳不破+极限缩量
603002,宏昌电子,11.54,2026-02-24,1,单阳不破+极限缩量
002201,九鼎新材,13.87,2026-02-24,1,单阳不破+极限缩量
600689,上海三毛,15.09,2026-02-24,1,单阳不破+极限缩量
002358,森源电气,8.98,2026-02-12,3,单阳不破+极限缩量
600668,尖峰集团,11.59,2026-02-10,5,单阳不破+极限缩量
002340,格林美,9.84,2026-02-11,4,单阳不破+极限缩量
600995,南网储能,14.3,2026-02-24,1,单阳不破+极限缩量
600326,西藏天路,11.3,2026-02-10,5,单阳不破+极限缩量
002483,润邦股份,7.72,2026-02-24,1,单阳不破+极限缩量
000582,北部湾港,10.6,2026-02-11,4,单阳不破+极限缩量
603161,科华控股,16.6,2026-02-24,1,单阳不破+极限缩量
605208,永茂泰,13.79,2026-02-24,1,单阳不破+极限缩量
002131,利欧股份,9.34,2026-02-12,3,单阳不破+极限缩量
000922,佳电股份,15.25,2026-02-12,3,单阳不破+极限缩量
002467,二六三,7.34,2026-02-13,2,单阳不破+极限缩量
000680,山推股份,13.67,2026-02-24,1,单阳不破+极限缩量
603856,东宏股份,14.07,2026-02-24,1,单阳不破+极限缩量
600644,乐山电力,11.58,2026-02-24,1,单阳不破+极限缩量
001258,立新能源,7.84,2026-02-24,1,单阳不破+极限缩量
000159,国际实业,7.02,2026-02-24,1,单阳不破+极限缩量
002196,方正电机,17.18,2026-02-10,5,单阳不破+极限缩量
600641,万业企业,19.51,2026-02-13,2,单阳不破+极限缩量
002205,国统股份,15.1,2026-02-24,1,单阳不破+极限缩量
600397,江钨装备,18.74,2026-02-13,2,单阳不破+极限缩量
603162,海通发展,15.22,2026-02-10,5,单阳不破+极限缩量
000822,山东海化,6.75,2026-02-24,1,单阳不破+极限缩量
000829,天音控股,10.82,2026-02-10,5,单阳不破+极限缩量
601965,中国汽研,19.91,2026-02-24,1,单阳不破+极限缩量
003036,泰坦股份,18.28,2026-02-12,3,单阳不破+极限缩量
600546,山煤国际,11.59,2026-02-24,1,单阳不破+极限缩量
600079,人福医药,18.85,2025-12-19,4,单阳不破+极限缩量
002806,华锋股份,16.5,2026-02-10,5,单阳不破+极限缩量
603588,高能环境,11.69,2026-02-24,1,单阳不破+极限缩量
002440,闰土股份,14.96,2026-02-10,5,单阳不破+极限缩量
000852,石化机械,8.13,2026-02-24,1,单阳不破+极限缩量
002546,新联电子,9.53,2026-02-12,3,单阳不破+极限缩量
002634,棒杰股份,7.21,2026-02-10,5,单阳不破+极限缩量
603330,天洋新材,8.2,2026-02-24,1,单阳不破+极限缩量
601226,华电科工,11.49,2026-02-24,1,单阳不破+极限缩量
600207,安彩高科,5.42,2026-02-10,5,单阳不破+极限缩量
600469,风神股份,7.61,2026-02-24,1,单阳不破+极限缩量
601179,中国西电,15.79,2026-02-24,1,单阳不破+极限缩量
601133,柏诚股份,17.78,2026-02-24,1,单阳不破+极限缩量
600299,安迪苏,10.47,2026-02-11,4,单阳不破+极限缩量
600869,远东股份,14.26,2026-02-24,1,单阳不破+极限缩量
600724,宁波富达,7.03,2026-02-24,1,单阳不破+极限缩量
600768,宁波富邦,18.68,2026-02-24,1,单阳不破+极限缩量
000758,中色股份,8.49,2026-02-24,1,单阳不破+极限缩量
600821,金开新能,6.54,2026-02-24,1,单阳不破+极限缩量
000612,焦作万方,14.39,2026-02-11,4,单阳不破+极限缩量
600188,兖矿能源,17.2,2026-02-12,3,单阳不破+极限缩量
