code,name,Strategy_Type,Close,TurnoverRate,RSI6,KDJ_J,Breakout_Pattern,Limit_Up_Today,Final_Score,Strategy_Rank
002682,龙洲股份,E_Leader_Restart (二次启动),9.86,49.79,77.76893003873394,79.77528089887642,False,False,6582.5955452685575,3
002163,海南发展,E_Leader_Restart (二次启动),16.68,28.31,70.97636123915787,88.09111467629069,False,False,3415.8793373569506,3
000735,罗 牛 山,E_Leader_Restart (二次启动),10.14,26.78,67.68440645229622,76.4803264803265,False,False,3081.400288147238,3
000505,京粮控股,E_Leader_Restart (二次启动),8.54,20.44,69.05299917462402,58.61332480650657,False,False,2399.4536153198355,3
000532,华金资本,E_Leader_Restart (二次启动),15.44,14.58,72.18167483518928,80.5486573820437,False,False,1789.0949924650015,3
