代码,名称,最新日期,现价,今日量比,RSI6,K值,距60日线空间,今日涨跌
603169,兰石重装,2026-04-30,8.43,0.49,16.6,21.7,22.7%,1.1%
000798,中水渔业,2026-04-30,9.31,0.6,13.0,18.8,15.3%,0.5%
601212,白银有色,2026-04-30,7.63,0.78,20.2,26.3,21.1%,-0.4%
