Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2026-01-28,15.6,4.49%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (2.33X) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.47%, -0.47%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",12.36,10.19,2.33X
601163,三角轮胎,2026-01-28,15.53,0.84%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.53X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.90%, -1.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",14.82,14.75,1.53X
002112,三变科技,2026-01-28,22.93,3.29%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.95X) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.09%, -3.39%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",18.72,15.53,1.95X
