Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
600058,五矿发展,2026-01-29,14.83,-6.14%,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,12.64,10.28,0.03X
002284,亚太股份,2026-01-29,17.35,1.11%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),16.40,14.17,0.05X
600644,乐山电力,2026-01-29,11.04,-0.81%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,10.83,10.67,0.03X
000560,我爱我家,2025-12-25,2.93,0.69%,动量: 突破转强 (阳线上穿5/10),2.99,2.98,0.93X
600141,兴发集团,2025-12-25,34.9,0.49%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),32.71,30.79,0.99X
603613,国联股份,2025-12-25,27.9,0.43%,动量: 突破转强 (阳线上穿5/10),28.56,28.53,0.84X
603124,江南新材,2025-12-25,84.48,2.75%,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),75.04,80.17,1.15X
000906,浙商中拓,2026-01-29,6.21,-0.16%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,6.06,6.05,0.02X
000717,中南股份,2025-12-25,2.61,-0.38%,趋势: 高于MA20,2.57,2.69,0.60X
002196,方正电机,2026-01-29,16.48,-9.70%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.25%, -1.27%) | 趋势: 高于MA20",16.19,14.29,0.03X
603369,今世缘,2025-12-25,35.53,0.99%,"形态: 两连阴 (-1.51%, -0.14%) | 动量: 突破转强 (阳线上穿5/10)",35.84,37.79,1.12X
002432,九安医疗,2025-12-25,40.78,0.02%,趋势: 多头排列 (5>20>60),40.95,40.80,0.78X
002880,卫光生物,2025-12-25,26.08,0.42%,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),25.99,26.76,0.63X
000596,古井贡酒,2025-12-25,143.78,1.37%,"形态: 两连阴 (-1.35%, -0.81%)",150.71,155.73,1.06X
002088,鲁阳节能,2026-01-29,13.09,-1.21%,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.75%, -0.91%) | 趋势: 高于MA20",11.79,11.52,0.02X
000582,北部湾港,2026-01-29,9.9,-0.30%,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,9.63,9.25,0.03X
601187,厦门银行,2026-01-29,7.08,1.58%,动量: 突破转强 (阳线上穿5/10),7.15,7.32,0.05X
