Code,Name,Latest_Date,Latest_Close,Daily_Change_Pct,Matched_Conditions,MA20,MA60,Volume_Ratio
003039,顺控发展,2025-12-31,15.93,10.01%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.84X) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.40%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",14.44,14.03,1.84X
603967,中创物流,2025-12-31,13.73,10.02%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.90X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.71%, -1.27%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",12.63,12.19,1.90X
002735,王子新材,2025-12-31,18.03,10.01%,"趋势: 多头排列 (5>20>60) | 量能: 放量 (1.54X) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.15%, -1.15%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",16.21,15.95,1.54X
