日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-16,000636,风华高科,18.84,6.80%,7.11%,1.93,18.05%,3.78%,2.75%,66.09%,76.71%,17.81,17.47,16.77,否
2026-01-16,002026,山东威达,15.76,3.01%,7.30%,1.74,18.78%,4.72%,3.42%,61.11%,141.59%,15.14,15.05,14.81,否
2026-01-16,002079,苏州固锝,10.22,2.40%,5.13%,2.40,14.58%,2.75%,1.79%,66.67%,52.82%,9.98,9.88,9.69,否
2026-01-16,002144,宏达高科,13.19,2.89%,5.28%,1.36,16.53%,3.12%,0.85%,60.00%,96.94%,12.96,12.82,12.78,否
2026-01-16,002185,华天科技,12.70,6.54%,10.09%,3.79,17.01%,4.94%,4.53%,70.65%,57.86%,12.03,11.74,11.35,否
2026-01-16,002434,万里扬,9.80,4.03%,3.69%,2.22,16.73%,6.03%,3.66%,72.73%,46.09%,9.55,9.46,9.40,否
2026-01-16,002559,亚威股份,10.73,2.48%,7.45%,1.74,16.68%,3.09%,1.71%,71.43%,103.63%,10.50,10.44,10.19,否
2026-01-16,002617,露笑科技,8.66,5.10%,11.68%,2.85,18.94%,3.39%,2.70%,71.43%,97.64%,8.38,8.33,8.13,否
2026-01-16,002658,雪迪龙,9.49,3.72%,9.43%,1.51,17.18%,2.86%,1.84%,87.50%,132.13%,9.22,9.18,8.99,否
2026-01-16,002823,凯中精密,16.95,2.11%,5.47%,1.41,19.82%,3.17%,1.96%,58.14%,80.35%,16.59,16.47,16.19,否
2026-01-16,002824,和胜股份,20.26,6.69%,8.93%,2.61,16.04%,4.59%,2.14%,82.00%,95.07%,19.38,19.30,19.06,否
2026-01-16,002845,同兴达,15.41,5.04%,10.55%,3.09,11.36%,2.97%,2.43%,59.43%,100.21%,14.79,14.68,14.36,否
2026-01-16,002892,科力尔,13.43,2.05%,3.38%,1.51,13.55%,3.14%,2.05%,61.29%,70.70%,13.37,13.35,13.13,是
2026-01-16,002923,润都股份,13.95,6.98%,7.86%,4.42,16.27%,6.09%,3.09%,78.07%,44.17%,13.03,12.80,12.54,否
2026-01-16,002953,日丰股份,13.27,10.03%,9.54%,1.80,17.86%,3.43%,1.84%,100.00%,100.40%,12.33,12.09,11.84,否
2026-01-16,600348,华阳股份,8.86,6.49%,4.17%,2.70,15.69%,4.28%,2.73%,57.78%,46.89%,8.50,8.46,8.20,否
2026-01-16,600509,天富能源,8.96,6.04%,7.74%,2.29,13.62%,3.42%,2.30%,61.84%,93.95%,8.60,8.59,8.49,否
2026-01-16,600623,华谊集团,8.95,9.28%,5.04%,5.50,19.22%,3.27%,2.39%,90.77%,20.74%,8.30,8.17,7.81,否
2026-01-16,600671,天目药业,18.41,4.07%,3.32%,1.61,16.08%,3.70%,1.08%,73.96%,53.19%,17.74,17.60,17.45,否
2026-01-16,600703,三安光电,15.79,10.03%,6.50%,4.36,19.89%,5.31%,3.67%,95.04%,55.06%,14.95,14.90,14.28,否
2026-01-16,600744,华银电力,6.63,7.98%,12.29%,4.85,18.40%,4.46%,1.30%,77.78%,49.67%,6.29,6.18,6.08,否
2026-01-16,601669,中国电建,5.78,7.84%,8.15%,6.88,12.63%,3.51%,2.18%,73.33%,27.27%,5.50,5.41,5.33,否
2026-01-16,601968,宝钢包装,5.58,2.57%,1.62%,1.34,13.08%,5.47%,3.96%,63.16%,36.98%,5.53,5.46,5.47,否
2026-01-16,603058,永吉股份,10.56,10.00%,13.58%,5.06,17.42%,4.45%,3.73%,93.33%,104.97%,9.87,9.71,9.62,否
2026-01-16,603166,福达股份,17.00,5.13%,5.72%,2.35,17.59%,3.73%,1.71%,70.59%,77.31%,16.25,15.98,15.71,否
2026-01-16,603291,联合水务,11.68,3.64%,6.98%,1.75,17.72%,4.90%,4.35%,91.11%,108.07%,11.17,10.78,10.24,是
2026-01-16,603500,祥和实业,12.96,3.43%,2.62%,1.19,19.75%,3.31%,2.44%,80.43%,54.50%,12.63,12.40,12.10,否
2026-01-16,603638,艾迪精密,21.27,9.98%,1.95%,2.67,18.48%,3.41%,1.83%,98.33%,20.50%,19.83,19.55,19.20,否
