排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,002611,东方精工,17.96,0.0993,-0.0137,26.19,-5.1,💥【顶级共振】RSI共振(26.2/10.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.219,平稳
2,002823,凯中精密,15.56,0.0985,-0.0466,21.98,-10.68,💥【顶级共振】RSI共振(22.0/6.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.053,平稳
3,600055,万东医疗,15.94,0.0953,-0.0191,25.51,3.92,💥【顶级共振】RSI共振(25.5/8.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.955,平稳
4,603535,嘉诚国际,9.99,0.0935,-0.0109,24.85,1.57,💥【顶级共振】RSI共振(24.9/13.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.021,平稳
5,603787,新日股份,12.8,0.0935,-0.0274,24.13,-4.02,💥【顶级共振】RSI共振(24.1/7.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.119,平稳
6,600444,国机通用,17.91,0.0922,-0.0319,25.06,0.68,💥【顶级共振】RSI共振(25.1/9.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.105,平稳
7,002892,科力尔,12.54,0.0813,-0.0249,23.97,-4.01,💥【顶级共振】RSI共振(24.0/8.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.932,平稳
8,600011,华能国际,7.07,0.0794,-0.0112,20.81,12.09,💥【顶级共振】RSI共振(20.8/9.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.064,平稳
9,600405,动力源,5.27,0.0787,-0.0383,25.53,-1.64,💥【顶级共振】RSI共振(25.5/6.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.965,平稳
10,600712,南宁百货,6.5,0.078,-0.0076,27.73,6.84,💥【顶级共振】RSI共振(27.7/13.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.073,平稳
11,601136,首创证券,18.12,0.0777,0.0044,22.43,22.3,💥【顶级共振】RSI共振(22.4/17.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.959,平稳
12,000837,秦川机床,12.47,0.0777,-0.0318,25.96,-4.34,💥【顶级共振】RSI共振(26.0/9.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.006,平稳
13,002227,奥 特 迅,11.95,0.0772,-0.0165,26.69,-5.49,💥【顶级共振】RSI共振(26.7/11.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.988,平稳
14,603390,通达电气,12.71,0.077,-0.0451,27.67,0.71,💥【顶级共振】RSI共振(27.7/11.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.045,平稳
15,600480,凌云股份,11.7,0.0758,-0.0176,27.81,2.34,💥【顶级共振】RSI共振(27.8/13.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.982,平稳
16,601788,光大证券,16.92,0.0714,-0.0035,23.87,27.12,💥【顶级共振】RSI共振(23.9/7.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.992,平稳
17,603025,大豪科技,18.0,0.0712,-0.026,26.6,-6.23,💥【顶级共振】RSI共振(26.6/8.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.162,平稳
18,001205,盛航股份,16.06,0.0711,-0.0056,25.63,29.15,💥【顶级共振】RSI共振(25.6/13.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.009,平稳
19,601177,杭齿前进,16.6,0.0711,-0.0201,25.57,-12.02,💥【顶级共振】RSI共振(25.6/8.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.966,平稳
20,002786,银宝山新,8.46,0.0703,-0.0197,26.67,-0.12,💥【顶级共振】RSI共振(26.7/11.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.943,平稳
21,000953,河化股份,7.1,0.0682,-0.0139,28.64,-2.57,💥【顶级共振】RSI共振(28.6/13.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.1,平稳
22,603035,常熟汽饰,15.44,0.0671,-0.0197,27.39,-1.09,💥【顶级共振】RSI共振(27.4/8.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.061,平稳
23,603586,金麒麟,18.59,0.0644,-0.0267,27.14,-0.71,💥【顶级共振】RSI共振(27.1/9.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.073,平稳
24,603839,安正时尚,7.79,0.0637,-0.0127,27.62,13.18,💥【顶级共振】RSI共振(27.6/12.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.112,平稳
25,603277,银都股份,16.09,0.0618,-0.0012,22.13,-9.95,💥【顶级共振】RSI共振(22.1/8.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.009,平稳
26,601186,中国铁建,7.33,0.0627,-0.0054,24.94,7.48,🌟【加强级】RSI极值(24.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.977,平稳
