排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,603928,兴业股份,15.94,0.0943,-0.0245,27.0,20.41,💥【顶级共振】RSI共振(27.0/14.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.193,平稳
2,603178,圣龙股份,17.52,0.0927,-0.0135,22.45,-0.86,💥【顶级共振】RSI共振(22.4/10.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.976,平稳
3,002668,TCL智家,9.91,0.0841,-0.004,28.62,3.49,💥【顶级共振】RSI共振(28.6/17.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.992,平稳
4,601881,中国银河,15.15,0.0819,0.0013,25.33,4.28,💥【顶级共振】RSI共振(25.3/15.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.971,平稳
5,601187,厦门银行,6.95,0.0807,-0.0057,27.5,10.97,💥【顶级共振】RSI共振(27.5/15.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.124,平稳
6,601136,首创证券,18.04,0.0777,-0.0327,17.18,-1.9,💥【顶级共振】RSI共振(17.2/6.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.961,平稳
7,600011,华能国际,7.15,0.069,-0.0069,24.44,6.33,💥【顶级共振】RSI共振(24.4/13.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.067,平稳
8,601788,光大证券,16.98,0.0681,-0.0018,25.91,-0.32,💥【顶级共振】RSI共振(25.9/10.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.994,平稳
9,600006,东风股份,6.95,0.0671,-0.0114,23.48,-1.75,💥【顶级共振】RSI共振(23.5/9.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.985,平稳
10,600199,金种子酒,9.21,0.0631,-0.0032,16.6,-0.7,💥【顶级共振】RSI共振(16.6/8.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.928,平稳
11,601186,中国铁建,7.37,0.0627,0.0055,27.39,-1.91,💥【顶级共振】RSI+KDJ极值(27.4/-1.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.978,平稳
12,603277,银都股份,16.11,0.0606,-0.011,22.65,-3.11,💥【顶级共振】RSI共振(22.6/9.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.011,平稳
