日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2025-12-31,000026,飞亚达,16.38,10.01%,5.89%,4.40,17.83%,3.17%,2.31%,97.89%,28.79%,15.41,15.35,15.21,否
2025-12-31,000919,金陵药业,7.95,5.58%,6.72%,3.28,13.96%,5.07%,2.80%,56.72%,73.64%,7.66,7.61,7.38,否
2025-12-31,000978,桂林旅游,7.24,2.26%,3.55%,1.50,14.78%,5.52%,1.31%,66.67%,67.44%,7.07,7.04,6.85,否
2025-12-31,002152,广电运通,13.81,3.45%,3.89%,4.05,14.34%,6.18%,3.76%,73.91%,25.41%,13.02,12.68,12.46,否
2025-12-31,002658,雪迪龙,9.03,4.03%,8.15%,1.23,19.38%,2.84%,1.82%,71.15%,128.16%,8.85,8.80,8.74,否
2025-12-31,002659,凯文教育,5.86,9.94%,8.93%,2.11,19.45%,2.60%,1.67%,100.00%,145.89%,5.48,5.48,5.65,否
2025-12-31,002735,王子新材,18.03,10.01%,33.12%,2.59,19.63%,8.07%,4.30%,86.24%,340.59%,17.09,17.06,16.21,否
2025-12-31,002800,天顺股份,15.76,4.16%,9.63%,1.90,18.97%,8.15%,4.58%,60.00%,162.64%,15.71,15.14,14.78,否
2025-12-31,002908,德生科技,10.53,10.03%,12.73%,5.83,12.63%,4.93%,1.84%,100.00%,58.56%,9.70,9.52,9.48,否
2025-12-31,002932,明德生物,19.18,7.63%,10.49%,5.83,14.96%,1.18%,0.91%,60.18%,43.61%,18.09,17.99,17.98,否
2025-12-31,003039,顺控发展,15.93,10.01%,3.06%,3.48,16.57%,4.89%,2.11%,100.00%,32.20%,14.97,14.64,14.44,否
2025-12-31,600100,同方股份,8.92,2.29%,2.71%,1.24,17.04%,6.20%,3.69%,61.29%,56.47%,8.76,8.52,8.63,否
2025-12-31,600176,中国巨石,17.10,3.01%,2.33%,2.27,13.33%,5.90%,3.67%,64.77%,27.22%,16.59,16.21,15.81,否
2025-12-31,600273,嘉化能源,8.74,3.68%,2.42%,2.07,10.98%,1.31%,0.60%,76.92%,30.17%,8.48,8.41,8.33,否
2025-12-31,600435,北方导航,15.42,2.80%,5.18%,2.40,13.10%,4.62%,3.42%,66.20%,66.24%,15.00,14.56,14.25,否
2025-12-31,603050,科林电气,18.02,3.15%,1.97%,1.39,17.31%,5.58%,3.43%,57.47%,25.73%,17.73,17.54,17.62,否
2025-12-31,603206,嘉环科技,17.29,2.31%,1.69%,1.61,7.46%,3.10%,1.67%,85.71%,35.21%,17.09,16.94,16.78,否
2025-12-31,603602,纵横通信,14.56,2.03%,2.97%,1.44,8.72%,2.30%,1.19%,61.70%,51.89%,14.42,14.34,14.45,是
2025-12-31,603648,畅联股份,10.90,3.22%,2.47%,2.63,13.39%,4.55%,2.71%,75.56%,23.31%,10.57,10.50,10.41,否
2025-12-31,603700,宁水集团,13.59,2.57%,2.14%,1.28,14.35%,3.70%,1.06%,83.67%,44.64%,13.29,13.15,12.99,否
2025-12-31,603712,七一二,20.77,5.27%,4.81%,2.61,16.13%,5.11%,3.34%,56.57%,68.07%,19.99,19.71,20.30,否
2025-12-31,603787,新日股份,14.06,8.24%,4.44%,1.63,18.99%,3.55%,1.78%,82.31%,57.49%,13.23,13.15,13.38,否
2025-12-31,603885,吉祥航空,14.88,7.20%,1.85%,1.96,16.06%,4.76%,1.96%,82.11%,27.13%,14.22,14.11,13.88,否
