日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-20,000151,中成股份,13.19,2.25%,5.55%,3.07,9.93%,2.81%,0.89%,65.91%,55.47%,12.64,12.46,12.30,否
2026-01-20,000726,鲁  泰Ａ,7.46,2.47%,3.16%,1.93,8.85%,2.34%,1.38%,85.00%,42.36%,7.25,7.22,7.19,否
2026-01-20,000899,赣能股份,11.00,2.04%,2.04%,1.54,11.82%,4.59%,3.44%,61.11%,33.98%,10.62,10.45,10.26,否
2026-01-20,000902,新洋丰,16.75,2.45%,1.67%,1.49,12.48%,4.37%,3.99%,81.25%,25.81%,16.09,15.94,15.87,否
2026-01-20,001979,招商蛇口,9.93,7.35%,2.03%,3.00,13.90%,5.43%,3.32%,78.82%,22.23%,9.32,9.21,8.99,否
2026-01-20,002010,传化智联,6.75,2.27%,2.81%,2.07,16.44%,4.52%,2.00%,66.67%,38.24%,6.57,6.45,6.18,否
2026-01-20,002016,世荣兆业,6.12,3.20%,1.85%,1.15,18.63%,3.46%,3.11%,86.36%,40.23%,5.90,5.89,5.86,否
2026-01-20,002139,拓邦股份,14.49,2.19%,4.95%,2.61,12.28%,3.68%,3.40%,62.79%,61.88%,14.17,14.12,13.90,否
2026-01-20,002165,红 宝 丽,8.72,9.96%,11.78%,3.02,19.15%,3.39%,2.61%,98.75%,93.37%,8.07,7.99,7.85,否
2026-01-20,002233,塔牌集团,9.54,4.38%,1.55%,1.12,14.47%,2.67%,2.23%,90.00%,42.52%,9.11,9.05,9.06,否
2026-01-20,002244,滨江集团,10.99,4.97%,2.62%,1.98,14.29%,8.07%,4.38%,57.14%,41.56%,10.33,10.28,10.11,否
2026-01-20,002271,东方雨虹,15.37,7.03%,4.17%,2.24,19.78%,4.19%,2.56%,90.18%,53.61%,14.48,14.45,14.09,否
2026-01-20,002274,华昌化工,6.02,2.03%,2.32%,1.94,17.94%,4.53%,2.61%,75.00%,33.49%,5.85,5.80,5.77,是
2026-01-20,002372,伟星新材,11.35,5.48%,2.89%,3.37,10.04%,5.73%,4.58%,82.35%,26.92%,10.91,10.69,10.67,否
2026-01-20,002440,闰土股份,8.19,2.12%,2.59%,1.63,14.65%,4.11%,3.73%,73.91%,40.24%,7.87,7.83,7.72,否
2026-01-20,002441,众业达,10.35,2.88%,5.59%,2.45,15.17%,4.30%,3.89%,73.33%,64.37%,9.85,9.71,9.50,否
2026-01-20,002809,红墙股份,12.10,10.00%,10.78%,3.34,15.70%,3.27%,3.27%,93.22%,88.98%,11.09,10.93,10.83,否
