排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601456,国联民生,9.63,0.0992,-0.0093,26.09,16.35,💥【顶级共振】RSI共振(26.1/16.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.968,平稳
2,601111,中国国航,8.46,0.0971,-0.0094,26.15,-11.75,💥【顶级共振】RSI共振(26.1/7.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.108,平稳
3,002679,福建金森,11.37,0.0962,-0.0061,27.62,6.94,💥【顶级共振】RSI共振(27.6/14.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.29,平稳
4,001205,盛航股份,16.15,0.0896,-0.0055,20.96,11.81,💥【顶级共振】RSI共振(21.0/10.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.022,平稳
5,603551,奥普科技,10.99,0.088,-0.0214,25.28,-1.53,💥【顶级共振】RSI共振(25.3/11.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.092,平稳
6,600919,江苏银行,9.76,0.0827,-0.0269,22.83,-15.25,💥【顶级共振】RSI共振(22.8/11.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.015,平稳
7,600679,上海凤凰,13.02,0.0825,-0.0159,25.31,-1.21,💥【顶级共振】RSI共振(25.3/10.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.037,平稳
8,002668,TCL智家,10.0,0.0775,-0.005,25.51,3.81,💥【顶级共振】RSI共振(25.5/13.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.0,平稳
9,600018,上港集团,5.15,0.0771,-0.0172,15.27,-5.01,💥【顶级共振】RSI共振(15.3/6.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.992,平稳
10,002481,双塔食品,5.05,0.0734,-0.0059,26.63,3.43,💥【顶级共振】RSI共振(26.6/15.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.019,平稳
11,601577,长沙银行,9.14,0.0664,-0.0151,16.19,-5.38,💥【顶级共振】RSI共振(16.2/6.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.053,平稳
12,601825,沪农商行,8.77,0.063,0.0,20.97,-2.7,💥【顶级共振】RSI共振(21.0/5.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.063,平稳
13,601658,邮储银行,5.17,0.0617,-0.0019,19.97,-8.06,💥【顶级共振】RSI共振(20.0/10.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.005,平稳
14,601598,中国外运,5.9,0.0605,0.0,28.51,13.55,💥【顶级共振】RSI共振(28.5/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.156,平稳
15,601963,重庆银行,10.19,0.0934,-0.0164,24.02,11.83,🌟【加强级】RSI极值(24.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.089,平稳
