日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-12,000409,云鼎科技,12.24,3.64%,5.52%,2.43,16.58%,3.75%,3.11%,79.17%,56.98%,11.63,11.39,11.18,否
2026-01-12,000543,皖能电力,8.63,2.98%,3.11%,1.66,12.98%,4.53%,2.82%,67.74%,49.10%,8.36,8.30,8.33,否
2026-01-12,000719,中原传媒,12.99,5.70%,3.40%,3.24,10.32%,3.19%,2.26%,95.65%,26.65%,12.34,12.06,11.97,否
2026-01-12,000801,四川九洲,18.51,3.70%,5.21%,1.67,18.42%,4.95%,3.67%,89.66%,122.10%,17.74,17.43,17.30,否
2026-01-12,000818,航锦科技,22.07,4.70%,6.56%,3.32,16.81%,5.85%,4.25%,65.67%,55.20%,20.82,20.12,19.49,是
2026-01-12,000821,京山轻机,14.30,2.29%,10.78%,2.33,16.29%,5.29%,3.70%,72.73%,132.90%,13.96,13.73,13.31,否
2026-01-12,000881,中广核技,9.59,3.01%,5.20%,1.49,19.40%,4.59%,3.06%,63.64%,127.28%,9.32,9.17,8.95,否
2026-01-12,000948,南天信息,19.24,3.11%,6.45%,3.91,12.89%,7.06%,4.51%,70.69%,53.46%,18.69,18.27,17.64,否
2026-01-12,001202,炬申股份,17.67,10.02%,7.65%,2.47,16.24%,2.35%,1.07%,90.86%,52.95%,16.38,16.09,15.72,否
2026-01-12,002010,传化智联,6.53,3.98%,3.10%,2.35,14.55%,3.13%,1.62%,85.00%,27.31%,6.28,6.08,5.93,否
2026-01-12,002015,协鑫能科,10.78,2.96%,2.39%,1.66,13.45%,3.72%,2.01%,83.33%,35.01%,10.41,10.30,10.16,否
2026-01-12,002027,分众传媒,8.04,4.28%,2.18%,2.73,12.69%,5.11%,2.90%,70.59%,25.57%,7.65,7.45,7.33,否
2026-01-12,002045,国光电器,15.38,4.13%,6.86%,2.12,16.32%,2.45%,2.12%,91.07%,92.07%,14.70,14.40,14.20,是
2026-01-12,002063,远光软件,6.68,4.21%,5.56%,2.61,10.63%,4.88%,2.44%,100.00%,45.71%,6.35,6.21,6.12,否
2026-01-12,002065,东华软件,10.36,5.07%,5.94%,2.36,14.67%,3.82%,2.70%,92.50%,62.14%,9.75,9.46,9.36,否
2026-01-12,002073,软控股份,8.55,2.40%,3.60%,1.30,14.04%,2.08%,1.34%,75.00%,62.59%,8.36,8.27,8.19,否
2026-01-12,002085,万丰奥威,16.99,3.09%,4.41%,2.50,14.36%,2.91%,2.36%,59.62%,48.54%,16.49,16.25,15.78,否
2026-01-12,002094,青岛金王,7.93,4.34%,10.59%,2.43,16.27%,9.67%,3.08%,71.43%,109.77%,7.69,7.58,7.37,否
2026-01-12,002095,生 意 宝,19.65,4.63%,4.80%,2.59,16.74%,5.60%,2.83%,77.01%,53.83%,18.72,18.38,18.04,否
2026-01-12,002103,广博股份,10.43,10.02%,17.98%,4.50,14.57%,3.26%,3.26%,98.94%,138.12%,9.50,9.33,9.36,否
2026-01-12,002139,拓邦股份,14.41,2.64%,4.26%,2.41,11.80%,1.94%,1.36%,97.37%,52.44%,14.07,13.92,13.70,否
2026-01-12,002152,广电运通,14.02,2.26%,2.41%,2.39,13.69%,3.26%,2.17%,93.10%,34.61%,13.66,13.43,12.87,否
2026-01-12,002174,游族网络,13.63,3.65%,6.48%,1.87,18.86%,3.73%,2.47%,64.71%,77.92%,12.96,12.69,12.23,否
2026-01-12,002194,武汉凡谷,14.50,3.65%,13.06%,2.72,19.93%,3.79%,2.23%,58.21%,141.38%,13.79,13.40,12.98,否
2026-01-12,002236,大华股份,20.61,4.73%,5.41%,2.52,16.16%,2.64%,2.59%,91.25%,43.33%,19.67,19.35,19.02,否
2026-01-12,002238,天威视讯,8.96,3.94%,3.61%,1.90,19.64%,4.24%,2.67%,70.27%,65.83%,8.52,8.35,8.62,否
2026-01-12,002251,步步高,5.70,2.52%,10.25%,1.13,16.49%,4.00%,3.18%,83.33%,269.20%,5.55,5.46,5.55,否
2026-01-12,002258,利尔化学,14.40,3.45%,4.27%,2.20,16.11%,7.07%,4.06%,76.92%,54.73%,14.06,13.57,13.33,否
2026-01-12,002313,日海智能,11.06,4.24%,4.09%,1.41,15.82%,2.77%,2.06%,91.49%,82.02%,10.60,10.43,10.27,否
2026-01-12,002322,理工能科,12.93,2.38%,2.54%,2.15,10.67%,7.33%,4.83%,92.59%,33.33%,12.62,12.36,12.16,否
2026-01-12,002343,慈文传媒,8.01,6.66%,9.16%,1.96,19.60%,3.85%,3.30%,92.31%,160.39%,7.45,7.28,7.28,否
2026-01-12,002351,漫步者,13.19,6.11%,8.83%,5.09,8.57%,2.04%,1.66%,65.42%,45.94%,12.51,12.33,12.28,是
2026-01-12,002376,新北洋,7.99,2.17%,3.57%,2.40,9.64%,1.66%,1.41%,80.00%,39.31%,7.81,7.72,7.57,否
2026-01-12,002382,蓝帆医疗,6.07,3.94%,2.84%,2.73,14.50%,3.39%,2.32%,79.31%,33.76%,5.88,5.73,5.62,否
2026-01-12,002401,中远海科,17.39,5.01%,4.62%,3.77,14.38%,3.30%,2.36%,82.72%,34.39%,16.53,16.25,15.91,否
2026-01-12,002403,爱仕达,13.06,2.35%,2.50%,1.57,18.84%,3.02%,1.91%,88.24%,48.23%,12.78,12.69,12.51,是
2026-01-12,002410,广联达,14.26,8.61%,6.98%,3.83,18.02%,2.81%,2.58%,88.51%,39.85%,13.17,12.85,12.57,否
2026-01-12,002439,启明星辰,15.62,4.41%,6.18%,3.33,13.25%,2.43%,1.91%,95.16%,49.12%,14.83,14.50,14.18,是
2026-01-12,002458,益生股份,9.27,3.34%,3.45%,2.74,11.00%,4.53%,2.15%,62.00%,36.51%,8.89,8.67,8.57,否
2026-01-12,002467,二六三,6.72,5.66%,10.99%,3.03,13.39%,3.24%,2.91%,100.00%,89.33%,6.32,6.18,6.05,否
