日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-12,002520,日发精机,6.50,2.20%,6.39%,1.61,13.85%,5.02%,3.88%,58.82%,154.79%,6.34,6.30,6.18,是
2026-01-12,002530,金财互联,11.53,6.37%,13.28%,3.53,16.57%,5.10%,3.71%,84.00%,106.59%,10.84,10.69,10.28,否
2026-01-12,002574,明牌珠宝,6.35,10.05%,5.41%,1.96,17.32%,4.60%,3.75%,98.31%,80.43%,5.86,5.76,5.66,否
2026-01-12,002587,奥拓电子,6.97,2.05%,4.49%,1.42,15.93%,2.21%,1.49%,64.29%,99.78%,6.80,6.76,6.65,否
2026-01-12,002599,盛通股份,8.88,2.07%,8.32%,2.34,13.74%,5.45%,2.93%,90.00%,128.13%,8.54,8.49,8.17,否
2026-01-12,002609,捷顺科技,10.47,8.27%,10.69%,5.57,15.19%,2.77%,2.22%,79.12%,49.23%,9.70,9.47,9.27,否
2026-01-12,002642,荣联科技,9.00,4.05%,6.21%,1.82,17.56%,3.00%,2.64%,96.77%,81.82%,8.59,8.40,8.24,否
2026-01-12,002681,奋达科技,6.95,2.06%,5.55%,1.50,15.25%,2.34%,1.76%,61.90%,126.13%,6.81,6.74,6.66,是
2026-01-12,002695,煌上煌,12.42,3.41%,1.98%,1.64,10.63%,1.68%,0.94%,85.42%,30.05%,12.03,11.89,11.93,否
2026-01-12,002698,博实股份,17.30,3.59%,4.08%,2.69,13.18%,4.91%,1.84%,90.48%,55.32%,16.69,16.64,16.60,否
2026-01-12,002708,光洋股份,13.73,2.01%,5.04%,1.65,14.20%,3.14%,1.72%,63.04%,72.53%,13.38,13.31,12.90,否
2026-01-12,002730,电光科技,16.09,2.94%,3.60%,2.73,11.93%,2.94%,2.09%,83.02%,34.38%,15.48,15.25,15.03,是
2026-01-12,002771,真视通,16.45,3.65%,5.58%,1.58,19.09%,2.76%,2.31%,98.00%,98.58%,15.72,15.44,15.18,是
2026-01-12,002786,银宝山新,9.10,2.25%,2.84%,1.37,13.30%,2.42%,1.96%,83.33%,45.82%,8.90,8.75,8.66,是
2026-01-12,002798,帝欧水华,6.43,4.38%,3.05%,2.22,16.02%,6.17%,3.17%,60.00%,37.95%,6.12,5.92,5.84,否
2026-01-12,002832,比音勒芬,15.52,2.04%,2.68%,2.03,9.99%,1.19%,0.60%,70.97%,29.30%,15.21,15.14,15.14,是
2026-01-12,002845,同兴达,14.84,2.06%,4.79%,1.50,13.34%,4.32%,3.42%,75.76%,132.93%,14.67,14.41,14.19,否
2026-01-12,002892,科力尔,13.65,2.02%,4.30%,1.98,13.33%,3.28%,1.12%,66.67%,62.00%,13.38,13.37,12.97,是
2026-01-12,002905,金逸影视,11.58,2.93%,6.73%,1.79,16.32%,3.66%,1.99%,66.67%,114.04%,11.16,11.08,10.71,否
2026-01-12,002908,德生科技,11.44,6.02%,16.42%,4.95,19.58%,7.88%,3.74%,70.13%,120.96%,10.69,10.32,9.81,否
2026-01-12,002939,长城证券,10.52,2.33%,1.83%,1.62,18.82%,3.09%,2.90%,72.97%,30.07%,10.43,10.36,10.24,否
2026-01-12,003000,劲仔食品,11.72,2.27%,3.28%,2.20,8.79%,1.14%,0.61%,69.23%,40.20%,11.52,11.49,11.57,是
2026-01-12,600026,中远海能,13.63,7.24%,2.74%,1.88,17.53%,5.08%,3.08%,75.73%,39.57%,12.57,12.16,11.93,否
2026-01-12,600072,中船科技,12.30,2.16%,3.44%,2.24,12.20%,4.79%,3.93%,84.00%,37.48%,12.00,11.83,11.70,是
2026-01-12,600088,中视传媒,18.34,8.52%,6.15%,4.67,14.29%,2.66%,2.60%,82.67%,38.07%,16.90,16.53,16.34,否
2026-01-12,600126,杭钢股份,9.20,5.38%,4.17%,2.78,18.26%,3.29%,2.58%,85.71%,33.66%,8.65,8.42,8.17,是
2026-01-12,600155,华创云信,7.06,2.62%,2.39%,1.75,16.57%,4.04%,3.29%,79.17%,40.14%,6.90,6.77,6.76,是
2026-01-12,600158,中体产业,9.10,2.25%,3.69%,1.57,12.42%,1.83%,1.71%,77.78%,64.40%,8.87,8.80,8.76,否
2026-01-12,600178,东安动力,13.41,2.92%,5.18%,3.35,14.17%,3.76%,3.30%,70.97%,50.88%,13.03,12.87,12.32,否
2026-01-12,600186,莲花控股,6.45,4.03%,6.29%,2.08,18.14%,4.52%,3.18%,91.67%,110.57%,6.22,6.13,5.99,否
2026-01-12,600229,城市传媒,6.91,4.07%,2.09%,2.83,11.29%,2.63%,2.47%,100.00%,20.46%,6.57,6.47,6.45,否
2026-01-12,600278,东方创业,8.24,4.97%,2.84%,1.74,12.01%,2.23%,1.97%,71.93%,27.04%,7.88,7.77,7.67,否
2026-01-12,600282,南钢股份,5.84,5.80%,2.00%,2.86,19.01%,8.44%,2.94%,92.86%,24.73%,5.48,5.38,5.22,否
2026-01-12,600379,宝光股份,12.46,2.47%,2.47%,1.48,19.90%,2.95%,1.10%,75.00%,36.49%,12.12,11.93,11.83,否
2026-01-12,600428,中远海特,7.40,3.79%,2.76%,2.27,9.86%,3.21%,1.40%,77.27%,29.55%,7.18,7.17,7.19,否
2026-01-12,600452,涪陵电力,10.42,7.64%,6.33%,4.30,12.48%,2.71%,1.58%,78.35%,37.38%,9.77,9.61,9.53,否
2026-01-12,600476,湘邮科技,17.01,3.22%,3.68%,1.78,16.28%,2.89%,2.64%,83.64%,53.61%,16.36,16.11,15.81,否
2026-01-12,600551,时代出版,8.81,3.89%,3.01%,1.89,17.82%,2.71%,2.46%,81.25%,25.81%,8.47,8.35,8.29,否
2026-01-12,600571,信雅达,17.42,4.88%,7.51%,2.99,15.33%,3.11%,1.77%,91.67%,66.63%,16.39,16.03,15.57,否
2026-01-12,600602,云赛智联,21.05,5.51%,5.56%,3.68,18.15%,3.78%,3.57%,67.59%,41.64%,19.70,19.14,18.41,否
2026-01-12,600633,浙数文化,15.33,9.97%,4.32%,3.73,19.44%,5.18%,4.80%,98.21%,29.79%,13.80,13.32,12.96,否
2026-01-12,600658,电子城,6.20,2.82%,3.83%,1.41,19.19%,8.19%,3.97%,62.96%,63.34%,5.93,5.71,5.61,否
2026-01-12,600661,昂立教育,10.84,4.13%,3.22%,1.77,8.21%,2.56%,1.85%,89.74%,51.97%,10.40,10.30,10.29,否
2026-01-12,600694,大商股份,20.05,9.98%,11.28%,5.85,14.41%,2.22%,1.95%,97.85%,72.04%,18.59,18.34,18.44,否
2026-01-12,600704,物产中大,5.86,2.09%,2.06%,1.73,13.99%,3.23%,2.87%,55.56%,27.53%,5.77,5.69,5.59,否
2026-01-12,600718,东软集团,11.72,3.72%,6.13%,3.13,17.92%,7.52%,3.78%,55.81%,52.40%,11.01,10.50,10.17,否
2026-01-12,600733,北汽蓝谷,8.86,3.87%,4.94%,1.97,15.58%,4.43%,2.98%,77.78%,89.62%,8.47,8.24,8.13,否
2026-01-12,600744,华银电力,6.28,2.11%,2.71%,1.14,19.43%,2.31%,1.87%,57.14%,41.46%,6.14,6.06,6.04,否
2026-01-12,600757,长江传媒,9.31,3.91%,2.17%,1.71,8.27%,2.26%,1.47%,91.89%,36.68%,8.99,8.90,8.91,否
2026-01-12,600768,宁波富邦,15.10,4.14%,5.31%,1.98,18.81%,4.66%,3.09%,64.62%,82.43%,14.57,14.20,13.62,否
2026-01-12,600770,综艺股份,5.62,2.55%,2.27%,1.73,14.06%,2.83%,1.70%,62.50%,28.52%,5.41,5.29,5.19,否
2026-01-12,600785,新华百货,14.44,3.00%,6.91%,1.64,12.26%,3.16%,2.13%,61.76%,150.08%,13.94,13.78,13.88,否
2026-01-12,600797,浙大网新,11.21,5.66%,12.46%,2.48,16.59%,4.24%,3.94%,61.82%,133.06%,10.55,10.25,9.98,否
2026-01-12,600839,四川长虹,10.38,9.96%,8.70%,4.48,16.09%,5.05%,3.63%,100.00%,50.85%,9.57,9.37,9.15,否
2026-01-12,600843,上工申贝,12.63,3.36%,10.83%,1.95,18.92%,5.98%,3.27%,56.45%,179.43%,12.30,12.26,11.93,否
2026-01-12,600859,王府井,16.16,3.59%,6.34%,1.68,16.52%,3.14%,2.38%,65.48%,134.31%,15.49,15.35,15.24,否
2026-01-12,600861,北京人力,18.74,2.57%,1.86%,2.24,8.43%,1.42%,1.09%,77.59%,27.14%,18.34,18.18,18.20,是
2026-01-12,601086,国芳集团,10.97,3.10%,3.97%,1.27,14.86%,3.09%,2.51%,71.74%,85.51%,10.53,10.41,10.47,否
2026-01-12,601098,中南传媒,11.69,3.18%,1.70%,2.33,11.55%,1.70%,1.16%,82.35%,23.74%,11.34,11.24,11.20,是
2026-01-12,601339,百隆东方,6.27,5.03%,1.91%,2.09,17.86%,3.45%,1.90%,75.61%,23.86%,5.96,5.87,5.68,否
2026-01-12,601900,南方传媒,15.07,10.00%,2.72%,2.38,12.48%,4.71%,3.77%,98.80%,23.58%,13.81,13.63,13.67,否
2026-01-12,601999,出版传媒,7.44,3.62%,2.38%,1.72,16.94%,2.42%,2.13%,100.00%,31.47%,7.12,7.01,6.91,否
2026-01-12,603022,新通联,10.96,3.49%,6.00%,1.98,13.59%,3.33%,2.43%,56.92%,116.74%,10.66,10.53,10.30,否
2026-01-12,603058,永吉股份,10.02,3.73%,4.11%,1.70,12.97%,3.49%,2.75%,83.72%,95.88%,9.69,9.57,9.49,否
2026-01-12,603066,音飞储存,11.12,2.58%,1.53%,1.56,9.35%,1.66%,1.39%,84.38%,22.15%,10.86,10.82,10.74,是
2026-01-12,603078,江化微,21.42,10.02%,12.40%,4.30,18.39%,4.20%,2.86%,100.00%,80.15%,19.62,18.76,18.41,否
2026-01-12,603096,新经典,18.58,2.94%,1.95%,1.83,11.52%,2.60%,2.09%,95.74%,31.04%,17.88,17.65,17.51,否
2026-01-12,603098,森特股份,14.29,2.51%,1.67%,1.30,18.40%,2.07%,0.93%,90.70%,29.17%,14.05,14.00,13.49,否
2026-01-12,603112,华翔股份,18.87,6.85%,5.12%,2.43,18.81%,5.76%,1.86%,73.13%,51.75%,17.64,17.63,17.64,否
2026-01-12,603118,共进股份,12.35,2.66%,4.40%,1.33,19.43%,2.62%,1.48%,69.70%,66.76%,12.00,11.80,11.60,否
2026-01-12,603138,海量数据,15.78,3.95%,4.89%,2.70,15.15%,3.63%,1.76%,66.67%,43.78%,15.04,14.64,14.28,否
2026-01-12,603170,宝立食品,15.58,4.85%,1.55%,1.89,14.76%,6.67%,4.49%,100.00%,20.77%,15.11,14.70,14.62,否
2026-01-12,603206,嘉环科技,18.47,3.13%,3.44%,2.90,13.37%,6.47%,3.18%,87.30%,39.37%,17.77,17.44,17.07,否
2026-01-12,603214,爱婴室,17.68,2.14%,5.93%,1.82,13.12%,1.28%,0.87%,84.09%,125.44%,17.32,17.21,17.32,是
2026-01-12,603258,电魂网络,20.07,3.83%,3.36%,3.11,10.91%,2.97%,1.63%,82.54%,28.64%,19.23,18.92,18.69,是
2026-01-12,603578,三星新材,12.68,3.34%,2.33%,1.70,16.96%,3.53%,3.03%,63.33%,41.61%,12.24,12.14,12.04,是
2026-01-12,603602,纵横通信,16.47,10.02%,16.84%,7.92,14.33%,1.85%,1.64%,98.56%,51.47%,15.12,14.79,14.55,否
2026-01-12,603719,良品铺子,12.30,2.24%,2.06%,1.68,10.57%,2.79%,1.44%,69.23%,39.45%,12.01,11.90,11.96,是
2026-01-12,603729,龙韵股份,17.65,4.31%,7.98%,2.47,17.28%,8.52%,4.51%,61.54%,92.82%,16.57,16.30,16.10,否
2026-01-12,603777,来伊份,14.09,2.55%,5.56%,1.75,16.96%,5.50%,4.18%,69.23%,126.13%,13.90,13.90,13.97,是
2026-01-12,603808,歌力思,9.24,3.94%,2.88%,1.91,13.10%,6.54%,3.62%,78.72%,35.78%,8.82,8.64,8.48,否
2026-01-12,603889,新澳股份,8.71,6.35%,2.69%,1.56,17.91%,5.04%,3.88%,62.32%,36.77%,8.10,7.96,7.75,否
2026-01-12,603927,中科软,21.17,6.17%,4.15%,2.58,17.15%,1.83%,1.31%,97.22%,30.35%,19.98,19.54,19.21,否
2026-01-12,603949,雪龙集团,19.16,2.24%,1.87%,1.50,13.05%,2.57%,1.48%,78.00%,40.09%,18.64,18.63,18.46,否
2026-01-12,603985,恒润股份,16.40,3.86%,4.13%,2.08,16.71%,4.09%,2.34%,68.97%,56.47%,15.76,15.48,15.07,否
2026-01-12,605162,新中港,10.18,9.58%,10.21%,6.22,17.09%,6.66%,4.85%,93.20%,29.33%,9.18,8.90,8.76,否
2026-01-12,605218,伟时电子,19.68,2.29%,1.67%,1.86,16.67%,4.24%,1.81%,78.46%,22.91%,19.19,18.80,18.53,是
2026-01-05,000670,盈方微,7.73,4.74%,4.80%,1.71,19.79%,2.43%,1.62%,60.71%,53.23%,7.48,7.43,7.44,否
2025-12-25,002172,澳洋健康,4.18,3.98%,4.32%,1.43,17.94%,5.30%,3.54%,68.42%,84.68%,4.09,4.03,4.12,否
2025-12-25,002626,金达威,20.03,5.98%,3.01%,2.16,17.67%,2.26%,1.40%,89.63%,30.95%,19.08,18.79,18.78,否
2025-12-25,002652,扬子新材,4.02,10.14%,7.27%,2.11,16.67%,7.44%,3.30%,78.72%,105.39%,3.71,3.61,3.68,否
2025-12-25,002683,广东宏大,43.06,4.57%,3.47%,1.69,16.84%,6.41%,4.26%,56.23%,64.67%,42.00,41.12,40.50,否
2025-12-25,002801,微光股份,34.92,2.83%,2.58%,1.48,15.92%,3.34%,2.65%,65.55%,36.83%,33.55,33.00,32.93,否
2025-12-25,002870,香山股份,39.69,10.01%,9.35%,2.79,19.98%,3.98%,2.95%,98.63%,63.05%,36.70,36.08,36.10,否
2025-12-25,002933,新兴装备,36.01,3.54%,6.17%,2.84,12.05%,4.53%,3.51%,76.13%,74.72%,35.17,34.96,34.28,否
2025-12-25,002987,京北方,20.29,4.70%,3.95%,2.42,16.56%,3.48%,2.18%,77.53%,35.97%,19.48,19.30,19.13,否
2025-12-25,600433,冠豪高新,3.36,3.07%,2.49%,2.16,10.71%,3.77%,2.83%,75.00%,30.04%,3.24,3.18,3.20,否
2025-12-25,600862,中航高科,22.68,2.62%,2.73%,2.65,13.98%,6.66%,3.78%,69.88%,33.47%,22.23,21.87,21.47,是
2025-12-25,600893,航发动力,41.34,6.46%,2.69%,3.08,15.87%,4.64%,3.93%,75.23%,21.29%,39.25,38.20,37.53,否
2025-12-25,603016,新宏泰,28.70,4.06%,4.14%,2.74,17.21%,3.47%,1.43%,68.67%,37.07%,27.53,27.19,26.74,是
2025-12-25,603082,北自科技,36.63,2.61%,2.90%,1.22,13.92%,2.91%,1.93%,88.89%,50.74%,35.71,35.38,35.88,是
2025-12-25,603270,金帝股份,25.23,4.60%,8.02%,2.54,13.08%,1.84%,1.38%,83.87%,78.61%,24.22,23.94,24.17,否
2025-12-25,603611,诺力股份,24.42,2.13%,1.91%,1.19,14.58%,3.52%,1.97%,92.86%,31.01%,23.61,23.24,23.25,否
2025-12-25,603895,天永智能,29.30,5.21%,4.08%,2.91,15.87%,3.23%,2.63%,95.35%,40.77%,28.26,28.19,28.52,否
2025-12-25,603919,金徽酒,20.43,3.08%,1.62%,1.70,9.30%,2.88%,1.51%,68.37%,25.35%,20.01,19.98,20.04,否
