排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,600919,江苏银行,9.73,0.0874,-0.0082,27.04,-4.96,💥【顶级共振】RSI+KDJ极值(27.0/-5.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.007,平稳
2,601825,沪农商行,8.6,0.0812,-0.0183,22.1,2.75,💥【顶级共振】RSI共振(22.1/18.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.06,平稳
3,601658,邮储银行,5.08,0.078,-0.0212,22.04,-2.67,💥【顶级共振】RSI+KDJ极值(22.0/-2.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.998,平稳
