排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601456,国联民生,9.63,0.0992,-0.0093,26.09,16.35,💥【顶级共振】RSI共振(26.1/16.1) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.968,平稳
2,603551,奥普科技,10.99,0.088,-0.0214,25.28,-1.53,💥【顶级共振】RSI共振(25.3/11.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.092,平稳
3,600919,江苏银行,9.76,0.0827,-0.0269,22.83,-15.25,💥【顶级共振】RSI共振(22.8/11.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.015,平稳
4,600679,上海凤凰,13.02,0.0825,-0.0159,25.31,-1.21,💥【顶级共振】RSI共振(25.3/10.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.037,平稳
5,600018,上港集团,5.19,0.0754,0.0078,24.16,3.33,💥【顶级共振】RSI+KDJ极值(24.2/3.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.991,平稳
6,002481,双塔食品,5.05,0.0734,-0.0059,26.63,3.43,💥【顶级共振】RSI共振(26.6/15.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.019,平稳
7,601658,邮储银行,5.14,0.0672,-0.0058,18.13,-12.42,💥【顶级共振】RSI共振(18.1/8.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.002,平稳
8,601577,长沙银行,9.14,0.0664,0.0,16.19,-3.15,💥【顶级共振】RSI共振(16.2/6.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.051,平稳
9,601825,沪农商行,8.77,0.063,0.0,20.97,-2.7,💥【顶级共振】RSI共振(21.0/5.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.063,平稳
10,601598,中国外运,5.9,0.0605,0.0,28.51,14.82,💥【顶级共振】RSI共振(28.5/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.154,平稳
11,601963,重庆银行,10.19,0.0934,-0.0164,24.02,11.83,🌟【加强级】RSI极值(24.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.089,平稳
