日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-19,000035,中国天楹,6.12,3.03%,2.21%,1.41,11.60%,5.93%,3.32%,59.38%,58.61%,5.90,5.81,5.70,否
2026-01-19,000422,湖北宜化,15.66,3.98%,6.74%,1.52,18.52%,4.07%,1.69%,85.37%,104.40%,15.14,15.04,14.70,否
2026-01-19,000501,武商集团,11.00,4.76%,3.89%,1.47,16.45%,4.95%,1.96%,92.16%,96.49%,10.76,10.68,10.46,否
2026-01-19,000531,穗恒运Ａ,7.05,2.77%,1.60%,1.13,14.18%,3.49%,2.01%,87.50%,34.06%,6.91,6.82,6.68,否
2026-01-19,000576,甘化科工,11.81,7.17%,9.15%,4.05,16.43%,6.07%,3.29%,75.44%,68.95%,11.08,11.01,10.71,否
2026-01-19,000605,渤海股份,7.02,2.63%,1.79%,1.17,15.53%,2.46%,1.02%,66.67%,39.43%,6.91,6.86,6.81,是
2026-01-19,000702,正虹科技,6.85,2.85%,2.75%,1.18,15.91%,3.38%,1.05%,86.96%,68.46%,6.75,6.73,6.73,是
2026-01-19,000782,恒申新材,5.55,4.32%,4.76%,1.56,19.28%,5.57%,4.22%,72.97%,84.72%,5.33,5.22,5.13,否
2026-01-19,000899,赣能股份,10.78,3.06%,2.21%,1.66,11.22%,2.86%,0.98%,75.00%,32.56%,10.51,10.35,10.21,否
2026-01-19,000920,沃顿科技,13.30,2.54%,2.15%,1.26,19.02%,3.69%,1.65%,64.71%,38.14%,12.86,12.80,12.66,否
2026-01-19,000978,桂林旅游,7.42,3.20%,3.39%,1.41,14.69%,3.83%,2.87%,82.14%,80.94%,7.29,7.21,7.13,否
2026-01-19,002039,黔源电力,19.41,2.32%,1.57%,1.17,9.17%,3.09%,2.33%,79.71%,29.97%,18.82,18.44,18.35,否
2026-01-19,002090,金智科技,13.29,4.73%,9.90%,2.15,19.86%,5.65%,3.23%,95.52%,132.49%,12.88,12.67,12.28,否
2026-01-19,002274,华昌化工,5.90,2.61%,1.78%,1.52,18.31%,4.53%,1.92%,88.24%,32.84%,5.79,5.78,5.76,是
2026-01-19,002322,理工能科,13.48,2.82%,3.15%,2.31,13.58%,3.37%,1.98%,78.57%,44.30%,13.10,12.86,12.47,否
2026-01-19,002395,双象股份,18.78,7.81%,5.90%,5.05,15.07%,2.01%,1.16%,82.46%,30.88%,17.70,17.47,17.05,否
2026-01-19,002440,闰土股份,8.02,3.08%,2.41%,1.54,12.84%,2.97%,1.52%,90.62%,39.08%,7.78,7.77,7.68,否
2026-01-19,002441,众业达,10.06,3.07%,4.98%,2.25,15.61%,3.03%,0.84%,90.48%,60.58%,9.69,9.62,9.44,否
2026-01-19,002454,松芝股份,9.81,6.98%,4.92%,3.46,16.62%,4.71%,3.03%,91.80%,39.85%,9.17,9.00,8.87,否
2026-01-19,002483,润邦股份,7.42,3.06%,1.87%,1.27,14.02%,3.64%,1.11%,100.00%,48.22%,7.24,7.21,7.14,否
2026-01-19,002540,亚太科技,7.41,2.77%,4.10%,1.37,12.42%,3.29%,3.02%,69.70%,104.01%,7.22,7.19,7.06,否
2026-01-19,002576,通达动力,18.56,3.11%,6.17%,2.56,12.82%,3.25%,1.98%,64.37%,65.92%,17.83,17.62,17.33,否
2026-01-19,002615,哈尔斯,8.04,3.61%,5.55%,2.10,12.19%,2.72%,1.30%,73.68%,62.57%,7.80,7.75,7.76,否
2026-01-19,002648,卫星化学,19.49,4.22%,2.34%,1.81,16.52%,4.51%,3.79%,70.09%,40.58%,18.87,18.71,18.00,否
