排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601456,国联民生,9.84,0.0964,-0.0324,15.08,31.92,💥【顶级共振】RSI共振(15.1/2.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.978,平稳
2,001286,陕西能源,9.36,0.0773,0.0054,22.46,-2.08,💥【顶级共振】RSI共振(22.5/17.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.09,平稳
3,603565,中谷物流,10.05,0.0686,0.001,27.11,-9.72,💥【顶级共振】RSI共振(27.1/12.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.118,平稳
4,002608,江苏国信,7.44,0.0657,0.0068,24.17,-1.71,💥【顶级共振】RSI+KDJ极值(24.2/-1.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.047,平稳
5,605008,长鸿高科,14.34,0.0829,0.0049,23.02,13.48,🌟【加强级】RSI极值(23.0) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.096,平稳
