日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-07,000822,山东海化,5.67,4.23%,3.59%,2.31,18.34%,4.00%,3.62%,75.86%,42.47%,5.38,5.35,5.29,是
2026-01-07,002395,双象股份,17.31,2.43%,2.20%,2.01,16.06%,2.90%,1.26%,59.15%,26.46%,16.92,16.75,16.58,是
2026-01-07,002645,华宏科技,15.75,3.62%,6.54%,1.65,19.94%,2.87%,2.66%,60.27%,58.69%,15.10,14.88,14.70,否
2026-01-07,600258,首旅酒店,17.13,3.69%,2.71%,1.75,16.93%,3.98%,2.36%,56.99%,47.94%,16.57,16.49,16.23,否
2026-01-07,600546,山煤国际,10.66,4.00%,2.48%,1.56,15.76%,2.56%,1.08%,77.50%,24.25%,10.27,10.22,10.27,否
2026-01-07,600971,恒源煤电,6.46,2.38%,1.90%,1.47,19.04%,1.28%,0.96%,58.82%,24.96%,6.30,6.29,6.31,是
2026-01-07,601117,中国化学,8.24,6.32%,4.45%,4.49,10.07%,2.91%,2.65%,70.59%,22.04%,7.72,7.69,7.62,否
2026-01-07,603113,金能科技,6.55,4.63%,3.82%,2.26,15.73%,3.76%,1.95%,72.97%,65.87%,6.25,6.20,6.22,否
2026-01-07,603269,海鸥股份,13.85,8.12%,17.03%,3.84,17.47%,6.36%,4.37%,77.57%,131.03%,13.20,13.05,12.91,否
2026-01-07,603291,联合水务,10.49,2.34%,8.20%,2.22,15.63%,4.79%,4.38%,75.00%,134.27%,9.96,9.82,9.89,是
2026-01-07,603488,展鹏科技,8.70,9.99%,11.61%,7.85,14.83%,3.11%,1.28%,94.87%,40.48%,7.99,7.90,7.81,否
2026-01-07,603966,法兰泰克,12.59,3.28%,4.16%,1.40,17.24%,6.39%,4.82%,69.70%,69.88%,12.07,11.78,11.25,否
2026-01-07,605222,起帆电缆,19.27,3.94%,3.21%,2.35,18.47%,4.96%,2.68%,75.65%,50.75%,18.61,18.32,18.03,否
2026-01-05,000670,盈方微,7.73,4.74%,4.80%,1.71,19.79%,2.43%,1.62%,60.71%,53.23%,7.48,7.43,7.44,否
2025-12-25,002172,澳洋健康,4.18,3.98%,4.32%,1.43,17.94%,5.30%,3.54%,68.42%,84.68%,4.09,4.03,4.12,否
2025-12-25,002626,金达威,20.03,5.98%,3.01%,2.16,17.67%,2.26%,1.40%,89.63%,30.95%,19.08,18.79,18.78,否
2025-12-25,002652,扬子新材,4.02,10.14%,7.27%,2.11,16.67%,7.44%,3.30%,78.72%,105.39%,3.71,3.61,3.68,否
2025-12-25,002683,广东宏大,43.06,4.57%,3.47%,1.69,16.84%,6.41%,4.26%,56.23%,64.67%,42.00,41.12,40.50,否
2025-12-25,002801,微光股份,34.92,2.83%,2.58%,1.48,15.92%,3.34%,2.65%,65.55%,36.83%,33.55,33.00,32.93,否
2025-12-25,002870,香山股份,39.69,10.01%,9.35%,2.79,19.98%,3.98%,2.95%,98.63%,63.05%,36.70,36.08,36.10,否
2025-12-25,002933,新兴装备,36.01,3.54%,6.17%,2.84,12.05%,4.53%,3.51%,76.13%,74.72%,35.17,34.96,34.28,否
2025-12-25,002987,京北方,20.29,4.70%,3.95%,2.42,16.56%,3.48%,2.18%,77.53%,35.97%,19.48,19.30,19.13,否
2025-12-25,600433,冠豪高新,3.36,3.07%,2.49%,2.16,10.71%,3.77%,2.83%,75.00%,30.04%,3.24,3.18,3.20,否
2025-12-25,600862,中航高科,22.68,2.62%,2.73%,2.65,13.98%,6.66%,3.78%,69.88%,33.47%,22.23,21.87,21.47,是
2025-12-25,600893,航发动力,41.34,6.46%,2.69%,3.08,15.87%,4.64%,3.93%,75.23%,21.29%,39.25,38.20,37.53,否
2025-12-25,603016,新宏泰,28.70,4.06%,4.14%,2.74,17.21%,3.47%,1.43%,68.67%,37.07%,27.53,27.19,26.74,是
2025-12-25,603082,北自科技,36.63,2.61%,2.90%,1.22,13.92%,2.91%,1.93%,88.89%,50.74%,35.71,35.38,35.88,是
2025-12-25,603270,金帝股份,25.23,4.60%,8.02%,2.54,13.08%,1.84%,1.38%,83.87%,78.61%,24.22,23.94,24.17,否
2025-12-25,603611,诺力股份,24.42,2.13%,1.91%,1.19,14.58%,3.52%,1.97%,92.86%,31.01%,23.61,23.24,23.25,否
2025-12-25,603895,天永智能,29.30,5.21%,4.08%,2.91,15.87%,3.23%,2.63%,95.35%,40.77%,28.26,28.19,28.52,否
2025-12-25,603919,金徽酒,20.43,3.08%,1.62%,1.70,9.30%,2.88%,1.51%,68.37%,25.35%,20.01,19.98,20.04,否
