排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601187,厦门银行,7.12,0.0895,-0.0056,19.8,-7.11,💥【顶级共振】RSI共振(19.8/3.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.147,平稳
2,600011,华能国际,7.38,0.0878,-0.0014,28.02,-8.73,💥【顶级共振】RSI+KDJ极值(28.0/-8.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.104,平稳
3,603600,永艺股份,11.5,0.0718,-0.0086,24.01,-3.21,💥【顶级共振】RSI共振(24.0/8.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.086,平稳
4,601963,重庆银行,10.45,0.0703,0.0,23.18,10.8,💥【顶级共振】RSI共振(23.2/8.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.098,平稳
5,605008,长鸿高科,14.24,0.0887,0.0,25.77,19.51,🌟【加强级】RSI极值(25.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.072,平稳
