日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-15,000035,中国天楹,5.92,3.32%,2.04%,1.33,11.99%,4.15%,2.50%,55.88%,56.25%,5.81,5.72,5.66,否
2026-01-15,000782,恒申新材,5.40,3.65%,4.50%,1.50,19.81%,5.34%,4.15%,75.86%,79.10%,5.22,5.12,5.09,否
2026-01-15,001286,陕西能源,9.73,2.10%,2.11%,1.25,11.72%,4.28%,2.82%,73.91%,44.85%,9.69,9.56,9.71,否
2026-01-15,002357,富临运业,11.66,3.74%,6.50%,1.82,18.87%,5.56%,1.36%,66.67%,95.78%,11.24,11.06,10.70,否
2026-01-15,002454,松芝股份,9.14,2.47%,3.83%,2.89,10.50%,3.30%,1.02%,64.29%,34.03%,8.92,8.84,8.77,否
2026-01-15,002546,新联电子,7.83,9.97%,12.49%,2.49,18.14%,2.74%,1.84%,100.00%,88.85%,7.27,7.21,7.09,否
2026-01-15,002606,大连电瓷,9.50,2.81%,4.55%,1.88,11.89%,4.03%,1.77%,97.06%,59.84%,9.28,9.12,8.99,否
2026-01-15,002743,富煌钢构,5.84,4.10%,6.90%,3.27,11.99%,5.27%,3.09%,56.10%,60.00%,5.69,5.60,5.49,是
2026-01-15,002861,瀛通通讯,19.50,2.96%,6.49%,1.38,18.15%,4.55%,2.25%,71.30%,133.90%,19.03,18.69,18.51,否
2026-01-15,002918,蒙娜丽莎,17.00,3.16%,4.59%,1.45,19.24%,4.70%,3.42%,64.52%,89.84%,16.33,15.63,14.90,否
2026-01-15,600251,冠农股份,10.10,5.87%,4.17%,3.05,16.83%,4.93%,1.79%,75.36%,40.43%,9.63,9.53,9.28,否
2026-01-15,600273,嘉化能源,10.10,4.12%,3.99%,2.68,19.11%,6.15%,4.75%,61.90%,46.07%,9.58,9.40,8.88,否
2026-01-15,600312,平高电气,19.87,2.53%,3.80%,1.63,18.22%,7.14%,4.09%,60.82%,57.66%,19.42,18.84,18.30,否
2026-01-15,600458,时代新材,14.15,2.31%,2.47%,1.82,12.86%,2.61%,2.05%,88.64%,42.01%,14.04,13.88,13.61,否
2026-01-15,600847,万里股份,13.10,3.80%,2.32%,1.18,17.79%,5.85%,4.36%,67.12%,50.50%,12.48,12.08,11.80,否
2026-01-15,600873,梅花生物,10.48,3.15%,2.44%,2.30,15.46%,1.65%,1.07%,56.00%,31.00%,10.27,10.24,10.19,否
2026-01-15,600983,惠而浦,10.69,3.69%,1.77%,3.15,11.79%,2.42%,1.18%,68.25%,20.90%,10.38,10.24,9.92,否
2026-01-15,603135,中重科技,10.19,6.26%,5.92%,3.53,17.17%,5.13%,2.14%,63.33%,51.24%,9.73,9.55,9.35,否
2026-01-15,603161,科华控股,15.54,9.98%,5.45%,2.63,17.50%,4.15%,3.25%,89.40%,51.17%,14.29,14.06,13.82,否
2026-01-15,603208,江山欧派,15.61,6.84%,7.35%,4.46,9.55%,2.74%,1.16%,88.29%,47.67%,14.87,14.73,14.76,否
