日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-09,000050,深天马Ａ,10.25,7.11%,6.10%,5.87,15.51%,7.75%,3.85%,65.05%,28.82%,9.53,9.22,9.04,否
2026-01-09,000501,武商集团,11.10,7.77%,8.11%,3.27,16.22%,4.42%,2.77%,77.78%,80.25%,10.38,10.26,10.14,否
2026-01-09,000576,甘化科工,11.16,2.10%,4.42%,2.31,11.56%,3.76%,3.29%,64.29%,51.77%,10.79,10.65,10.41,否
2026-01-09,000676,智度股份,9.46,6.17%,8.83%,2.93,14.38%,3.76%,2.43%,91.04%,79.27%,8.98,8.71,8.51,否
2026-01-09,000680,山推股份,12.47,3.23%,2.34%,1.13,19.89%,4.26%,2.84%,55.00%,54.10%,12.31,11.96,11.50,否
2026-01-09,000758,中色股份,7.03,2.78%,4.28%,1.75,17.92%,4.21%,2.86%,92.00%,63.50%,6.86,6.67,6.39,否
2026-01-09,000818,航锦科技,21.08,2.93%,4.26%,2.24,17.17%,5.85%,4.25%,65.69%,52.80%,20.43,19.84,19.35,是
2026-01-09,000829,天音控股,11.33,3.00%,5.22%,1.85,17.12%,6.92%,3.46%,72.34%,100.16%,10.99,10.83,10.83,否
2026-01-09,000875,吉电股份,5.82,2.83%,2.21%,1.36,11.34%,1.95%,0.71%,80.00%,30.01%,5.68,5.65,5.62,否
2026-01-09,002030,达安基因,6.36,2.25%,1.88%,1.73,14.78%,4.87%,4.70%,81.25%,25.30%,6.24,6.13,6.11,否
2026-01-09,002065,东华软件,9.86,2.28%,3.71%,1.51,15.42%,3.82%,2.33%,81.25%,62.40%,9.54,9.34,9.33,否
2026-01-09,002088,鲁阳节能,11.35,6.77%,2.65%,3.97,19.30%,2.08%,0.76%,75.00%,20.55%,10.75,10.66,10.69,是
2026-01-09,002103,广博股份,9.48,2.93%,7.61%,2.05,12.55%,1.53%,1.10%,100.00%,135.43%,9.25,9.21,9.30,是
2026-01-09,002123,梦网科技,13.68,4.83%,12.88%,3.37,18.27%,6.25%,3.78%,83.33%,158.97%,13.05,12.75,12.68,是
2026-01-09,002167,东方锆业,13.48,2.43%,5.89%,1.74,17.06%,4.05%,2.44%,67.86%,81.20%,13.10,12.77,12.46,否
2026-01-09,002174,游族网络,13.15,2.26%,4.03%,1.19,18.40%,3.73%,2.47%,77.42%,75.87%,12.74,12.60,12.12,否
2026-01-09,002236,大华股份,19.68,2.02%,2.90%,1.38,16.92%,2.42%,1.06%,98.04%,41.58%,19.40,19.20,18.92,否
2026-01-09,002237,恒邦股份,14.24,2.59%,3.89%,1.32,18.82%,3.22%,2.46%,90.70%,84.51%,14.01,13.68,13.37,否
2026-01-09,002292,奥飞娱乐,9.99,5.27%,8.10%,1.73,16.82%,5.99%,4.18%,98.25%,182.13%,9.51,9.14,9.12,否
2026-01-09,002296,辉煌科技,12.43,10.00%,24.22%,8.10,17.94%,2.82%,2.48%,81.55%,91.68%,11.48,11.38,10.96,否
2026-01-09,002354,天娱数科,7.35,6.06%,11.86%,2.88,17.01%,6.75%,4.71%,95.92%,108.70%,6.90,6.58,6.39,否
2026-01-09,002410,广联达,13.13,2.50%,2.31%,1.33,19.57%,2.36%,1.37%,91.67%,38.95%,12.87,12.66,12.47,是
2026-01-09,002416,爱施德,13.64,6.15%,6.60%,3.46,15.10%,4.96%,3.36%,66.67%,46.93%,12.86,12.58,12.25,否
2026-01-09,002419,天虹股份,6.03,7.10%,9.13%,3.65,14.10%,5.78%,2.71%,83.33%,94.06%,5.68,5.67,5.68,否
2026-01-09,002467,二六三,6.36,2.91%,5.91%,1.69,13.21%,2.83%,1.48%,90.00%,88.64%,6.22,6.11,6.01,否
2026-01-09,002530,金财互联,10.84,2.17%,5.61%,1.56,16.61%,5.10%,3.71%,95.65%,103.42%,10.65,10.56,10.19,否
2026-01-09,002537,海联金汇,9.03,2.15%,5.56%,1.64,13.73%,4.08%,1.66%,92.59%,126.99%,8.93,8.91,8.54,否
2026-01-09,002599,盛通股份,8.70,2.11%,8.34%,2.41,11.95%,5.45%,2.91%,96.15%,122.56%,8.47,8.41,8.12,是
2026-01-09,002609,捷顺科技,9.67,2.44%,2.94%,1.64,10.13%,2.77%,1.49%,87.50%,48.27%,9.48,9.34,9.19,是
2026-01-09,002649,博彦科技,14.41,7.70%,9.56%,4.66,12.14%,2.96%,1.67%,77.44%,55.90%,13.54,13.29,13.06,否
2026-01-09,002655,共达电声,13.20,2.01%,5.00%,1.33,11.97%,2.10%,1.16%,80.00%,146.96%,12.99,12.94,12.57,否
2026-01-09,002696,百洋股份,7.40,4.52%,6.37%,1.20,19.59%,7.64%,3.68%,76.74%,120.91%,7.18,7.10,6.97,否
2026-01-09,002708,光洋股份,13.46,2.05%,4.01%,1.33,14.49%,3.14%,1.72%,56.41%,70.42%,13.29,13.25,12.83,否
2026-01-09,002712,思美传媒,6.50,8.15%,11.67%,2.71,20.00%,6.38%,3.56%,85.96%,148.84%,5.99,5.67,5.52,否
2026-01-09,002730,电光科技,15.63,2.09%,3.05%,2.38,12.28%,2.59%,1.53%,71.11%,32.23%,15.30,15.14,14.96,是
2026-01-09,002777,久远银海,20.31,10.02%,10.61%,5.32,15.66%,2.90%,2.23%,98.21%,51.10%,18.74,18.27,17.96,否
2026-01-09,002799,环球印务,9.37,4.58%,6.53%,1.74,14.30%,5.03%,3.05%,69.49%,125.71%,8.92,8.77,8.69,否
2026-01-09,002815,崇达技术,14.44,2.12%,6.24%,1.85,18.21%,2.78%,1.88%,64.15%,104.76%,14.11,13.99,13.79,否
2026-01-09,600037,歌华有线,7.91,3.67%,2.79%,2.40,13.53%,2.14%,1.74%,81.82%,29.66%,7.57,7.43,7.36,否
2026-01-09,600056,中国医药,10.82,2.66%,1.99%,1.71,13.22%,1.84%,1.26%,89.47%,25.44%,10.58,10.49,10.52,否
2026-01-09,600088,中视传媒,16.90,2.30%,1.76%,1.44,11.72%,2.33%,1.65%,97.73%,39.14%,16.49,16.30,16.23,否
2026-01-09,600126,杭钢股份,8.73,2.46%,2.04%,1.39,19.24%,3.22%,2.21%,78.57%,33.53%,8.49,8.31,8.11,是
2026-01-09,600143,金发科技,20.92,9.99%,10.94%,3.48,17.73%,3.20%,2.30%,100.00%,83.15%,19.47,19.34,18.64,否
2026-01-09,600283,钱江水利,9.65,2.01%,2.91%,3.30,9.74%,4.04%,2.73%,75.00%,22.95%,9.46,9.28,9.17,是
2026-01-09,600348,华阳股份,8.61,2.26%,2.13%,1.37,16.14%,3.25%,1.68%,63.89%,44.84%,8.41,8.29,8.03,否
2026-01-09,600367,红星发展,18.65,3.67%,9.69%,1.49,19.73%,3.69%,2.74%,75.58%,167.73%,18.09,17.90,17.14,否
2026-01-09,600390,五矿资本,5.87,2.44%,1.62%,2.06,10.56%,4.10%,3.74%,76.47%,22.57%,5.77,5.68,5.57,否
2026-01-09,600405,动力源,5.71,3.44%,4.76%,1.96,18.39%,2.96%,2.22%,70.37%,48.21%,5.46,5.33,5.25,否
2026-01-09,600598,北大荒,15.74,2.54%,2.31%,1.88,8.20%,2.97%,1.34%,59.38%,35.41%,15.30,15.16,14.97,否
2026-01-09,600602,云赛智联,19.95,3.21%,2.95%,2.04,15.29%,2.78%,0.97%,94.52%,40.02%,19.25,18.82,18.25,是
2026-01-09,600633,浙数文化,13.94,4.65%,3.84%,3.48,11.41%,3.11%,2.26%,92.75%,27.85%,13.37,13.07,12.84,否
2026-01-09,600643,爱建集团,5.66,2.17%,1.61%,1.84,10.78%,3.64%,3.28%,64.29%,27.09%,5.58,5.56,5.42,否
2026-01-09,600718,东软集团,11.30,4.15%,5.98%,3.17,14.87%,7.52%,2.94%,69.49%,48.70%,10.70,10.32,10.07,否
2026-01-09,600724,宁波富达,6.04,2.90%,1.64%,1.45,15.89%,5.67%,4.26%,57.14%,37.63%,5.76,5.74,5.59,否
