排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,601111,中国国航,8.54,0.0886,-0.0012,28.94,-16.74,💥【顶级共振】RSI共振(28.9/9.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.108,平稳
2,001205,盛航股份,16.24,0.0846,-0.0043,23.14,13.83,💥【顶级共振】RSI共振(23.1/13.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.024,平稳
3,002668,TCL智家,10.05,0.078,-0.003,27.55,4.26,💥【顶级共振】RSI共振(27.6/16.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.001,平稳
4,600018,上港集团,5.24,0.0609,-0.0057,19.79,1.61,💥【顶级共振】RSI共振(19.8/10.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.993,平稳
5,601598,中国外运,5.9,0.0605,-0.0117,28.51,12.28,💥【顶级共振】RSI共振(28.5/17.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.159,平稳
