日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-06,000050,深天马Ａ,9.46,3.96%,2.02%,2.15,14.80%,2.37%,1.47%,92.11%,25.61%,9.07,8.96,8.96,否
2026-01-06,000059,华锦股份,5.59,3.52%,3.17%,2.63,12.16%,6.58%,3.09%,72.41%,35.73%,5.37,5.24,5.13,否
2026-01-06,000060,中金岭南,6.24,4.87%,5.65%,1.86,19.07%,4.33%,3.12%,64.52%,85.66%,5.92,5.77,5.58,否
2026-01-06,000519,中兵红箭,19.07,3.08%,5.06%,1.83,14.79%,3.01%,1.78%,88.89%,69.96%,18.34,17.91,17.75,否
2026-01-06,000532,华金资本,16.33,2.32%,5.00%,1.61,19.53%,4.24%,3.10%,73.47%,142.74%,16.22,16.13,15.70,否
2026-01-06,000623,吉林敖东,20.87,3.93%,2.39%,1.98,13.94%,2.76%,2.76%,83.16%,29.51%,19.94,19.79,19.55,否
2026-01-06,000783,长江证券,8.85,6.76%,3.66%,2.32,14.01%,2.21%,1.72%,93.33%,34.13%,8.33,8.25,8.19,否
2026-01-06,000948,南天信息,18.71,4.06%,5.81%,4.09,10.42%,4.63%,3.14%,63.78%,39.98%,18.10,17.62,17.32,否
2026-01-06,001236,弘业期货,10.96,3.01%,2.76%,1.65,14.69%,3.67%,1.88%,77.50%,45.06%,10.76,10.67,10.56,否
2026-01-06,001239,永达股份,16.66,2.21%,4.44%,1.12,16.87%,1.34%,0.98%,73.08%,61.19%,16.38,16.36,16.23,否
2026-01-06,002161,远 望 谷,7.68,2.26%,2.74%,1.29,16.15%,2.87%,2.46%,73.91%,45.81%,7.41,7.27,7.21,否
2026-01-06,002197,ST证通,10.90,9.99%,9.04%,3.19,18.07%,8.43%,2.70%,98.97%,110.43%,10.39,10.29,10.20,否
2026-01-06,002258,利尔化学,13.57,3.98%,3.62%,2.08,11.27%,2.69%,1.54%,72.60%,46.01%,13.17,13.15,13.10,否
2026-01-06,002292,奥飞娱乐,9.42,2.17%,7.34%,1.62,15.61%,5.99%,4.18%,70.97%,190.15%,8.98,8.89,9.14,否
2026-01-06,002373,千方科技,12.88,8.33%,8.19%,2.89,18.94%,3.51%,2.01%,83.19%,87.90%,12.03,11.83,11.29,否
2026-01-06,002574,明牌珠宝,5.86,3.72%,3.71%,1.35,18.77%,3.35%,0.53%,80.77%,105.65%,5.69,5.67,5.64,否
2026-01-06,002579,中京电子,12.72,3.92%,13.47%,3.19,16.43%,6.45%,3.73%,83.67%,152.17%,12.28,12.11,11.92,否
2026-01-06,002590,万安科技,15.82,4.49%,8.07%,2.78,19.79%,3.75%,0.74%,80.23%,88.28%,15.12,14.97,14.25,否
2026-01-06,002601,龙佰集团,20.91,6.25%,2.49%,2.64,16.31%,4.63%,1.80%,81.58%,22.15%,19.85,19.33,18.64,否
2026-01-06,002648,卫星化学,18.52,4.28%,2.75%,2.37,13.88%,4.22%,2.43%,89.29%,31.15%,17.79,17.46,17.02,否
2026-01-06,002659,凯文教育,6.20,2.99%,10.30%,2.34,18.39%,9.04%,4.69%,58.33%,149.98%,5.76,5.60,5.65,否
