日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-14,000409,云鼎科技,13.07,10.02%,4.07%,1.71,17.75%,4.08%,3.59%,100.00%,60.66%,12.12,11.66,11.33,否
2026-01-14,000558,天府文旅,5.36,3.47%,6.96%,1.35,18.10%,3.20%,2.07%,82.61%,121.62%,5.26,5.21,5.24,否
2026-01-14,000610,西安旅游,13.11,3.88%,12.16%,2.73,8.09%,2.07%,0.88%,67.61%,139.36%,12.71,12.62,12.60,否
2026-01-14,000650,仁和药业,6.32,3.10%,6.95%,3.72,11.55%,4.63%,2.24%,62.07%,61.57%,6.14,6.04,5.92,否
2026-01-14,000721,西安饮食,9.68,6.02%,12.45%,2.06,18.08%,2.73%,1.64%,59.57%,221.60%,9.28,9.17,9.36,否
2026-01-14,000815,美利云,12.35,3.35%,5.74%,3.15,14.25%,5.17%,4.60%,64.52%,50.99%,12.12,11.74,11.43,是
2026-01-14,000875,吉电股份,6.77,10.08%,8.79%,4.94,19.35%,6.60%,3.72%,100.00%,36.27%,6.06,5.85,5.72,否
2026-01-14,002059,云南旅游,5.65,3.86%,6.20%,1.51,18.05%,2.36%,1.66%,80.77%,84.13%,5.49,5.43,5.44,否
2026-01-14,002065,东华软件,10.89,7.08%,12.92%,4.76,16.80%,4.15%,3.75%,69.81%,68.91%,10.18,9.73,9.44,否
2026-01-14,002085,万丰奥威,17.32,6.26%,9.97%,5.21,14.09%,4.41%,4.12%,61.11%,51.99%,16.68,16.43,15.91,否
2026-01-14,002094,青岛金王,8.25,5.77%,17.10%,3.63,15.64%,4.61%,3.29%,64.38%,125.99%,7.83,7.73,7.47,否
2026-01-14,002095,生 意 宝,20.94,6.46%,14.33%,6.68,17.62%,4.63%,3.57%,64.29%,59.99%,19.52,18.87,18.34,否
2026-01-14,002148,北纬科技,9.37,2.07%,8.59%,2.62,16.01%,4.56%,3.71%,58.97%,97.09%,9.28,9.10,8.79,否
2026-01-14,002152,广电运通,14.18,5.19%,4.46%,4.13,14.67%,3.50%,2.64%,73.17%,37.64%,13.81,13.68,13.04,否
2026-01-14,002197,ST证通,11.00,4.76%,12.07%,3.54,15.45%,5.41%,2.94%,57.14%,132.55%,10.63,10.51,10.25,否
2026-01-14,002343,慈文传媒,8.16,2.90%,8.45%,1.77,19.24%,5.19%,4.79%,65.12%,167.94%,7.78,7.48,7.29,否
2026-01-14,002372,伟星新材,10.95,4.58%,2.40%,3.06,8.86%,3.07%,2.16%,80.00%,24.32%,10.57,10.55,10.64,否
2026-01-14,002401,中远海科,17.45,2.77%,4.37%,3.33,14.33%,4.89%,4.05%,87.04%,40.75%,16.96,16.50,16.08,否
2026-01-14,002427,尤夫股份,7.33,10.06%,3.50%,2.03,17.74%,5.04%,3.82%,93.65%,60.47%,6.88,6.78,6.60,否
2026-01-14,002570,贝因美,6.31,2.44%,9.57%,2.04,10.94%,2.07%,1.59%,71.43%,130.43%,6.22,6.18,6.21,否
2026-01-14,002637,赞宇科技,10.84,4.94%,7.02%,3.76,18.36%,2.72%,1.54%,69.23%,46.05%,10.43,10.36,10.33,否
2026-01-14,002648,卫星化学,18.98,4.29%,3.18%,2.58,14.28%,3.32%,1.40%,84.15%,37.17%,18.55,18.30,17.63,否
2026-01-14,002707,众信旅游,8.26,9.99%,14.27%,5.10,18.40%,5.48%,0.98%,98.08%,80.68%,7.50,7.34,7.22,否
2026-01-14,002833,弘亚数控,17.20,2.69%,4.70%,3.84,10.00%,2.40%,1.53%,62.50%,34.82%,16.77,16.61,16.18,否
2026-01-14,002835,同为股份,17.19,2.14%,4.32%,2.44,9.13%,2.10%,1.03%,63.27%,56.50%,16.83,16.61,16.38,是
2026-01-14,600063,皖维高新,6.68,4.05%,4.57%,2.18,17.51%,4.05%,2.27%,69.23%,46.60%,6.43,6.24,6.14,否
2026-01-14,600273,嘉化能源,9.70,4.64%,3.84%,2.68,15.77%,5.01%,1.28%,77.19%,44.20%,9.47,9.24,8.79,否
2026-01-14,600382,广东明珠,7.92,2.86%,4.26%,1.58,16.29%,4.53%,2.46%,77.78%,55.55%,7.65,7.48,7.32,否
2026-01-14,600449,宁夏建材,12.86,2.31%,2.04%,1.84,13.45%,1.99%,1.75%,57.69%,26.25%,12.66,12.54,12.49,是
2026-01-14,600571,信雅达,18.05,5.19%,15.12%,5.36,17.62%,5.06%,4.64%,55.14%,77.69%,17.05,16.44,15.84,否
2026-01-14,600706,曲江文旅,11.28,2.27%,10.11%,1.36,18.97%,4.18%,2.21%,63.16%,287.16%,11.13,10.95,11.15,否
2026-01-14,600785,新华百货,15.55,9.97%,6.04%,1.41,17.23%,4.85%,3.00%,67.57%,150.16%,14.38,13.98,14.04,否
2026-01-14,600797,浙大网新,11.63,5.15%,20.03%,3.64,18.06%,6.07%,4.82%,70.45%,147.37%,10.97,10.55,10.12,否
2026-01-14,600825,新华传媒,7.43,7.22%,9.42%,6.66,17.63%,7.96%,4.94%,74.32%,39.91%,7.05,6.65,6.41,否
2026-01-14,603098,森特股份,14.55,3.63%,2.24%,1.72,18.08%,4.13%,2.80%,57.89%,30.62%,14.18,14.06,13.64,否
2026-01-14,603161,科华控股,14.13,2.91%,4.46%,2.23,12.24%,4.09%,3.25%,64.91%,48.35%,13.96,13.88,13.68,否
2026-01-14,603238,诺邦股份,18.32,2.29%,1.73%,1.16,14.85%,3.20%,1.37%,73.68%,36.66%,17.97,17.73,17.50,否
2026-01-14,603291,联合水务,11.24,3.98%,8.46%,2.16,14.59%,3.90%,2.93%,88.68%,110.24%,10.86,10.41,10.06,是
2026-01-14,603477,巨星农牧,17.83,2.35%,2.69%,2.07,11.67%,2.16%,1.41%,63.46%,35.23%,17.57,17.46,17.33,是
2026-01-14,603836,海程邦达,14.27,2.88%,4.20%,1.73,19.69%,2.11%,1.31%,67.86%,80.58%,13.91,13.81,13.86,否
2026-01-14,603856,东宏股份,13.35,4.54%,2.47%,1.62,12.88%,2.94%,1.25%,81.43%,28.31%,12.89,12.70,12.59,否
2026-01-14,603883,老百姓,16.03,2.82%,3.94%,2.77,17.28%,3.41%,2.13%,74.58%,34.79%,15.50,15.23,15.26,是
2026-01-14,603886,元祖股份,14.35,3.76%,6.92%,1.86,14.84%,2.51%,1.32%,58.10%,159.37%,13.90,13.78,13.77,否
2026-01-14,603912,佳力图,8.88,2.07%,4.87%,2.59,11.04%,3.68%,3.01%,56.41%,64.22%,8.81,8.73,8.57,是
2026-01-14,603949,雪龙集团,19.95,3.74%,4.12%,3.16,12.53%,2.67%,2.08%,86.24%,42.90%,19.11,18.84,18.63,否
2026-01-14,603985,恒润股份,16.12,2.15%,3.92%,1.95,17.00%,5.51%,3.80%,55.56%,60.79%,15.95,15.63,15.20,否
2026-01-14,603999,读者传媒,7.83,2.62%,4.85%,1.59,17.75%,5.39%,4.72%,72.97%,123.90%,7.58,7.31,7.13,否
2026-01-12,603078,江化微,21.42,10.02%,12.40%,4.30,18.39%,4.20%,2.86%,100.00%,80.15%,19.62,18.76,18.41,否
