日期,股票代码,股票名称,收盘价,涨跌幅,换手率%,成交量比均量,整理期波动%,突破前最大振幅%,前5日实体波动%,实体饱满度,30日累积换手率%,MA5,MA10,MA20,是否低于MA250
2026-01-08,000503,国新健康,9.59,5.27%,3.39%,3.04,14.39%,3.94%,2.82%,84.48%,31.38%,9.18,9.13,9.19,是
2026-01-08,000519,中兵红箭,19.41,2.92%,4.79%,1.78,13.81%,4.38%,3.89%,85.19%,66.03%,18.81,18.30,17.85,否
2026-01-08,000576,甘化科工,10.93,2.73%,3.40%,1.82,11.44%,2.60%,1.61%,87.50%,51.04%,10.67,10.57,10.37,否
2026-01-08,000801,四川九洲,17.76,3.44%,4.66%,1.56,15.48%,3.19%,1.75%,74.12%,117.39%,17.30,17.24,17.12,否
2026-01-08,000815,美利云,11.87,3.31%,3.61%,2.18,14.83%,2.86%,1.61%,69.81%,42.74%,11.50,11.39,11.22,是
2026-01-08,000818,航锦科技,20.48,2.04%,2.97%,1.60,18.46%,5.85%,4.25%,60.61%,52.03%,20.07,19.63,19.28,是
2026-01-08,000821,京山轻机,14.21,2.97%,8.25%,1.86,15.76%,4.60%,2.52%,69.86%,124.31%,13.67,13.49,13.20,否
2026-01-08,000829,天音控股,11.00,3.00%,3.75%,1.35,17.64%,6.92%,2.65%,86.05%,98.59%,10.91,10.77,10.81,否
2026-01-08,000881,中广核技,9.38,2.51%,5.67%,1.66,17.59%,3.47%,1.55%,66.67%,132.48%,9.15,9.07,8.86,否
2026-01-08,000948,南天信息,18.65,2.42%,4.52%,2.98,10.46%,7.06%,4.51%,78.48%,47.27%,18.30,17.93,17.43,否
2026-01-08,001324,长青科技,19.42,6.00%,10.09%,3.71,14.62%,2.80%,1.64%,68.92%,76.11%,18.50,18.32,18.20,否
2026-01-08,002065,东华软件,9.64,2.23%,3.27%,1.32,17.84%,2.19%,1.53%,61.11%,65.00%,9.40,9.27,9.34,是
