排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,000597,东北制药,5.22,0.0988,-0.0038,28.83,9.25,💥【顶级共振】RSI共振(28.8/15.8),持有,1.03,平稳
2,600189,泉阳泉,6.91,0.0922,0.0029,28.31,-1.38,💥【顶级共振】RSI共振(28.3/17.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.006,平稳
3,600789,鲁抗医药,9.04,0.0887,-0.0044,25.87,3.67,💥【顶级共振】RSI共振(25.9/16.4),持有,0.982,平稳
4,603858,步长制药,15.64,0.0886,-0.0038,14.93,-2.0,💥【顶级共振】RSI共振(14.9/6.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.041,平稳
5,002889,东方嘉盛,15.36,0.0835,-0.0309,27.76,-11.82,💥【顶级共振】RSI共振(27.8/13.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.035,平稳
6,003012,东鹏控股,6.55,0.0801,-0.0106,22.65,-8.56,💥【顶级共振】RSI共振(22.6/8.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.102,平稳
7,603883,老百姓,14.8,0.0796,-0.0114,24.93,-8.21,💥【顶级共振】RSI共振(24.9/11.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.913,平稳
8,600267,海正药业,9.89,0.0784,0.001,27.21,1.52,💥【顶级共振】RSI共振(27.2/17.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.087,平稳
9,603676,卫信康,10.52,0.078,-0.0047,28.45,-5.55,💥【顶级共振】RSI共振(28.4/14.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.027,平稳
10,000755,山西高速,5.02,0.0721,-0.0059,28.11,-0.76,💥【顶级共振】RSI共振(28.1/12.3) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.088,平稳
11,000779,甘咨询,8.21,0.0713,0.0,26.82,15.57,💥【顶级共振】RSI共振(26.8/15.6) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.967,平稳
12,603566,普莱柯,12.43,0.0682,-0.0056,23.88,-5.03,💥【顶级共振】RSI共振(23.9/11.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.017,平稳
13,601456,国联民生,10.17,0.0661,-0.0068,26.0,0.14,💥【顶级共振】RSI共振(26.0/8.2) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.979,平稳
14,002608,江苏国信,7.39,0.0657,-0.004,14.42,-5.93,💥【顶级共振】RSI共振(14.4/3.9) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.05,平稳
15,601838,成都银行,16.12,0.0633,0.0,21.74,4.18,💥【顶级共振】RSI共振(21.7/6.8) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.978,平稳
16,000707,双环科技,6.05,0.0622,-0.0114,28.93,13.44,💥【顶级共振】RSI共振(28.9/10.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,0.974,平稳
17,600380,健康元,11.55,0.0891,-0.0009,28.92,23.86,🌟【加强级】RSI极值(28.9),持有,1.046,平稳
18,600025,华能水电,9.08,0.0622,0.0033,22.54,8.48,🌟【加强级】RSI极值(22.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.03,平稳
