排名,股票代码,股票名称,最新价格,最大回撤,当日跌幅,RSI(14),KDJ(J),行动提示,退出提示,MA50/MA250,MA50/MA250趋势
1,605008,长鸿高科,14.11,0.0832,-0.0042,21.49,34.7,💥【顶级共振】RSI共振(21.5/15.7) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.058,平稳
2,001205,盛航股份,16.27,0.0829,-0.0199,21.97,4.43,💥【顶级共振】RSI共振(22.0/8.4) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.025,平稳
3,603685,晨丰科技,18.3,0.0809,-0.0188,26.92,4.08,💥【顶级共振】RSI共振(26.9/10.5) | 🎯【震荡-高吸】触及BOLL下轨,持有,1.288,平稳
