触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.12%, -2.49%)",1,10.03,10.03,100.0%
量能: 放量 (2.32X) | 动量: 突破转强 (阳线上穿5/10),1,10.01,10.01,100.0%
"形态: 两连阴 (-4.48%, -0.40%)",1,10.0,10.0,100.0%
量能: 放量 (2.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.94,9.94,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.87,8.87,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.02%, -0.36%) | 趋势: 高于MA20",1,7.39,7.39,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,2,6.75,6.75,100.0%
量能: 放量 (1.92X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,6.43,6.43,100.0%
"形态: 两连阴 (-3.84%, -0.15%)",1,6.29,6.29,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.74%, -0.59%)",1,5.78,5.78,100.0%
"形态: 两连阴 (-2.91%, -3.30%)",1,5.78,5.78,100.0%
"形态: 两连阴 (-3.24%, -0.15%)",1,5.74,5.74,100.0%
"形态: 两连阴 (-3.64%, -0.33%) | 趋势: 高于MA20",1,5.49,5.49,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -2.06%) | 趋势: 高于MA20",1,5.34,5.34,100.0%
形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,5.0,5.0,100.0%
"形态: 两连阴 (-2.40%, -0.07%)",1,4.93,4.93,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.73X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.8,4.8,100.0%
