触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,45.49,46.04,100.0%
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,44.1,44.1,100.0%
量能: 放量 (1.50X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,42.24,42.24,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -2.06%) | 趋势: 高于MA20",1,33.15,33.15,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,31.865000000000002,38.365,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.06%, -3.38%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,26.4,26.4,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,24.61,30.51,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.12%, -2.49%)",1,24.45,24.45,100.0%
"形态: 两连阴 (-1.20%, -4.88%)",1,18.87,18.87,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.64%, -2.78%) | 趋势: 高于MA20",1,18.31,18.31,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.65%, -2.88%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,17.6,25.74,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.78%, -3.63%) | 趋势: 高于MA20",1,17.37,17.37,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,16.99,16.99,100.0%
量能: 放量 (2.32X) | 动量: 突破转强 (阳线上穿5/10),1,15.16,18.24,100.0%
量能: 放量 (1.62X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,15.09,15.09,100.0%
"形态: 两连阴 (-0.84%, -1.69%)",1,14.99,16.01,100.0%
"形态: 两连阴 (-2.31%, -3.14%)",1,14.99,20.46,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.71,14.71,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.72X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.66,14.66,100.0%
量能: 放量 (2.16X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.98,15.25,100.0%
量能: 放量 (2.38X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.83,13.83,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.35%, -0.35%) | 趋势: 高于MA20",1,13.22,13.22,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.74%, -0.59%)",1,13.17,18.15,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.49%, -1.39%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,13.11,13.11,100.0%
"形态: 两连阴 (-9.98%, -1.20%)",1,13.08,13.08,100.0%
量能: 放量 (1.76X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.91,12.91,100.0%
"形态: 两连阴 (-4.48%, -0.40%)",1,12.89,14.8,100.0%
量能: 放量 (2.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.89,17.5,100.0%
量能: 放量 (2.94X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,12.76,12.76,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.77X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.6,12.6,100.0%
"形态: 两连阴 (-9.94%, -3.07%)",1,12.24,17.19,100.0%
"形态: 两连阴 (-5.18%, -0.78%)",1,12.23,12.23,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.02%, -0.36%) | 趋势: 高于MA20",1,11.78,11.78,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.94X),1,10.6,10.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.35%, -0.94%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,10.23,10.23,100.0%
量能: 放量 (2.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,10.05,10.05,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.55X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.89,14.07,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.7,16.37,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,2,9.525,10.41,100.0%
量能: 放量 (1.68X),1,9.41,9.41,100.0%
"形态: 两连阴 (-0.71%, -5.44%)",1,9.4,9.4,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.97%, -0.87%)",1,9.38,9.38,100.0%
"形态: 两连阴 (-2.44%, -1.29%) | 趋势: 高于MA20",1,9.29,16.04,100.0%
