触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.34X),1,286.92,286.92,100.0%
"形态: 两连阴 (-1.70%, -0.46%)",1,237.34,253.84,100.0%
"形态: 两连阴 (-3.24%, -0.20%)",1,200.2,200.2,100.0%
"形态: 两连阴 (-4.46%, -0.18%)",1,182.1,182.1,100.0%
量能: 放量 (2.13X),1,180.68,180.68,100.0%
量能: 放量 (2.40X),1,145.78,145.78,100.0%
"形态: 两连阴 (-5.36%, -1.82%)",1,123.06,129.18,100.0%
量能: 放量 (1.66X) | 形态: 10日内有涨停,1,114.91,114.91,100.0%
"形态: 两连阴 (-1.66%, -1.41%)",1,93.8,93.8,100.0%
"量能: 放量 (1.78X) | 形态: 两连阴 (-1.12%, -0.39%)",1,90.89,91.09,100.0%
量能: 放量 (2.86X),1,75.66,75.66,100.0%
"形态: 两连阴 (-1.44%, -1.26%)",1,73.5,73.5,100.0%
量能: 放量 (1.55X),2,51.355000000000004,54.63,50.0%
"形态: 两连阴 (-3.24%, -1.48%)",1,50.8,56.38,100.0%
量能: 放量 (1.53X),1,40.58,40.58,100.0%
"形态: 两连阴 (-0.06%, -0.16%)",1,38.39,45.38,100.0%
量能: 放量 (2.23X),1,38.16,38.16,100.0%
量能: 放量 (2.19X),1,37.58,37.58,100.0%
量能: 放量 (2.36X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,35.46,40.47,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.51%, -2.31%)",1,30.95,30.95,100.0%
"量能: 放量 (1.69X) | 形态: 两连阴 (-5.84%, -0.29%)",1,28.97,28.97,100.0%
量能: 放量 (2.14X) | 形态: 10日内有涨停,1,28.9,28.9,100.0%
"形态: 两连阴 (-3.37%, -0.96%)",1,28.26,28.26,100.0%
"形态: 两连阴 (-6.13%, -0.89%)",1,25.41,31.76,100.0%
量能: 放量 (1.71X) | 形态: 10日内有涨停,1,25.34,27.88,100.0%
"形态: 两连阴 (-9.98%, -1.41%)",1,25.23,25.23,100.0%
"形态: 两连阴 (-2.04%, -0.75%)",1,24.27,24.27,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.91%, -4.85%) | 趋势: 高于MA20",1,23.36,28.12,100.0%
"形态: 两连阴 (-1.72%, -2.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,23.3,28.95,100.0%
"形态: 两连阴 (-1.22%, -0.80%)",1,22.46,22.46,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.31%, -9.99%) | 趋势: 高于MA20",1,22.2,32.11,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.15%, -2.17%)",1,20.48,20.48,100.0%
量能: 放量 (1.68X) | 动量: 突破转强 (阳线上穿5/10),1,20.38,26.48,100.0%
"形态: 两连阴 (-0.98%, -1.90%)",1,20.27,20.27,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-5.37%, -2.99%)",1,19.73,19.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.19%, -2.19%)",1,19.65,19.65,100.0%
"形态: 两连阴 (-2.59%, -0.85%)",1,19.24,24.57,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.83%, -0.40%)",1,19.17,23.98,100.0%
"形态: 两连阴 (-1.54%, -2.61%)",1,18.69,18.69,100.0%
"形态: 两连阴 (-8.40%, -2.35%)",1,18.56,18.56,100.0%
"形态: 两连阴 (-2.10%, -0.68%)",1,18.38,18.38,100.0%
"形态: 两连阴 (-1.41%, -2.80%)",1,18.34,18.34,100.0%
"形态: 两连阴 (-2.18%, -2.47%)",1,18.11,18.11,100.0%
"形态: 两连阴 (-4.47%, -2.30%)",1,17.22,17.22,100.0%
"形态: 两连阴 (-0.68%, -1.03%)",1,17.16,17.16,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.85%, -1.23%)",1,16.99,16.99,100.0%
"形态: 两连阴 (-0.64%, -3.12%)",1,16.88,16.88,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.83%, -2.95%)",1,16.67,16.67,100.0%
"形态: 两连阴 (-3.70%, -0.92%)",1,16.51,16.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.39%, -1.39%) | 趋势: 高于MA20",1,16.34,17.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.89%, -0.83%)",1,16.33,16.33,100.0%
量能: 放量 (1.84X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.29,21.83,100.0%
"形态: 两连阴 (-1.28%, -0.78%)",1,15.99,15.99,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.91%, -2.13%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,15.65,20.95,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -4.58%)",1,15.45,15.45,100.0%
"形态: 两连阴 (-3.52%, -1.75%)",1,15.43,15.43,100.0%
"形态: 两连阴 (-3.26%, -0.76%)",1,15.41,15.41,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.95%, -0.29%)",1,15.33,15.33,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.69%, -1.79%) | 趋势: 高于MA20",1,15.33,32.42,100.0%
"形态: 两连阴 (-2.33%, -0.33%)",1,15.3,15.3,100.0%
"形态: 两连阴 (-0.78%, -2.87%)",1,14.61,14.61,100.0%
"形态: 两连阴 (-2.75%, -1.21%)",1,14.59,14.59,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.58%, -2.73%)",1,14.5,14.5,100.0%
"形态: 两连阴 (-0.10%, -4.09%)",1,14.3,14.3,100.0%
量能: 放量 (1.76X),1,14.18,14.18,100.0%
"形态: 两连阴 (-1.63%, -0.99%)",1,14.02,14.02,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.69%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,13.53,13.53,100.0%
"形态: 两连阴 (-0.85%, -1.54%)",1,13.29,13.29,100.0%
"形态: 两连阴 (-1.89%, -1.64%)",1,13.28,13.28,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.81X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.88,25.33,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.37%, -1.29%)",1,12.74,12.74,100.0%
"形态: 两连阴 (-6.20%, -4.69%)",1,12.62,12.62,100.0%
"形态: 两连阴 (-4.35%, -2.15%)",1,12.58,17.76,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.01%, -1.88%)",1,12.55,21.04,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -4.61%)",1,12.48,12.48,100.0%
"形态: 两连阴 (-5.43%, -0.75%)",1,12.4,12.4,100.0%
