触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.69%, -1.79%) | 趋势: 高于MA20",1,32.42,32.42,100.0%
"形态: 两连阴 (-1.72%, -2.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,28.95,28.95,100.0%
"形态: 两连阴 (-6.28%, -0.72%)",1,22.69,22.69,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.01%, -1.88%)",1,21.04,21.04,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.91%, -2.13%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,20.95,20.95,100.0%
"形态: 两连阴 (-0.31%, -3.93%)",1,19.87,19.87,100.0%
"形态: 两连阴 (-2.96%, -4.99%)",1,18.37,24.6,100.0%
"形态: 两连阴 (-3.24%, -1.48%)",1,17.54,17.54,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.88%, -3.95%) | 趋势: 高于MA20",1,16.43,25.53,100.0%
"量能: 放量 (1.69X) | 形态: 两连阴 (-5.49%, -3.01%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,15.94,15.94,100.0%
"形态: 两连阴 (-0.40%, -0.16%)",1,14.64,14.64,100.0%
"形态: 两连阴 (-6.13%, -0.89%)",1,14.61,14.61,100.0%
量能: 放量 (2.32X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.88,13.88,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.09X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.83,40.53,100.0%
"形态: 两连阴 (-4.32%, -1.66%)",1,13.43,13.43,100.0%
"形态: 两连阴 (-2.17%, -9.67%)",1,13.34,13.34,100.0%
"形态: 两连阴 (-6.65%, -1.59%)",1,13.31,13.31,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.83%, -0.40%)",1,12.7,19.59,100.0%
"形态: 两连阴 (-7.87%, -0.73%)",1,12.7,18.45,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.81X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.45,12.45,100.0%
"形态: 两连阴 (-4.53%, -1.29%)",1,11.63,11.63,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-10.01%, -10.01%)",1,11.46,20.77,100.0%
"形态: 两连阴 (-2.65%, -2.39%)",1,11.43,11.43,100.0%
"形态: 两连阴 (-4.25%, -0.68%)",1,11.09,11.09,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.91%, -4.85%) | 趋势: 高于MA20",1,11.02,14.14,100.0%
"形态: 两连阴 (-1.34%, -0.66%)",1,10.68,10.68,100.0%
"形态: 两连阴 (-6.34%, -1.48%)",1,10.68,10.68,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.69%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,10.61,10.61,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.00%, -1.65%)",1,10.15,15.77,100.0%
"形态: 两连阴 (-1.52%, -2.21%)",1,10.11,10.11,100.0%
"形态: 两连阴 (-0.27%, -2.61%)",1,10.03,10.03,100.0%
量能: 放量 (1.68X) | 动量: 突破转强 (阳线上穿5/10),1,10.02,10.02,100.0%
