选股逻辑,总样本,3天胜率%,7天胜率%,至今胜率%,平均收益%
超跌+放量,2,50.0,100.0,100.0,2.04
缩量,3,100.0,100.0,100.0,13.78
超跌+筑底+缩量,2,50.0,100.0,100.0,7.7
超跌+筑底+放量,29,37.9,79.3,69.0,2.47
超跌+筑底,117,54.7,77.8,81.2,2.55
筑底,63,44.4,66.7,73.0,2.16
常规,144,55.6,66.0,73.6,2.75
超跌,16,43.8,56.2,93.8,3.31
放量,50,34.0,46.0,72.0,1.43
筑底+放量,24,37.5,45.8,54.2,1.46
