代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
603151,邦基科技,2025-12-15,筑底,18.15,18.45,1.65,0,1,1
002488,金固股份,2025-12-15,常规,8.33,8.8,5.64,0,0,1
601699,潞安环能,2025-12-15,超跌+筑底,12.47,11.95,-4.17,0,0,0
002543,万和电气,2025-12-15,超跌+筑底,9.96,10.08,1.2,0,1,1
600967,内蒙一机,2025-12-15,超跌+筑底,15.91,16.34,2.7,0,1,1
003006,百亚股份,2025-12-15,筑底,20.36,21.15,3.88,1,1,1
002180,纳思达,2025-12-15,常规,18.5,19.39,4.81,1,1,1
000677,恒天海龙,2025-12-15,超跌+筑底,4.17,4.5,7.91,0,0,1
600548,深高速,2025-12-15,超跌+筑底,8.8,8.92,1.36,1,1,1
600760,中航沈飞,2025-12-15,超跌+筑底,54.33,57.25,5.37,1,0,1
600079,人福医药,2025-12-12,超跌+筑底,18.15,18.85,3.86,0,1,1
603806,福斯特,2025-12-15,超跌,13.58,14.05,3.46,0,0,1
600395,盘江股份,2025-12-15,超跌+筑底,4.62,4.75,2.81,0,1,1
605377,华旺科技,2025-12-15,超跌+筑底,7.92,8.7,9.85,0,1,1
600985,淮北矿业,2025-12-15,超跌+筑底,11.47,11.25,-1.92,0,0,0
002410,广联达,2025-12-15,超跌+筑底,12.28,12.47,1.55,1,0,1
601865,福莱特,2025-12-15,常规,15.57,16.05,3.08,0,0,1
002274,华昌化工,2025-12-15,超跌+筑底,5.66,5.76,1.77,0,1,1
603609,禾丰股份,2025-12-15,超跌+筑底,7.05,7.08,0.43,1,1,1
600794,保税科技,2025-12-15,超跌+筑底,3.74,3.88,3.74,0,1,1
601766,中国中车,2025-12-15,超跌+放量,6.78,6.9,1.77,1,1,1
002037,保利联合,2025-12-15,超跌+筑底,9.4,9.63,2.45,0,1,1
603713,密尔克卫,2025-12-15,常规,53.85,55.7,3.44,1,1,1
600779,水井坊,2025-12-15,筑底,38.03,39.8,4.65,0,0,1
000524,岭南控股,2025-12-15,常规,12.04,12.28,1.99,1,1,1
600326,西藏天路,2025-12-15,放量,11.01,11.16,1.36,0,0,1
002179,中航光电,2025-12-15,放量,33.59,34.89,3.87,0,0,1
002082,万邦德,2025-12-15,筑底,12.27,13.7,11.65,0,0,1
002541,鸿路钢构,2025-12-15,放量,16.27,16.09,-1.11,0,1,0
603955,大千生态,2025-12-15,放量,30.33,30.57,0.79,0,0,1
002427,尤夫股份,2025-12-15,筑底+放量,6.22,6.76,8.68,0,0,1
002177,御银股份,2025-12-15,放量,6.66,7.06,6.01,1,1,1
002867,周大生,2025-12-15,超跌+筑底,12.07,12.21,1.16,0,1,1
603566,普莱柯,2025-12-15,超跌+筑底,12.63,12.69,0.48,1,1,1
603178,圣龙股份,2025-12-15,常规,18.28,18.59,1.7,1,0,1
002580,圣阳股份,2025-12-15,常规,12.46,12.62,1.28,0,1,1
600500,中化国际,2025-12-15,超跌+筑底,3.83,3.96,3.39,1,1,1
000932,华菱钢铁,2025-12-15,筑底,5.49,5.65,2.91,0,1,1
600131,国网信通,2025-12-15,超跌,16.19,16.34,0.93,0,0,1
000550,江铃汽车,2025-12-15,常规,18.4,18.78,2.07,1,1,1
000568,泸州老窖,2025-12-15,超跌+筑底,122.81,120.72,-1.7,0,0,0
002694,顾地科技,2025-12-15,超跌+筑底+放量,4.02,3.84,-4.48,0,0,0
601216,君正集团,2025-12-15,超跌+筑底,4.73,4.83,2.11,1,1,1
603916,苏博特,2025-12-15,超跌+筑底,9.44,9.73,3.07,0,1,1
000983,山西焦煤,2025-12-15,超跌+筑底,6.56,6.49,-1.07,0,1,0
603579,荣泰健康,2025-12-22,常规,23.42,23.81,1.67,0,1,1
600375,汉马科技,2025-12-22,常规,6.11,5.87,-3.93,0,0,0
603255,鼎际得,2025-12-22,筑底,30.12,29.56,-1.86,0,0,0
600779,水井坊,2025-12-22,筑底,36.53,39.8,8.95,0,1,1
603079,圣达生物,2025-12-22,常规,16.7,16.98,1.68,1,1,1
001979,招商蛇口,2025-12-22,超跌+筑底,8.71,8.79,0.92,1,1,1
600131,国网信通,2025-12-22,超跌,16.05,16.34,1.81,1,1,1
002145,钛能化学,2025-12-22,常规,4.94,4.91,-0.61,0,0,0
603189,网达软件,2025-12-22,常规,20.08,19.4,-3.39,0,0,0
603939,益丰药房,2025-12-22,常规,22.06,22.5,1.99,1,1,1
002925,盈趣科技,2025-12-22,超跌+筑底+缩量,17.24,17.27,0.17,0,1,1
002082,万邦德,2025-12-22,超跌+筑底+缩量,11.89,13.7,15.22,1,1,1
605189,富春染织,2025-12-22,超跌+筑底,15.14,15.15,0.07,0,1,1
003001,中岩大地,2025-12-22,超跌+筑底,19.94,20.49,2.76,1,1,1
002190,成飞集成,2025-12-22,筑底,36.09,37.22,3.13,1,1,1
000937,冀中能源,2025-12-22,超跌+筑底,5.36,5.41,0.93,0,1,1
002670,国盛证券,2025-12-22,超跌+筑底,16.67,17.23,3.36,1,1,1
600325,华发股份,2025-12-22,筑底,4.37,4.34,-0.69,0,0,0
600895,张江高科,2025-12-22,超跌+筑底,38.54,42.48,10.22,1,1,1
000002,万  科Ａ,2025-12-22,常规,4.93,4.79,-2.84,0,0,0
601699,潞安环能,2025-12-22,常规,12.2,11.95,-2.05,0,0,0
002102,能特科技,2025-12-22,超跌+筑底,3.37,3.36,-0.3,0,0,0
001289,龙源电力,2025-12-22,筑底,15.22,15.29,0.46,1,1,1
600603,广汇物流,2025-12-22,常规,6.48,6.61,2.01,1,1,1
600167,联美控股,2025-12-22,超跌+筑底,7.17,7.15,-0.28,0,0,0
603038,华立股份,2025-12-22,超跌+筑底,15.97,15.82,-0.94,1,0,0
603072,天和磁材,2025-12-22,超跌,40.93,41.05,0.29,0,1,1
002765,蓝黛科技,2025-12-22,超跌,11.7,12.1,3.42,1,1,1
002062,宏润建设,2025-12-22,常规,9.17,9.12,-0.55,0,0,0
002721,金一文化,2025-12-22,筑底,3.05,3.13,2.62,1,1,1
603806,福斯特,2025-12-22,超跌,13.35,14.05,5.24,1,1,1
603135,中重科技,2025-12-22,超跌+筑底,9.24,9.15,-0.97,0,0,0
000006,深振业Ａ,2025-12-22,筑底,9.78,10.19,4.19,1,1,1
000818,航锦科技,2025-12-22,筑底,18.99,19.18,1.0,1,1,1
002755,奥赛康,2025-12-22,筑底,16.58,16.56,-0.12,1,0,0
603226,菲林格尔,2025-12-22,超跌+筑底,31.39,32.2,2.58,1,1,1
600048,保利发展,2025-12-22,筑底,6.34,6.26,-1.26,0,0,0
600021,上海电力,2025-12-22,常规,19.68,21.86,11.08,1,1,1
002088,鲁阳节能,2025-12-22,常规,10.74,10.64,-0.93,0,0,0
600126,杭钢股份,2025-12-22,筑底,7.96,8.08,1.51,1,1,1
603200,上海洗霸,2025-12-22,常规,69.95,71.47,2.17,1,1,1
600764,中国海防,2025-12-22,超跌+筑底,26.49,27.24,2.83,1,1,1
002403,爱仕达,2025-12-22,超跌+筑底,12.36,12.35,-0.08,0,0,0
001339,智微智能,2025-12-22,超跌+筑底,48.28,49.22,1.95,1,1,1
000877,天山股份,2025-12-22,筑底,5.38,5.38,0.0,1,0,0
002241,歌尔股份,2025-12-22,超跌+筑底,28.2,28.73,1.88,1,1,1
002531,天顺风能,2025-12-22,超跌+筑底,6.69,6.88,2.84,1,1,1
002065,东华软件,2025-12-22,超跌+筑底,9.28,9.19,-0.97,0,0,0
603373,安邦护卫,2025-12-22,超跌+筑底,38.23,38.05,-0.47,1,0,0
002045,国光电器,2025-12-22,筑底,14.0,14.04,0.29,1,1,1
002929,润建股份,2025-12-22,筑底,39.13,39.67,1.38,1,1,1
605286,同力日升,2025-12-22,超跌+筑底,37.19,38.03,2.26,1,1,1
600266,城建发展,2025-12-22,超跌+筑底,4.5,4.51,0.22,0,1,1
002850,科达利,2025-12-22,超跌+筑底,149.36,156.6,4.85,1,1,1
605133,嵘泰股份,2025-12-22,筑底,32.3,33.18,2.72,0,1,1
