代码,名称,信号日期,选股逻辑,初始价,当前价,累计涨跌%,3天胜,7天胜,至今胜
600395,盘江股份,2025-12-12,超跌+筑底,4.62,4.75,2.81,0,1,1
600976,健民集团,2025-12-12,超跌+筑底+放量,35.2,35.5,0.85,0,1,1
600967,内蒙一机,2025-12-12,筑底+放量,16.42,16.34,-0.49,0,0,0
000932,华菱钢铁,2025-12-12,超跌+筑底+放量,5.37,5.65,5.21,0,1,1
601865,福莱特,2025-12-12,筑底+放量,15.57,16.05,3.08,0,1,1
001289,龙源电力,2025-12-12,超跌+筑底+放量,15.33,15.29,-0.26,0,0,0
000524,岭南控股,2025-12-12,常规,12.02,12.28,2.16,0,1,1
000995,皇台酒业,2025-12-12,常规,12.27,12.96,5.62,1,1,1
002867,周大生,2025-12-12,超跌+筑底+放量,11.95,12.21,2.18,0,1,1
603806,福斯特,2025-12-12,放量,13.87,14.05,1.3,0,0,1
600007,中国国贸,2025-12-12,超跌+筑底+放量,18.76,19.53,4.1,1,1,1
600500,中化国际,2025-12-12,筑底,3.84,3.96,3.13,0,1,1
601216,君正集团,2025-12-12,筑底,4.74,4.83,1.9,1,1,1
605050,福然德,2025-12-02,放量,13.3,13.26,-0.3,0,0,0
603275,众辰科技,2025-12-03,常规,40.99,42.61,3.95,1,1,1
603486,科沃斯,2025-12-02,常规,77.93,80.98,3.91,1,1,1
603950,长源东谷,2025-12-03,常规,29.86,29.84,-0.07,1,0,0
605198,安德利,2025-12-03,常规,38.96,36.66,-5.9,1,0,0
600498,烽火通信,2025-12-03,常规,22.72,27.87,22.67,1,1,1
002025,航天电器,2025-12-03,放量,41.82,47.87,14.47,1,1,1
002543,万和电气,2025-12-03,超跌+筑底,10.6,10.08,-4.91,0,0,0
603266,天龙股份,2025-12-03,常规,20.45,22.16,8.36,0,1,1
600650,锦江在线,2025-12-03,常规,14.25,15.75,10.53,1,1,1
600436,片仔癀,2025-12-03,超跌+筑底+放量,171.48,170.24,-0.72,0,1,0
002423,中粮资本,2025-12-03,筑底+放量,11.75,11.84,0.77,1,0,1
000818,航锦科技,2025-12-03,常规,20.41,19.18,-6.03,0,0,0
603093,南华期货,2025-12-03,常规,18.88,19.02,0.74,1,1,1
601618,中国中冶,2025-12-02,常规,3.24,2.98,-8.02,1,0,0
605050,福然德,2025-12-02,放量,13.3,13.26,-0.3,0,0,0
603009,北特科技,2025-12-02,常规,40.36,43.58,7.98,1,1,1
603486,科沃斯,2025-12-02,常规,77.93,80.98,3.91,1,1,1
002180,纳思达,2025-12-02,筑底,18.67,19.39,3.86,0,1,1
600446,金证股份,2025-12-02,常规,15.67,15.75,0.51,0,1,1
603444,吉比特,2025-12-02,常规,437.74,436.78,-0.22,0,1,0
002674,兴业科技,2025-12-02,常规,12.96,13.87,7.02,0,1,1
603701,德宏股份,2025-11-28,缩量,17.55,20.58,17.26,1,1,1
601098,中南传媒,2025-12-02,超跌+筑底,11.17,11.12,-0.45,0,1,0
002025,航天电器,2025-12-02,放量,42.6,47.87,12.37,1,1,1
601618,中国中冶,2025-12-02,常规,3.24,2.98,-8.02,1,0,0
603867,新化股份,2025-12-17,超跌+筑底,24.14,25.1,3.98,1,1,1
002869,金溢科技,2025-12-17,筑底+放量,22.87,24.15,5.6,1,1,1
601127,赛力斯,2025-12-17,常规,121.55,119.11,-2.01,0,0,0
000677,恒天海龙,2025-12-17,超跌+筑底,4.05,4.5,11.11,1,1,1
000661,长春高新,2025-12-17,筑底,95.31,94.57,-0.78,1,0,0
002456,欧菲光,2025-12-17,超跌+筑底,10.47,10.65,1.72,1,1,1
600094,大名城,2025-12-17,筑底,4.06,4.33,6.65,1,1,1
002616,长青集团,2025-12-17,超跌+筑底,5.45,5.53,1.47,1,1,1
002568,百润股份,2025-12-17,筑底,21.53,21.6,0.33,1,1,1
002365,永安药业,2025-12-17,超跌+筑底,14.95,15.19,1.61,1,1,1
000819,岳阳兴长,2025-12-17,超跌+筑底,15.66,16.53,5.56,1,1,1
000710,贝瑞基因,2025-12-17,筑底+放量,11.31,11.35,0.35,1,1,1
002640,跨境通,2025-12-17,超跌,4.34,4.76,9.68,1,1,1
600845,宝信软件,2025-12-17,超跌+筑底,20.03,20.34,1.55,1,1,1
600079,人福医药,2025-12-17,放量,18.1,18.85,4.14,1,1,1
600548,深高速,2025-12-17,超跌+筑底,8.88,8.92,0.45,0,1,1
600316,洪都航空,2025-12-17,超跌+筑底,30.51,32.33,5.97,1,1,1
605378,野马电池,2025-12-17,常规,22.55,22.93,1.69,0,1,1
002179,中航光电,2025-12-17,常规,32.88,34.89,6.11,1,1,1
603848,好太太,2025-12-17,筑底+放量,18.87,18.28,-3.13,1,0,0
603117,万林物流,2025-12-17,超跌+筑底,4.75,4.84,1.89,1,1,1
