触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.16X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,222.67,234.82,100.0%
量能: 放量 (1.94X),1,210.16,218.18,100.0%
量能: 放量 (1.56X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,194.51,194.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.32%, -0.42%) | 趋势: 高于MA20",1,97.55,97.55,100.0%
"形态: 两连阴 (-0.17%, -3.95%) | 趋势: 高于MA20",1,78.11,78.11,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.61%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,68.58,68.58,100.0%
量能: 放量 (2.12X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,65.88,68.61,100.0%
"形态: 两连阴 (-10.00%, -1.17%)",1,56.09,58.48,100.0%
量能: 放量 (1.69X) | 趋势: 高于MA20,1,45.81,45.81,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,42.44,82.42,100.0%
量能: 放量 (2.67X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,40.94,69.76,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.68%, -0.20%)",1,34.55,34.55,100.0%
"形态: 两连阴 (-1.01%, -4.43%)",1,33.72,42.33,100.0%
量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,31.06,39.41,100.0%
"形态: 两连阴 (-8.24%, -2.84%)",1,29.59,29.59,100.0%
量能: 放量 (2.41X),1,23.9,28.86,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.02%, -1.50%)",1,21.82,21.82,100.0%
动量: 突破转强 (阳线上穿5/10),66,20.917272727272728,27.374545454545455,74.24%
"形态: 两连阴 (-5.41%, -1.21%)",1,19.48,19.48,100.0%
量能: 放量 (1.84X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,19.3,23.83,100.0%
"形态: 两连阴 (-6.82%, -0.24%)",1,19.29,19.29,100.0%
"量能: 放量 (1.67X) | 形态: 两连阴 (-1.87%, -1.30%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,18.89,23.3,100.0%
"量能: 放量 (1.51X) | 形态: 两连阴 (-1.24%, -1.03%)",1,18.3,18.53,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.98%, -5.97%)",1,17.4,17.4,100.0%
"形态: 两连阴 (-8.43%, -1.45%)",1,16.23,18.52,100.0%
量能: 放量 (1.93X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.71,14.71,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.43%, -2.09%) | 趋势: 高于MA20",1,13.79,15.53,100.0%
量能: 放量 (1.84X),1,13.46,13.46,100.0%
趋势: 高于MA20,23,12.751739130434784,16.187826086956523,60.87%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),179,12.58391061452514,16.337597765363128,70.39%
"形态: 两连阴 (-5.85%, -0.96%)",1,12.18,12.18,100.0%
量能: 放量 (1.89X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.91,15.55,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.19%, -0.76%) | 趋势: 高于MA20",1,11.25,11.25,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.03%, -6.87%)",1,10.73,10.73,100.0%
量能: 放量 (1.92X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.48,10.48,100.0%
"形态: 两连阴 (-10.03%, -6.71%)",1,9.89,9.89,100.0%
量能: 放量 (1.66X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.63,9.63,100.0%
"形态: 两连阴 (-8.44%, -1.01%)",1,8.97,8.97,100.0%
"量能: 放量 (1.53X) | 形态: 两连阴 (-9.94%, -1.54%)",1,8.87,8.87,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.25X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.06,8.06,100.0%
"形态: 两连阴 (-10.02%, -9.96%)",1,8.0,10.92,100.0%
量能: 放量 (1.51X) | 趋势: 高于MA20,1,7.99,8.46,100.0%
"形态: 两连阴 (-6.54%, -0.26%)",1,7.42,7.42,100.0%
"形态: 两连阴 (-3.02%, -3.89%)",1,6.77,6.77,100.0%
"形态: 两连阴 (-9.77%, -0.42%)",1,6.56,6.56,100.0%
"形态: 两连阴 (-5.10%, -0.46%)",1,6.55,6.55,100.0%
量能: 放量 (1.52X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,6.34,6.34,100.0%
"形态: 两连阴 (-5.08%, -7.43%)",1,6.32,6.32,100.0%
"形态: 两连阴 (-10.01%, -9.26%)",1,5.73,5.73,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.56%, -0.86%)",1,5.71,5.71,100.0%
量能: 放量 (1.67X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,5.54,7.195,100.0%
"形态: 两连阴 (-3.73%, -0.73%)",1,5.46,5.46,100.0%
形态: 10日内有涨停,30,5.294333333333333,13.798,56.67%
量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,4.82,10.655,50.0%
量能: 放量 (1.58X),1,4.64,4.64,100.0%
"形态: 两连阴 (-1.52%, -0.33%)",1,4.51,4.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-9.99%, -2.83%)",1,4.1,4.1,100.0%
"形态: 两连阴 (-7.88%, -4.66%)",1,4.04,4.04,100.0%
"形态: 两连阴 (-2.82%, -1.20%)",1,3.77,3.77,100.0%
量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.65,3.65,100.0%
"形态: 两连阴 (-9.99%, -4.10%)",1,3.14,3.56,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.03,3.45,100.0%
"形态: 两连阴 (-5.77%, -3.38%)",1,2.98,2.98,100.0%
量能: 放量 (2.36X),1,2.9,3.18,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.88%, -0.67%) | 趋势: 高于MA20",1,2.76,2.76,100.0%
量能: 放量 (2.10X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.36,5.84,100.0%
