代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
601677,2026-05-29,18.69,19.1,2.19,5.4,1,4,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.61%, -3.38%) | 趋势: 高于MA20"
601677,2026-06-02,19.68,19.1,-2.95,0.1,0,2,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000626,2026-06-02,7.95,7.85,-1.26,0.88,0,2,量能: 放量 (1.79X) | 形态: 10日内有涨停
600397,2026-05-29,13.94,13.92,-0.14,0.93,0,4,动量: 突破转强 (阳线上穿5/10)
600397,2026-06-02,13.69,13.92,1.68,2.78,1,2,动量: 突破转强 (阳线上穿5/10)
002491,2026-05-29,23.93,26.83,12.12,12.12,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002491,2026-06-02,25.09,26.83,6.94,6.94,1,2,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600749,2026-05-29,14.82,14.82,0.0,1.35,0,4,"量能: 放量 (1.57X) | 形态: 两连阴 (-0.94%, -1.42%)"
002401,2026-05-29,12.96,12.55,-3.16,2.85,0,4,"形态: 两连阴 (-3.79%, -0.23%)"
603819,2026-05-29,12.56,12.56,0.0,10.03,0,4,"形态: 两连阴 (-4.30%, -0.15%)"
603819,2026-06-02,13.18,12.56,-4.7,-4.7,0,2,形态: 10日内有涨停
000922,2026-06-02,12.94,12.62,-2.47,0.31,0,2,"形态: 两连阴 (-0.66%, -2.52%)"
002624,2026-06-02,13.32,13.92,4.5,4.5,1,2,"形态: 两连阴 (-1.89%, -0.43%)"
600497,2026-05-29,9.52,9.38,-1.47,5.04,0,4,形态: 10日内有涨停
600497,2026-06-02,9.71,9.38,-3.4,2.99,0,2,"形态: 10日内有涨停 | 形态: 两连阴 (-4.61%, -1.05%)"
000026,2026-05-29,23.95,21.56,-9.98,-4.8,0,4,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
000026,2026-06-02,22.39,21.56,-3.71,-0.04,0,2,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
601233,2026-05-29,19.08,20.49,7.39,7.39,1,4,"形态: 两连阴 (-0.64%, -3.12%)"
603711,2026-05-29,14.61,13.63,-6.71,0.96,0,4,趋势: 多头排列 (5>20>60)
002171,2026-05-29,11.92,12.72,6.71,8.05,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
002171,2026-06-02,11.97,12.72,6.27,7.6,1,2,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.69%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600886,2026-05-29,14.3,14.03,-1.89,1.47,0,4,量能: 放量 (1.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600886,2026-06-02,14.46,14.03,-2.97,-1.11,0,2,趋势: 高于MA20
603778,2026-05-29,16.72,18.08,8.13,10.77,1,4,"形态: 两连阴 (-2.17%, -9.67%)"
603778,2026-06-02,18.28,18.08,-1.09,1.31,0,2,形态: 10日内有涨停
600333,2026-06-02,5.81,5.68,-2.24,0.34,0,2,趋势: 高于MA20
600595,2026-05-29,7.0,7.15,2.14,7.86,1,4,"形态: 两连阴 (-4.34%, -2.88%)"
600595,2026-06-02,7.55,7.15,-5.3,0.0,0,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603328,2026-05-29,12.63,13.07,3.48,3.48,1,4,趋势: 多头排列 (5>20>60) | 趋势: 高于MA20
603328,2026-06-02,12.52,13.07,4.39,4.39,1,2,"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.62%, -1.98%) | 趋势: 高于MA20"
000030,2026-05-29,4.58,4.51,-1.53,2.18,0,4,"形态: 两连阴 (-2.95%, -0.43%)"
002825,2026-05-29,10.28,10.09,-1.85,0.68,0,4,趋势: 多头排列 (5>20>60)
600824,2026-05-29,3.82,3.69,-3.4,2.62,0,4,"形态: 两连阴 (-1.82%, -0.53%)"
603777,2026-05-29,18.0,17.12,-4.89,-2.22,0,4,"形态: 两连阴 (-0.68%, -2.01%)"
603777,2026-06-02,17.35,17.12,-1.33,0.52,0,2,"形态: 两连阴 (-2.81%, -2.22%)"
002514,2026-05-29,4.35,4.15,-4.6,5.75,0,4,趋势: 高于MA20
002514,2026-06-02,4.6,4.15,-9.78,-5.0,0,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600859,2026-05-29,11.18,10.45,-6.53,0.54,0,4,量能: 放量 (1.92X) | 动量: 突破转强 (阳线上穿5/10)
000006,2026-05-29,9.1,8.4,-7.69,-2.42,0,4,"形态: 10日内有涨停 | 形态: 两连阴 (-4.00%, -2.84%)"
000006,2026-06-02,8.85,8.4,-5.08,-4.07,0,2,"形态: 两连阴 (-4.91%, -2.42%)"
