代码,名称,信号日期,策略类型,信号价,当前价,累计总涨跌,持仓天数,最高冲击,后续逐日走势
002752,昇兴股份,20251210,E_Leader_Restart (二次启动),8.55,7.3,-14.62%,8,2.81%,T+1:↓(-9.6%) | T+2:↓(-11.6%) | T+3:↓(-4.3%) | T+4:↓(-13.9%) | T+5:↓(-22.2%) | T+6:↓(-21.6%) | T+7:↓(-17.8%) | T+8:↓(-14.6%)
002093,国脉科技,20251209,E_Leader_Restart (二次启动),13.59,11.55,-15.01%,9,-0.07%,T+1:↓(-2.1%) | T+2:↓(-7.2%) | T+3:↓(-9.0%) | T+4:↓(-10.7%) | T+5:↓(-15.7%) | T+6:↓(-15.1%) | T+7:↓(-16.5%) | T+8:↓(-15.6%) | T+9:↓(-15.0%)
603738,泰晶科技,20251209,E_Leader_Restart (二次启动),16.96,15.5,-8.61%,9,0.94%,T+1:↓(-1.7%) | T+2:↓(-4.4%) | T+3:↓(-4.8%) | T+4:↓(-5.0%) | T+5:↓(-10.1%) | T+6:↓(-10.5%) | T+7:↓(-10.4%) | T+8:↓(-10.1%) | T+9:↓(-8.6%)
002585,双星新材,20251209,E_Leader_Restart (二次启动),7.16,6.56,-8.38%,9,5.17%,T+1:↓(-3.2%) | T+2:↓(-9.9%) | T+3:↓(-9.2%) | T+4:↓(-9.1%) | T+5:↓(-12.7%) | T+6:↓(-10.6%) | T+7:↓(-12.3%) | T+8:↓(-9.8%) | T+9:↓(-8.4%)
002332,仙琚制药,20251209,B_Low_Position_Start (低风险埋伏),9.54,9.09,-4.72%,9,0.10%,T+1:↓(-0.2%) | T+2:↓(-1.8%) | T+3:↓(-2.4%) | T+4:↓(-4.1%) | T+5:↓(-5.6%) | T+6:↓(-4.7%) | T+7:↓(-4.6%) | T+8:↓(-3.7%) | T+9:↓(-4.7%)
002992,宝明科技,20251204,B_Low_Position_Start (低风险埋伏),52.23,49.49,-5.25%,12,4.88%,T+1:↑(2.3%) | T+2:↑(1.4%) | T+3:↑(1.0%) | T+4:↑(1.8%) | T+5:↓(-0.8%) | T+6:↓(-1.6%) | T+7:↓(-3.7%) | T+8:↓(-7.0%) | T+9:↓(-5.2%) | T+10:↓(-6.1%) | T+11:↓(-6.6%) | T+12:↓(-5.2%)
000838,财信发展,20251204,E_Leader_Restart (二次启动),3.92,3.26,-16.84%,12,3.06%,T+1:↓(-3.3%) | T+2:↓(-2.6%) | T+3:↓(-7.7%) | T+4:↑(1.5%) | T+5:↓(-2.3%) | T+6:↓(-3.1%) | T+7:↓(-0.5%) | T+8:↓(-4.6%) | T+9:↓(-14.0%) | T+10:↓(-19.1%) | T+11:↓(-15.8%) | T+12:↓(-16.8%)
002520,日发精机,20251204,B_Low_Position_Start (低风险埋伏),6.4,6.04,-5.63%,12,9.22%,T+1:↑(3.4%) | T+2:↑(3.0%) | T+3:↑(0.2%) | T+4:↓(-1.1%) | T+5:↓(-4.1%) | T+6:↓(-2.5%) | T+7:↓(-2.5%) | T+8:↓(-6.3%) | T+9:↓(-8.0%) | T+10:↓(-7.3%) | T+11:↓(-5.9%) | T+12:↓(-5.6%)
603711,香飘飘,20251204,E_Leader_Restart (二次启动),15.38,14.95,-2.80%,12,4.88%,T+1:↑(0.2%) | T+2:↓(-2.7%) | T+3:↑(1.2%) | T+4:↓(-1.8%) | T+5:↓(-8.3%) | T+6:↓(-8.9%) | T+7:↓(-6.7%) | T+8:↓(-5.7%) | T+9:↓(-5.7%) | T+10:↓(-2.5%) | T+11:↓(-1.7%) | T+12:↓(-2.8%)
000536,华映科技,20251204,E_Leader_Restart (二次启动),5.98,5.12,-14.38%,12,10.37%,T+1:↑(0.7%) | T+2:↑(3.3%) | T+3:↑(0.3%) | T+4:↓(-4.7%) | T+5:↓(-13.5%) | T+6:↓(-16.1%) | T+7:↓(-7.7%) | T+8:↓(-9.5%) | T+9:↓(-13.9%) | T+10:↓(-15.4%) | T+11:↓(-13.0%) | T+12:↓(-14.4%)
