触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"量能: 放量 (1.77X) | 形态: 两连阴 (-0.06%, -1.66%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,52.81,68.26,100.0%
量能: 放量 (2.94X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,49.36,49.36,100.0%
"形态: 两连阴 (-2.61%, -3.85%)",1,37.2,42.77,100.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,35.73,46.04,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.27%, -3.38%) | 趋势: 高于MA20",1,35.15,40.18,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.50X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,33.81,38.37,100.0%
量能: 放量 (2.16X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,32.85,45.02,100.0%
"形态: 两连阴 (-1.56%, -3.43%)",1,31.89,31.89,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.75%, -2.03%) | 趋势: 高于MA20",1,29.14,36.97,100.0%
"形态: 两连阴 (-1.45%, -2.89%) | 趋势: 高于MA20",1,28.56,37.53,100.0%
"形态: 两连阴 (-0.75%, -1.51%)",1,28.42,28.42,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,28.38,28.38,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.11%, -6.64%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,28.12,32.85,100.0%
"形态: 两连阴 (-10.00%, -10.05%)",1,27.94,41.76,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.08%, -6.51%) | 趋势: 高于MA20",1,27.54,32.25,100.0%
"形态: 两连阴 (-1.51%, -3.06%)",1,27.42,27.42,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.64%, -1.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,27.41,35.14,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -2.06%) | 趋势: 高于MA20",1,27.39,37.11,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.39%, -1.92%) | 趋势: 高于MA20",1,26.9,26.9,100.0%
"形态: 两连阴 (-2.02%, -2.95%)",1,26.86,75.59,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.44%, -0.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,26.62,30.16,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-5.78%, -3.07%)",1,26.6,26.6,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,26.57,37.01,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.58%, -0.27%) | 趋势: 高于MA20",1,26.56,31.28,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.37%, -5.30%) | 趋势: 高于MA20",1,26.34,39.31,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,25.814999999999998,52.095,50.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.77%, -3.37%) | 趋势: 高于MA20",1,25.05,37.88,100.0%
"形态: 两连阴 (-0.33%, -3.17%) | 趋势: 高于MA20",1,24.68,24.68,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.82%, -3.09%) | 趋势: 高于MA20",1,24.42,24.42,100.0%
量能: 放量 (2.45X),1,24.4,24.4,100.0%
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,24.16,88.36,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,24.08,26.8,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-6.62%, -0.30%) | 趋势: 高于MA20",1,23.89,23.89,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.26%, -9.99%)",1,23.32,27.36,100.0%
"形态: 两连阴 (-2.09%, -4.47%)",1,22.94,22.94,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.83%, -5.28%)",1,22.25,22.25,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.48%, -3.35%) | 趋势: 高于MA20",1,21.93,35.76,100.0%
