触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (1.59X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,26.48,26.48,100.0%
"形态: 两连阴 (-1.55%, -0.78%)",1,26.06,26.06,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -1.99%)",1,26.01,26.01,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.20%, -2.85%)",1,25.21,25.21,100.0%
"形态: 两连阴 (-2.59%, -0.85%)",1,24.95,29.43,100.0%
"形态: 两连阴 (-6.20%, -4.69%)",1,24.76,24.76,100.0%
"形态: 两连阴 (-4.85%, -2.76%)",1,24.6,24.6,100.0%
"形态: 两连阴 (-0.24%, -1.55%)",1,24.57,24.57,100.0%
"形态: 两连阴 (-2.31%, -0.24%)",1,23.59,23.59,100.0%
"形态: 两连阴 (-7.46%, -3.47%)",1,22.85,23.38,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.49%, -1.18%)",1,22.78,24.76,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-9.06%, -0.44%)",1,22.74,27.0,100.0%
"量能: 放量 (2.00X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.16%, -0.89%) | 动量: 突破转强 (阳线上穿5/10)",1,22.6,22.6,100.0%
"形态: 两连阴 (-3.85%, -4.77%)",1,22.56,32.16,100.0%
"形态: 两连阴 (-0.98%, -0.99%)",1,22.41,22.41,100.0%
"形态: 两连阴 (-3.54%, -0.22%)",1,22.18,22.18,100.0%
"形态: 两连阴 (-2.76%, -1.89%)",1,22.12,22.12,100.0%
"形态: 两连阴 (-1.13%, -4.47%)",1,21.9,21.9,100.0%
"形态: 两连阴 (-5.16%, -0.17%)",1,21.73,23.14,100.0%
"形态: 两连阴 (-2.05%, -1.55%)",1,21.31,26.55,100.0%
"形态: 两连阴 (-6.76%, -2.97%)",1,21.23,21.23,100.0%
"形态: 两连阴 (-1.12%, -1.07%)",1,21.22,21.36,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.62%, -1.98%) | 趋势: 高于MA20",1,20.93,20.93,100.0%
"形态: 两连阴 (-4.94%, -0.95%)",1,20.92,20.92,100.0%
量能: 放量 (2.80X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,20.86,21.14,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.01%, -1.88%)",1,20.85,21.04,100.0%
"形态: 两连阴 (-2.04%, -0.75%)",1,20.74,26.57,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-5.61%, -0.48%) | 趋势: 高于MA20",1,20.66,20.66,100.0%
量能: 放量 (1.84X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,20.41,21.83,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.81X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,20.39,25.33,100.0%
"形态: 两连阴 (-6.75%, -1.06%)",1,20.34,20.34,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.65%, -0.51%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,20.25,27.54,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.55%, -0.57%) | 趋势: 高于MA20",1,20.18,29.6,100.0%
"形态: 两连阴 (-2.18%, -2.47%)",1,20.09,20.09,100.0%
"形态: 两连阴 (-6.46%, -1.94%)",1,20.06,20.06,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,19.915000000000003,24.85,50.0%
量能: 放量 (2.81X) | 形态: 10日内有涨停,1,19.27,32.48,100.0%
"形态: 两连阴 (-0.95%, -1.91%)",1,19.18,19.18,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.83%, -2.95%)",1,19.13,28.41,100.0%
"形态: 两连阴 (-3.65%, -0.46%)",1,19.08,19.08,100.0%
"形态: 两连阴 (-3.85%, -4.25%)",1,19.04,21.7,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.40%, -4.07%) | 趋势: 高于MA20",1,18.91,18.91,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.71%, -4.55%)",1,18.86,25.45,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.89%, -0.83%)",1,18.79,28.03,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-9.00%, -6.35%)",1,18.76,28.4,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.64%, -0.73%)",1,18.53,18.53,100.0%
"量能: 放量 (1.51X) | 形态: 两连阴 (-5.68%, -2.48%)",1,18.43,18.43,100.0%
"形态: 两连阴 (-2.24%, -0.27%)",1,18.29,18.29,100.0%
"形态: 两连阴 (-6.40%, -3.89%)",1,18.27,18.27,100.0%
"形态: 两连阴 (-9.98%, -1.41%)",1,18.19,30.56,100.0%
"形态: 两连阴 (-4.98%, -0.16%)",1,18.18,18.84,100.0%
"形态: 两连阴 (-2.64%, -0.68%)",1,18.15,18.15,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.83%, -2.53%)",1,18.1,24.65,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -5.32%)",1,18.03,21.01,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,18.02,22.84,100.0%
"量能: 放量 (1.69X) | 形态: 两连阴 (-5.84%, -0.29%)",1,17.9,28.97,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.14%, -5.37%)",1,17.87,18.03,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.95%, -0.29%)",1,17.77,26.93,100.0%
"形态: 两连阴 (-0.27%, -2.05%)",1,17.73,22.81,100.0%
量能: 放量 (2.06X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,17.62,17.62,100.0%
"形态: 两连阴 (-1.54%, -2.61%)",1,17.57,21.59,100.0%
"形态: 两连阴 (-0.60%, -0.49%)",1,17.32,19.95,100.0%
"形态: 两连阴 (-2.88%, -0.89%)",1,17.2,17.2,100.0%
"形态: 两连阴 (-1.89%, -2.39%)",1,17.03,17.03,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.99%, -3.08%)",1,16.93,16.93,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.08%, -0.72%)",1,16.64,16.64,100.0%
"形态: 两连阴 (-2.77%, -0.71%)",1,16.55,22.47,100.0%
"形态: 两连阴 (-2.97%, -1.16%)",1,16.5,163.04,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.86%, -1.85%) | 趋势: 高于MA20",1,16.36,16.36,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.33,16.33,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.57X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.17,16.17,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.96%, -1.27%)",1,16.14,16.14,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.85%, -1.23%)",1,15.94,22.9,100.0%
"形态: 两连阴 (-0.97%, -0.27%)",1,15.91,20.91,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.13%, -3.16%)",1,15.88,15.88,100.0%
"形态: 两连阴 (-2.32%, -1.12%)",1,15.81,15.95,100.0%
"形态: 两连阴 (-1.38%, -2.61%)",1,15.8,20.72,100.0%
"形态: 两连阴 (-0.10%, -4.09%)",1,15.72,15.72,100.0%
"形态: 两连阴 (-7.18%, -3.07%)",1,15.7,15.7,100.0%
"形态: 两连阴 (-4.47%, -2.30%)",1,15.69,21.46,100.0%
"形态: 两连阴 (-4.98%, -5.00%)",1,15.48,15.74,100.0%
量能: 放量 (1.53X),2,15.260000000000002,19.55,50.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.53%, -4.49%)",1,15.25,15.4,100.0%
量能: 放量 (1.64X) | 动量: 突破转强 (阳线上穿5/10),1,15.23,15.23,100.0%
"形态: 两连阴 (-5.11%, -4.61%)",1,15.19,15.19,100.0%
"形态: 两连阴 (-4.04%, -2.57%)",1,15.14,17.37,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.83%, -7.38%)",1,14.67,14.67,100.0%
"形态: 两连阴 (-0.64%, -1.95%)",1,14.66,15.98,100.0%
"形态: 两连阴 (-3.32%, -0.73%)",1,14.65,14.65,100.0%
"量能: 放量 (1.71X) | 形态: 两连阴 (-2.33%, -2.49%)",1,14.59,14.59,100.0%
"形态: 两连阴 (-0.26%, -2.32%)",1,14.57,14.71,100.0%
"形态: 两连阴 (-3.02%, -1.63%)",1,14.52,15.16,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.96%, -1.72%) | 趋势: 高于MA20",1,14.47,15.56,100.0%
"形态: 两连阴 (-2.21%, -0.25%)",1,14.42,14.42,100.0%
"形态: 两连阴 (-3.19%, -1.89%) | 趋势: 高于MA20",1,14.4,17.29,100.0%
"形态: 两连阴 (-5.40%, -2.01%)",1,14.34,17.5,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.78X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.26,18.95,100.0%
"形态: 两连阴 (-1.64%, -0.76%)",1,14.26,16.28,100.0%
"形态: 两连阴 (-3.41%, -0.15%)",1,14.18,14.18,100.0%
"形态: 两连阴 (-2.47%, -6.26%)",1,14.12,14.12,100.0%
"形态: 两连阴 (-2.39%, -2.65%)",1,14.04,14.45,100.0%
"形态: 两连阴 (-4.49%, -0.64%)",1,13.96,13.96,100.0%
"形态: 两连阴 (-3.00%, -1.18%)",1,13.76,22.25,100.0%
"形态: 两连阴 (-1.27%, -3.54%)",1,13.75,13.75,100.0%
"形态: 两连阴 (-5.49%, -1.50%)",1,13.73,13.73,100.0%
"形态: 两连阴 (-3.37%, -1.27%)",1,13.49,13.49,100.0%
"形态: 两连阴 (-5.51%, -0.69%)",1,13.46,13.86,100.0%
"形态: 两连阴 (-7.87%, -0.73%)",1,13.37,18.45,100.0%
"形态: 两连阴 (-4.03%, -2.52%)",1,13.3,15.91,100.0%
"形态: 两连阴 (-0.35%, -0.26%)",1,13.23,18.12,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20,1,13.02,13.5,100.0%
"形态: 两连阴 (-5.49%, -2.18%)",1,12.96,13.42,100.0%
"形态: 两连阴 (-5.11%, -2.99%)",1,12.9,12.9,100.0%
"形态: 两连阴 (-3.70%, -0.92%)",1,12.84,17.8,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.63X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,12.79,21.69,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-7.20%, -3.39%)",1,12.74,12.74,100.0%
"形态: 两连阴 (-6.19%, -1.81%)",1,12.71,17.5,100.0%
"量能: 放量 (1.59X) | 形态: 两连阴 (-3.02%, -5.46%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,12.67,12.67,100.0%
"形态: 两连阴 (-3.65%, -1.42%)",1,12.64,12.64,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.51%, -0.14%)",1,12.51,12.51,100.0%
"形态: 两连阴 (-1.63%, -0.99%)",1,12.5,19.39,100.0%
"形态: 两连阴 (-3.12%, -1.61%)",1,12.44,15.15,100.0%
"形态: 两连阴 (-2.93%, -5.11%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,12.27,12.27,100.0%
"形态: 两连阴 (-0.85%, -1.54%)",1,12.22,16.06,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,12.163333333333334,16.063333333333333,66.67%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.75%, -0.20%) | 动量: 突破转强 (阳线上穿5/10)",1,12.13,12.13,100.0%
"形态: 两连阴 (-3.90%, -1.12%)",1,12.05,13.58,100.0%
"形态: 两连阴 (-5.06%, -1.55%)",1,11.95,11.95,100.0%
"形态: 两连阴 (-2.48%, -0.88%)",1,11.92,11.92,100.0%
"形态: 两连阴 (-0.94%, -0.16%)",1,11.87,14.31,100.0%
"形态: 两连阴 (-2.02%, -1.63%)",1,11.84,16.67,100.0%
"形态: 两连阴 (-2.97%, -0.33%)",1,11.78,13.89,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.56%, -5.49%)",1,11.76,13.56,100.0%
"形态: 两连阴 (-1.82%, -2.51%)",1,11.73,11.73,100.0%
"量能: 放量 (1.74X) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.96%, -1.43%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,11.71,11.71,100.0%
"形态: 两连阴 (-1.41%, -2.80%)",1,11.69,23.38,100.0%
"形态: 两连阴 (-2.75%, -1.70%)",1,11.67,17.07,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.27%, -0.92%)",1,11.64,14.72,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.46%, -0.46%) | 趋势: 高于MA20",1,11.62,12.1,100.0%
"形态: 两连阴 (-0.45%, -0.10%)",1,11.58,11.58,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.72%, -7.25%) | 趋势: 高于MA20",1,11.54,11.54,100.0%
"形态: 两连阴 (-2.33%, -0.33%)",1,11.51,21.38,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.12%, -4.94%)",1,11.5,13.46,100.0%
"量能: 放量 (1.83X) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.04%, -1.22%) | 动量: 突破转强 (阳线上穿5/10)",1,11.5,11.5,100.0%
"形态: 两连阴 (-0.76%, -1.68%)",1,11.5,13.46,100.0%
量能: 放量 (1.75X) | 动量: 突破转强 (阳线上穿5/10),2,11.43,12.085,100.0%
"形态: 两连阴 (-2.68%, -2.67%)",1,11.32,11.32,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.49%, -0.79%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,11.26,18.04,100.0%
"形态: 两连阴 (-4.32%, -1.67%)",1,11.25,13.3,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.76%, -0.75%)",1,11.11,13.58,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.69%, -1.79%) | 趋势: 高于MA20",1,10.98,32.42,100.0%
"形态: 两连阴 (-3.65%, -1.58%)",1,10.93,10.93,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.81%, -2.53%)",1,10.87,12.39,100.0%
