代码,名称,信号日期,距今,初始价,当前价,累计涨跌%,最大回撤%,量能状态,涨跌原因分析
600560,金自天正,2025-12-17,6天,15.55,15.93,2.44,-2.77,持平,平稳波动
600560,金自天正,2025-12-17,6天,15.55,15.93,2.44,-2.77,持平,平稳波动
002959,小熊电器,2025-12-17,6天,42.93,43.97,2.42,-1.4,持平,平稳波动
002959,小熊电器,2025-12-17,6天,42.93,43.97,2.42,-1.4,持平,平稳波动
000710,贝瑞基因,2025-12-17,6天,11.31,11.58,2.39,-2.39,放量,资金流入
600967,内蒙一机,2025-12-15,8天,15.91,16.27,2.26,-3.52,持平,平稳波动
600316,洪都航空,2025-12-17,6天,30.51,31.2,2.26,-3.31,持平,平稳波动
600316,洪都航空,2025-12-17,6天,30.51,31.2,2.26,-3.31,持平,平稳波动
603151,邦基科技,2025-12-16,7天,17.95,18.35,2.23,-2.34,持平,平稳波动
600395,盘江股份,2025-12-15,8天,4.62,4.72,2.16,-1.52,持平,平稳波动
600395,盘江股份,2025-12-12,11天,4.62,4.72,2.16,-1.52,持平,平稳波动
600395,盘江股份,2025-12-12,11天,4.62,4.72,2.16,-1.52,持平,平稳波动
002179,中航光电,2025-12-18,5天,33.47,34.18,2.12,-2.81,持平,平稳波动
002648,卫星化学,2025-12-10,13天,16.6,16.95,2.11,-2.41,持平,平稳波动
603255,鼎际得,2025-12-19,4天,29.5,30.12,2.1,-1.66,放量,资金流入
603255,鼎际得,2025-12-19,4天,29.5,30.12,2.1,-1.66,放量,资金流入
603255,鼎际得,2025-12-19,4天,29.5,30.12,2.1,-1.66,放量,资金流入
600500,中化国际,2025-12-15,8天,3.83,3.91,2.09,-1.83,缩量,成交乏力
002640,跨境通,2025-12-16,7天,4.37,4.46,2.06,-3.66,放量,资金流入
002179,中航光电,2025-12-08,15天,33.5,34.18,2.03,-3.97,放量,资金流入
002867,周大生,2025-12-12,11天,11.95,12.19,2.01,-1.59,持平,平稳波动
002867,周大生,2025-12-12,11天,11.95,12.19,2.01,-1.59,持平,平稳波动
002867,周大生,2025-12-16,7天,11.95,12.19,2.01,-0.67,缩量,成交乏力
603444,吉比特,2025-12-02,21天,437.74,446.39,1.98,-2.47,持平,冲高回落
603566,普莱柯,2025-12-15,8天,12.63,12.88,1.98,-0.87,持平,平稳波动
603605,珀莱雅,2025-12-17,6天,67.78,69.1,1.95,-2.97,放量,资金流入
603605,珀莱雅,2025-12-17,6天,67.78,69.1,1.95,-2.97,放量,资金流入
002274,华昌化工,2025-12-15,8天,5.66,5.77,1.94,-3.18,持平,平稳波动
002456,欧菲光,2025-12-17,6天,10.47,10.67,1.91,-1.91,缩量,成交乏力
002456,欧菲光,2025-12-17,6天,10.47,10.67,1.91,-1.91,缩量,成交乏力
600436,片仔癀,2025-12-04,19天,168.75,171.98,1.91,-0.92,持平,平稳波动
605588,冠石科技,2025-12-19,4天,49.37,50.27,1.82,-0.73,持平,平稳波动
605588,冠石科技,2025-12-19,4天,49.37,50.27,1.82,-0.73,持平,平稳波动
600500,中化国际,2025-12-12,11天,3.84,3.91,1.82,-2.34,缩量,成交乏力
605588,冠石科技,2025-12-19,4天,49.37,50.27,1.82,-0.73,持平,平稳波动
600500,中化国际,2025-12-12,11天,3.84,3.91,1.82,-2.34,缩量,成交乏力
600760,中航沈飞,2025-12-16,7天,53.9,54.86,1.78,-1.86,缩量,成交乏力
002541,鸿路钢构,2025-12-04,19天,16.43,16.72,1.77,-6.57,放量,资金流入
002179,中航光电,2025-12-15,8天,33.59,34.18,1.76,-3.96,放量,资金流入
600845,宝信软件,2025-12-17,6天,20.03,20.38,1.75,-2.1,持平,平稳波动
600845,宝信软件,2025-12-17,6天,20.03,20.38,1.75,-2.1,持平,平稳波动
603609,禾丰股份,2025-12-16,7天,7.03,7.15,1.71,-1.14,缩量,成交乏力
002095,生 意 宝,2025-12-18,5天,17.66,17.96,1.7,-0.45,持平,平稳波动
603949,雪龙集团,2025-12-04,19天,18.24,18.55,1.7,-4.0,放量,资金流入
603916,苏博特,2025-12-15,8天,9.44,9.6,1.69,-2.75,放量,资金流入
601216,君正集团,2025-12-15,8天,4.73,4.81,1.69,-1.48,持平,平稳波动
603117,万林物流,2025-12-17,6天,4.75,4.83,1.68,-3.58,缩量,成交乏力
603117,万林物流,2025-12-17,6天,4.75,4.83,1.68,-3.58,缩量,成交乏力
000617,中油资本,2025-12-09,14天,9.06,9.21,1.66,-3.09,持平,平稳波动
000617,中油资本,2025-12-17,6天,9.06,9.21,1.66,-3.09,放量,资金流入
603566,普莱柯,2025-12-16,7天,12.67,12.88,1.66,-1.18,缩量,成交乏力
000550,江铃汽车,2025-12-15,8天,18.4,18.7,1.63,-0.82,缩量,成交乏力
002365,永安药业,2025-12-17,6天,14.95,15.19,1.61,-2.27,持平,平稳波动
002365,永安药业,2025-12-17,6天,14.95,15.19,1.61,-2.27,持平,平稳波动
600007,中国国贸,2025-12-12,11天,18.76,19.06,1.6,-1.07,持平,平稳波动
000628,高新发展,2025-12-18,5天,43.66,44.36,1.6,-0.94,缩量,成交乏力
600007,中国国贸,2025-12-12,11天,18.76,19.06,1.6,-1.07,持平,平稳波动
002646,天佑德酒,2025-12-16,7天,8.84,8.98,1.58,-0.9,缩量,成交乏力
603867,新化股份,2025-12-19,4天,24.85,25.24,1.57,-0.76,持平,平稳波动
603867,新化股份,2025-12-19,4天,24.85,25.24,1.57,-0.76,持平,平稳波动
603867,新化股份,2025-12-19,4天,24.85,25.24,1.57,-0.76,持平,平稳波动
002094,青岛金王,2025-12-10,13天,7.17,7.28,1.53,-2.37,放量,资金流入
002094,青岛金王,2025-12-10,13天,7.17,7.28,1.53,-2.37,放量,资金流入
600395,盘江股份,2025-12-11,12天,4.65,4.72,1.51,-2.15,放量,资金流入
002918,蒙娜丽莎,2025-12-10,13天,14.09,14.3,1.49,-3.83,持平,平稳波动
601216,君正集团,2025-12-12,11天,4.74,4.81,1.48,-1.69,持平,平稳波动
601216,君正集团,2025-12-12,11天,4.74,4.81,1.48,-1.69,持平,平稳波动
002145,钛能化学,2025-12-19,4天,4.87,4.94,1.44,-3.49,放量,资金流入
002145,钛能化学,2025-12-19,4天,4.87,4.94,1.44,-3.49,放量,资金流入
002145,钛能化学,2025-12-19,4天,4.87,4.94,1.44,-3.49,放量,资金流入
603609,禾丰股份,2025-12-15,8天,7.05,7.15,1.42,-2.13,持平,平稳波动
600749,西藏旅游,2025-12-17,6天,16.86,17.1,1.42,-2.14,放量,资金流入
600749,西藏旅游,2025-12-17,6天,16.86,17.1,1.42,-2.14,放量,资金流入
000628,高新发展,2025-12-16,7天,43.75,44.36,1.39,-2.63,持平,平稳波动
002857,三晖电气,2025-12-09,14天,20.4,20.68,1.37,-3.33,放量,资金流入
603486,科沃斯,2025-12-02,21天,77.93,79.0,1.37,-1.59,放量,冲高回落 | 资金流入
603178,圣龙股份,2025-12-15,8天,18.28,18.53,1.37,-2.02,放量,资金流入
603486,科沃斯,2025-12-02,21天,77.93,79.0,1.37,-1.59,放量,冲高回落 | 资金流入
000048,京基智农,2025-12-09,14天,13.35,13.53,1.35,-5.02,缩量,成交乏力
600375,汉马科技,2025-12-11,12天,6.03,6.11,1.33,-5.47,缩量,成交乏力
002530,金财互联,2025-12-17,6天,9.8,9.93,1.33,-3.88,放量,资金流入
000831,中国稀土,2025-12-19,4天,45.15,45.75,1.33,-2.81,持平,平稳波动
000831,中国稀土,2025-12-19,4天,45.15,45.75,1.33,-2.81,持平,平稳波动
002530,金财互联,2025-12-17,6天,9.8,9.93,1.33,-3.88,放量,资金流入
000831,中国稀土,2025-12-19,4天,45.15,45.75,1.33,-2.81,持平,平稳波动
002427,尤夫股份,2025-12-15,8天,6.22,6.3,1.29,-3.54,放量,资金流入
601718,际华集团,2025-12-17,6天,3.33,3.37,1.2,-1.8,持平,平稳波动
601718,际华集团,2025-12-17,6天,3.33,3.37,1.2,-1.8,持平,平稳波动
601718,际华集团,2025-12-16,7天,3.33,3.37,1.2,-1.8,持平,平稳波动
603275,众辰科技,2025-12-03,20天,40.99,41.47,1.17,-3.71,持平,平稳波动
002456,欧菲光,2025-12-16,7天,10.55,10.67,1.14,-3.13,持平,平稳波动
000401,金隅冀东,2025-12-17,6天,4.45,4.5,1.12,-1.57,持平,平稳波动
002616,长青集团,2025-12-17,6天,5.45,5.51,1.1,-2.39,持平,平稳波动
002616,长青集团,2025-12-17,6天,5.45,5.51,1.1,-2.39,持平,平稳波动
603151,邦基科技,2025-12-15,8天,18.15,18.35,1.1,-3.42,持平,平稳波动
600976,健民集团,2025-12-12,11天,35.2,35.58,1.08,-1.16,持平,平稳波动
600976,健民集团,2025-12-12,11天,35.2,35.58,1.08,-1.16,持平,平稳波动
002568,百润股份,2025-12-17,6天,21.53,21.76,1.07,-1.53,持平,平稳波动
002568,百润股份,2025-12-17,6天,21.53,21.76,1.07,-1.53,持平,平稳波动
601766,中国中车,2025-12-15,8天,6.78,6.85,1.03,-1.03,持平,平稳波动
600548,深高速,2025-12-15,8天,8.8,8.89,1.02,-1.36,缩量,成交乏力
002867,周大生,2025-12-15,8天,12.07,12.19,0.99,-1.66,缩量,成交乏力
600760,中航沈飞,2025-12-15,8天,54.33,54.86,0.98,-2.63,持平,平稳波动
000932,华菱钢铁,2025-12-15,8天,5.49,5.54,0.91,-3.28,缩量,成交乏力
002797,第一创业,2025-12-09,14天,6.87,6.93,0.87,-1.46,持平,平稳波动
600211,西藏药业,2025-12-10,13天,42.06,42.39,0.78,-3.83,持平,平稳波动
603095,越剑智能,2025-12-08,15天,14.27,14.38,0.77,-4.56,放量,冲高回落 | 资金流入
603848,好太太,2025-12-17,6天,18.87,19.01,0.74,-2.12,放量,资金流入
603848,好太太,2025-12-17,6天,18.87,19.01,0.74,-2.12,放量,资金流入
600211,西藏药业,2025-12-09,14天,42.1,42.39,0.69,-3.92,放量,资金流入
603337,杰克科技,2025-11-28,25天,38.72,38.96,0.62,-1.91,持平,冲高回落
000045,深纺织Ａ,2025-12-18,5天,11.92,11.99,0.59,-1.43,放量,资金流入
603767,中马传动,2025-12-16,7天,23.63,23.77,0.59,-4.44,放量,资金流入
002797,第一创业,2025-12-11,12天,6.89,6.93,0.58,-1.74,缩量,成交乏力
000029,深深房Ａ,2025-12-12,11天,23.3,23.43,0.56,-7.21,缩量,成交乏力
000029,深深房Ａ,2025-12-12,11天,23.3,23.43,0.56,-7.21,缩量,成交乏力
002062,宏润建设,2025-12-19,4天,9.12,9.17,0.55,-5.59,持平,平稳波动
002062,宏润建设,2025-12-19,4天,9.12,9.17,0.55,-5.59,持平,平稳波动
002062,宏润建设,2025-12-19,4天,9.12,9.17,0.55,-5.59,持平,平稳波动
002543,万和电气,2025-12-15,8天,9.96,10.01,0.5,-2.51,缩量,成交乏力
605378,野马电池,2025-12-16,7天,22.41,22.51,0.45,-2.99,放量,资金流入
603630,拉芳家化,2025-12-11,12天,20.4,20.49,0.44,-3.82,放量,资金流入
600985,淮北矿业,2025-12-12,11天,11.35,11.4,0.44,-1.32,持平,平稳波动
603630,拉芳家化,2025-12-11,12天,20.4,20.49,0.44,-3.82,放量,资金流入
600985,淮北矿业,2025-12-12,11天,11.35,11.4,0.44,-1.32,持平,平稳波动
603859,能科科技,2025-12-19,4天,39.26,39.43,0.43,-0.36,持平,平稳波动
603859,能科科技,2025-12-19,4天,39.26,39.43,0.43,-0.36,持平,平稳波动
603859,能科科技,2025-12-19,4天,39.26,39.43,0.43,-0.36,持平,平稳波动
002410,广联达,2025-12-16,7天,12.25,12.3,0.41,-2.12,持平,平稳波动
002580,圣阳股份,2025-12-15,8天,12.46,12.5,0.32,-4.25,持平,平稳波动
002015,协鑫能科,2025-12-09,14天,9.96,9.99,0.3,-2.41,持平,平稳波动
002542,中化岩土,2025-12-19,4天,3.38,3.39,0.3,-2.96,放量,资金流入
002542,中化岩土,2025-12-19,4天,3.38,3.39,0.3,-2.96,放量,资金流入
002015,协鑫能科,2025-12-09,14天,9.96,9.99,0.3,-2.41,持平,平稳波动
000983,山西焦煤,2025-12-15,8天,6.56,6.58,0.3,-3.81,持平,平稳波动
002542,中化岩土,2025-12-19,4天,3.38,3.39,0.3,-2.96,放量,资金流入
600436,片仔癀,2025-12-03,20天,171.48,171.98,0.29,-2.72,持平,平稳波动
600422,昆药集团,2025-12-19,4天,12.46,12.49,0.24,-1.04,缩量,成交乏力
603086,先达股份,2025-12-19,4天,8.17,8.19,0.24,-1.96,持平,平稳波动
600422,昆药集团,2025-12-19,4天,12.46,12.49,0.24,-1.04,缩量,成交乏力
600422,昆药集团,2025-12-19,4天,12.46,12.49,0.24,-1.04,缩量,成交乏力
603086,先达股份,2025-12-19,4天,8.17,8.19,0.24,-1.96,持平,平稳波动
601099,太平洋,2025-12-09,14天,4.11,4.12,0.24,-2.19,缩量,成交乏力
603086,先达股份,2025-12-19,4天,8.17,8.19,0.24,-1.96,持平,平稳波动
605259,绿田机械,2025-12-19,4天,21.43,21.47,0.19,-1.96,持平,平稳波动
605259,绿田机械,2025-12-19,4天,21.43,21.47,0.19,-1.96,持平,平稳波动
605259,绿田机械,2025-12-19,4天,21.43,21.47,0.19,-1.96,持平,平稳波动
002410,广联达,2025-12-15,8天,12.28,12.3,0.16,-3.01,持平,平稳波动
600548,深高速,2025-12-12,11天,8.88,8.89,0.11,-2.25,放量,资金流入
600548,深高速,2025-12-12,11天,8.88,8.89,0.11,-2.25,放量,资金流入
600548,深高速,2025-12-17,6天,8.88,8.89,0.11,-0.9,缩量,成交乏力
600548,深高速,2025-12-17,6天,8.88,8.89,0.11,-0.9,缩量,成交乏力
601865,福莱特,2025-12-12,11天,15.57,15.58,0.06,-3.47,放量,资金流入
601865,福莱特,2025-12-12,11天,15.57,15.58,0.06,-3.47,放量,资金流入
601865,福莱特,2025-12-15,8天,15.57,15.58,0.06,-3.21,持平,平稳波动
002568,百润股份,2025-12-10,13天,21.75,21.76,0.05,-3.68,持平,平稳波动
603955,大千生态,2025-12-15,8天,30.33,30.34,0.03,-5.7,放量,资金流入
601162,天风证券,2025-12-19,4天,4.21,4.21,0.0,-2.38,放量,资金流入
603189,网达软件,2025-12-22,1天,20.08,20.08,0.0,-0.95,持平,平稳波动
002145,钛能化学,2025-12-22,1天,4.94,4.94,0.0,-1.62,持平,平稳波动
601162,天风证券,2025-12-19,4天,4.21,4.21,0.0,-2.38,放量,资金流入
601162,天风证券,2025-12-19,4天,4.21,4.21,0.0,-2.38,放量,资金流入
600779,水井坊,2025-12-22,1天,36.53,36.53,0.0,-0.79,缩量,成交乏力
603079,圣达生物,2025-12-22,1天,16.7,16.7,0.0,-0.9,放量,资金流入
603579,荣泰健康,2025-12-22,1天,23.42,23.42,0.0,-0.94,持平,平稳波动
603255,鼎际得,2025-12-22,1天,30.12,30.12,0.0,-2.72,放量,资金流入
001979,招商蛇口,2025-12-22,1天,8.71,8.71,0.0,-1.38,放量,资金流入
603939,益丰药房,2025-12-22,1天,22.06,22.06,0.0,-0.82,缩量,成交乏力
600375,汉马科技,2025-12-22,1天,6.11,6.11,0.0,-2.29,放量,资金流入
600131,国网信通,2025-12-22,1天,16.05,16.05,0.0,-1.56,放量,资金流入
600779,水井坊,2025-12-19,4天,36.56,36.53,-0.08,-2.11,持平,平稳波动
600779,水井坊,2025-12-19,4天,36.56,36.53,-0.08,-2.11,持平,平稳波动
600779,水井坊,2025-12-19,4天,36.56,36.53,-0.08,-2.11,持平,平稳波动
600976,健民集团,2025-12-11,12天,35.61,35.58,-0.08,-2.3,放量,资金流入
002423,中粮资本,2025-12-09,14天,11.63,11.62,-0.09,-3.7,缩量,成交乏力
601127,赛力斯,2025-12-17,6天,121.55,121.42,-0.11,-2.24,缩量,成交乏力
601127,赛力斯,2025-12-17,6天,121.55,121.42,-0.11,-2.24,缩量,成交乏力
000661,长春高新,2025-12-17,6天,95.31,95.19,-0.13,-2.62,缩量,成交乏力
002568,百润股份,2025-12-16,7天,21.79,21.76,-0.14,-2.8,缩量,成交乏力
603722,阿科力,2025-12-19,4天,37.19,37.13,-0.16,-0.4,持平,平稳波动
603722,阿科力,2025-12-19,4天,37.19,37.13,-0.16,-0.4,持平,平稳波动
603722,阿科力,2025-12-19,4天,37.19,37.13,-0.16,-0.4,持平,平稳波动
605378,野马电池,2025-12-17,6天,22.55,22.51,-0.18,-2.93,持平,平稳波动
