触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 两连阴 (-1.70%, -0.46%)",1,338.49,338.49,100.0%
量能: 放量 (2.34X),1,264.98,307.59,100.0%
"形态: 两连阴 (-4.46%, -0.18%)",1,253.71,296.2,100.0%
"形态: 两连阴 (-3.24%, -0.20%)",1,179.49,213.61,100.0%
量能: 放量 (2.13X),1,147.46,180.68,100.0%
量能: 放量 (1.66X) | 形态: 10日内有涨停,1,120.88,131.23,100.0%
"形态: 两连阴 (-5.36%, -1.82%)",1,115.52,138.47,100.0%
量能: 放量 (2.40X),1,115.38,145.78,100.0%
"形态: 两连阴 (-1.07%, -2.16%)",1,92.89,92.89,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.17%, -8.98%) | 趋势: 高于MA20",1,90.54,90.54,100.0%
"形态: 两连阴 (-0.13%, -2.14%)",1,81.79,83.16,100.0%
"量能: 放量 (1.78X) | 形态: 两连阴 (-1.12%, -0.39%)",1,76.24,91.09,100.0%
"形态: 两连阴 (-4.35%, -2.15%)",1,75.46,75.46,100.0%
"形态: 两连阴 (-3.24%, -1.48%)",1,73.29,77.91,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.91%, -4.85%) | 趋势: 高于MA20",1,73.19,87.66,100.0%
"形态: 两连阴 (-1.66%, -1.41%)",1,73.03,98.54,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-6.48%, -5.34%)",1,71.3,72.59,100.0%
"形态: 两连阴 (-0.06%, -0.16%)",1,66.91,66.91,100.0%
"形态: 两连阴 (-1.22%, -0.80%)",1,60.94,61.96,100.0%
"形态: 两连阴 (-1.44%, -1.26%)",1,59.33,86.52,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-8.68%, -0.95%)",1,59.04,69.38,100.0%
量能: 放量 (2.86X),1,58.85,75.66,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -1.99%)",1,56.11,56.68,100.0%
"形态: 两连阴 (-1.89%, -1.64%)",1,55.93,69.91,100.0%
