触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.27%, -0.64%) | 趋势: 高于MA20",1,30.43,30.43,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.97%, -3.23%)",1,21.28,21.99,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.29%, -0.72%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,20.92,22.42,100.0%
量能: 放量 (2.00X),1,18.13,18.13,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.20%, -1.41%)",1,17.04,20.95,100.0%
量能: 放量 (1.60X),1,16.39,18.0,100.0%
"形态: 两连阴 (-1.84%, -1.16%)",1,16.12,16.12,100.0%
量能: 放量 (1.75X) | 动量: 突破转强 (阳线上穿5/10),1,16.05,16.05,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.97%, -3.35%)",1,15.76,15.76,100.0%
"量能: 放量 (2.09X) | 形态: 两连阴 (-1.60%, -0.71%)",1,15.51,15.92,100.0%
"形态: 两连阴 (-0.26%, -4.01%)",1,14.71,15.36,100.0%
量能: 放量 (1.91X) | 形态: 10日内有涨停,1,14.71,14.88,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.96%, -1.08%)",1,14.66,14.66,100.0%
"形态: 两连阴 (-1.37%, -9.72%)",1,14.63,14.63,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.60%, -0.86%)",1,14.28,14.28,100.0%
"量能: 放量 (2.01X) | 形态: 两连阴 (-0.14%, -2.93%)",1,13.93,13.93,100.0%
量能: 放量 (2.15X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,13.685,17.22,100.0%
"形态: 两连阴 (-4.69%, -3.32%)",1,13.51,13.51,100.0%
"形态: 两连阴 (-0.84%, -0.85%)",1,13.39,13.39,100.0%
"形态: 两连阴 (-0.55%, -0.18%)",1,13.31,13.31,100.0%
"形态: 两连阴 (-0.18%, -2.93%)",1,13.21,13.21,100.0%
"形态: 两连阴 (-1.81%, -3.81%)",1,12.76,12.76,100.0%
量能: 放量 (1.53X),1,12.4,12.4,100.0%
"形态: 两连阴 (-1.02%, -3.62%)",1,12.22,12.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.34%, -2.22%)",1,12.19,14.34,100.0%
"形态: 两连阴 (-1.87%, -4.69%)",1,12.1,12.1,100.0%
"形态: 两连阴 (-1.89%, -1.84%)",1,11.72,11.72,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.18%, -1.46%)",1,11.5,15.27,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.03%, -5.08%)",1,11.45,11.45,100.0%
量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,11.01,17.3,100.0%
"形态: 两连阴 (-0.46%, -1.30%)",1,10.88,10.88,100.0%
"形态: 两连阴 (-1.05%, -1.25%)",1,10.33,10.33,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.98%, -1.37%) | 趋势: 高于MA20",1,10.29,10.29,100.0%
量能: 放量 (1.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.17,10.17,100.0%
"形态: 两连阴 (-0.55%, -0.09%)",1,10.16,11.25,100.0%
"形态: 两连阴 (-1.55%, -3.61%)",1,9.89,14.21,100.0%
"形态: 两连阴 (-1.72%, -2.49%)",1,9.71,9.71,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.82%, -2.99%)",1,9.61,13.36,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.68%, -1.16%)",1,9.51,9.51,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.64%, -5.14%) | 趋势: 高于MA20",1,9.51,9.51,100.0%
"形态: 两连阴 (-4.80%, -1.81%)",1,9.51,9.51,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.62%, -2.34%)",1,9.44,11.54,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.89%, -4.19%)",1,9.42,9.42,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.28%, -2.84%)",1,9.35,9.65,100.0%
量能: 放量 (2.04X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.34,9.34,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.71%, -1.71%)",1,8.89,9.98,100.0%
"形态: 两连阴 (-1.02%, -0.06%)",1,8.74,8.74,100.0%
量能: 放量 (2.60X) | 动量: 突破转强 (阳线上穿5/10),1,8.74,9.2,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.68%, -3.73%)",1,8.66,11.9,100.0%
"形态: 两连阴 (-3.50%, -0.14%)",1,8.56,12.42,100.0%
"形态: 两连阴 (-3.22%, -0.98%)",1,8.54,10.21,100.0%
量能: 放量 (1.99X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.5,10.23,100.0%
"形态: 两连阴 (-0.34%, -1.44%) | 动量: 突破转强 (阳线上穿5/10)",1,8.21,11.44,100.0%
量能: 放量 (1.73X) | 动量: 突破转强 (阳线上穿5/10),1,8.2,9.27,100.0%
"形态: 两连阴 (-3.61%, -7.40%)",1,8.14,12.39,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.91%, -5.54%)",1,8.12,8.66,100.0%
"形态: 两连阴 (-0.06%, -2.52%)",1,7.85,7.85,100.0%
"形态: 两连阴 (-1.20%, -2.13%)",1,7.84,7.84,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.81%, -1.08%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,7.7,7.7,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.09%, -0.88%)",1,7.63,7.63,100.0%
"形态: 两连阴 (-1.94%, -1.43%)",1,7.62,7.62,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,7.53,7.53,100.0%
量能: 放量 (2.14X),1,7.51,7.51,100.0%
"形态: 两连阴 (-1.19%, -2.09%)",1,7.4,7.4,100.0%
量能: 放量 (1.92X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.36,7.36,100.0%
"形态: 两连阴 (-0.56%, -1.50%)",1,7.33,7.33,100.0%
"形态: 两连阴 (-0.58%, -2.34%)",1,7.32,7.32,100.0%
量能: 放量 (2.18X),1,7.32,9.56,100.0%
量能: 放量 (1.71X) | 动量: 突破转强 (阳线上穿5/10),1,7.3,7.3,100.0%
"形态: 两连阴 (-0.36%, -1.45%)",1,7.28,8.86,100.0%
