触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.15X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,21.04,21.04,100.0%
量能: 放量 (1.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.65,12.65,100.0%
量能: 放量 (3.08X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,9.11,9.11,100.0%
量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.82,8.82,100.0%
量能: 放量 (1.91X) | 形态: 10日内有涨停,1,8.76,10.08,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.60%, -0.86%)",1,7.11,7.48,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.18%, -1.46%)",1,6.59,9.97,100.0%
"形态: 两连阴 (-0.90%, -0.90%)",1,6.1,6.1,100.0%
量能: 放量 (1.60X),1,4.78,4.78,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.29%, -0.72%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.68,4.68,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.27%, -0.64%) | 趋势: 高于MA20",1,4.43,4.43,100.0%
"形态: 两连阴 (-0.46%, -1.30%)",1,4.12,4.71,100.0%
"形态: 两连阴 (-0.26%, -4.01%)",1,3.82,3.82,100.0%
"形态: 两连阴 (-0.66%, -1.67%)",1,3.72,3.72,100.0%
趋势: 多头排列 (5>20>60),7,3.632857142857143,5.237142857142857,57.14%
"量能: 放量 (2.01X) | 形态: 两连阴 (-0.14%, -2.93%)",1,3.48,3.48,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.05,3.05,100.0%
"形态: 两连阴 (-1.02%, -0.06%)",1,2.91,4.53,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.48%, -5.07%)",1,2.61,2.61,100.0%
量能: 放量 (2.14X),1,2.43,2.96,100.0%
量能: 放量 (2.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.42,3.63,100.0%
量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.27,2.27,100.0%
"形态: 两连阴 (-3.74%, -1.61%)",1,2.2,3.03,100.0%
"形态: 两连阴 (-0.74%, -4.86%)",1,2.13,3.06,100.0%
量能: 放量 (1.89X),1,1.85,1.85,100.0%
量能: 放量 (2.00X),1,1.83,3.72,100.0%
"形态: 两连阴 (-0.29%, -0.73%)",1,1.8,3.31,100.0%
"形态: 两连阴 (-0.76%, -1.95%)",1,1.8,1.8,100.0%
量能: 放量 (1.88X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,1.64,1.64,50.0%
量能: 放量 (2.38X),1,1.4,1.75,100.0%
量能: 放量 (1.99X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,1.39,1.39,50.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.3,1.3,100.0%
量能: 放量 (2.09X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.28,1.28,100.0%
"形态: 两连阴 (-3.33%, -4.67%)",1,1.16,2.54,100.0%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),21,1.1242857142857143,1.937142857142857,52.38%
"形态: 两连阴 (-0.55%, -0.09%)",1,1.09,1.09,100.0%
"形态: 两连阴 (-0.22%, -3.12%)",1,1.07,1.07,100.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.01,2.03,100.0%
量能: 放量 (2.61X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.01,1.01,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.89%, -5.03%)",1,0.98,2.76,100.0%
趋势: 高于MA20,26,0.9426923076923076,1.986923076923077,50.0%
量能: 放量 (2.18X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,0.86,0.86,100.0%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),8,0.8349999999999999,1.655,50.0%
量能: 放量 (1.68X) | 趋势: 高于MA20,1,0.79,1.58,100.0%
量能: 放量 (1.73X),1,0.75,0.75,100.0%
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,0.74,1.16,100.0%
"形态: 两连阴 (-0.60%, -0.12%)",1,0.73,1.1,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,17,0.708235294117647,3.082941176470588,47.06%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,17,0.6852941176470587,2.211764705882353,58.82%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.89%, -4.19%)",1,0.66,1.47,100.0%
"形态: 两连阴 (-0.52%, -0.68%)",1,0.61,2.05,100.0%
"形态: 两连阴 (-0.43%, -1.22%)",1,0.54,3.32,100.0%
"形态: 两连阴 (-2.26%, -3.73%)",1,0.41,0.68,100.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停,2,0.30000000000000004,1.695,50.0%
"形态: 两连阴 (-0.24%, -1.54%)",1,0.25,2.07,100.0%
"形态: 两连阴 (-1.27%, -0.83%) | 趋势: 高于MA20",1,0.23,0.61,100.0%
量能: 放量 (1.98X),1,0.23,2.45,100.0%
