触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,57.71,88.36,100.0%
"形态: 两连阴 (-4.48%, -0.40%)",1,42.77,44.16,100.0%
"量能: 放量 (1.77X) | 形态: 两连阴 (-0.06%, -1.66%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,38.8,41.26,100.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,38.49,46.04,100.0%
"形态: 两连阴 (-2.02%, -2.95%)",1,37.89,75.59,100.0%
量能: 放量 (2.16X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,35.16,35.16,100.0%
"形态: 两连阴 (-9.94%, -3.07%)",1,34.11,34.11,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.27%, -3.38%) | 趋势: 高于MA20",1,33.68,40.18,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -2.06%) | 趋势: 高于MA20",1,32.31,37.11,100.0%
"形态: 两连阴 (-3.07%, -2.78%)",1,30.38,30.38,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,30.235,38.365,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.40%, -0.63%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,29.8,31.06,100.0%
量能: 放量 (1.50X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,27.88,46.115,100.0%
"形态: 两连阴 (-10.00%, -10.05%)",1,25.88,32.35,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.06%, -3.38%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,25.59,30.15,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.58%, -0.27%) | 趋势: 高于MA20",1,25.19,31.28,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,24.11,34.74,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.36X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,23.81,23.81,100.0%
"形态: 两连阴 (-2.61%, -3.85%)",1,22.16,22.16,100.0%
量能: 放量 (2.45X),1,22.02,22.82,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.75%, -2.29%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,19.84,21.01,100.0%
"形态: 两连阴 (-1.66%, -0.11%)",1,19.69,19.69,100.0%
"形态: 两连阴 (-4.22%, -2.78%) | 趋势: 高于MA20",1,19.08,19.08,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.02%, -0.36%) | 趋势: 高于MA20",1,18.51,27.65,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.64%, -2.78%) | 趋势: 高于MA20",1,17.87,18.31,100.0%
量能: 放量 (1.68X),1,17.35,17.35,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.50X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,17.26,17.97,100.0%
量能: 放量 (2.94X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,17.2,21.75,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.69%, -7.33%)",1,16.96,16.96,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.78%, -3.63%) | 趋势: 高于MA20",1,16.94,17.37,100.0%
量能: 放量 (2.21X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.56,16.56,100.0%
量能: 放量 (1.76X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.25,22.38,100.0%
"形态: 两连阴 (-1.61%, -3.11%)",1,15.92,19.03,100.0%
