触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 10日内有涨停 | 形态: 两连阴 (-0.97%, -3.23%)",1,49.06,67.61,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.64%, -5.14%) | 趋势: 高于MA20",1,38.92,38.92,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.57%, -3.94%)",1,36.56,46.79,100.0%
"形态: 两连阴 (-1.81%, -3.81%)",1,35.57,35.7,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.08%, -3.18%) | 趋势: 高于MA20",1,35.35,35.35,100.0%
量能: 放量 (1.62X),3,34.556666666666665,38.24666666666666,66.67%
"形态: 两连阴 (-4.80%, -1.81%)",1,31.66,31.79,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.00%, -0.41%) | 趋势: 高于MA20",1,31.53,32.87,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.82%, -2.99%)",1,30.26,46.84,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.68%, -0.57%) | 趋势: 高于MA20",1,29.73,39.44,100.0%
"形态: 两连阴 (-2.71%, -3.11%)",1,29.48,32.9,100.0%
量能: 放量 (2.04X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,29.04,37.54,100.0%
量能: 放量 (1.92X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,28.77,36.685,100.0%
量能: 放量 (1.96X) | 动量: 突破转强 (阳线上穿5/10),1,27.76,30.33,100.0%
"形态: 两连阴 (-4.69%, -3.32%)",1,27.02,41.92,100.0%
量能: 放量 (2.00X),1,26.49,28.25,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,26.46,37.7,100.0%
