组合条件,样本总数,上涨家数,平均涨跌%,胜率%
缩量,6,6,7.89,100.0
RSI低位+放量,1,1,1.03,100.0
RSI低位+KDJ低位+缩量,3,3,0.77,100.0
RSI低位+KDJ低位+放量,41,35,2.53,85.37
RSI低位+KDJ低位,59,47,1.55,79.66
KDJ低位,54,39,1.98,72.22
常规,109,69,1.69,63.3
放量,87,54,1.2,62.07
KDJ低位+放量,40,21,0.51,52.5
KDJ低位+缩量,3,1,-0.57,33.33
RSI低位,2,0,-0.84,0.0
