触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 10日内有涨停 | 形态: 两连阴 (-1.45%, -1.39%) | 动量: 突破转强 (阳线上穿5/10)",1,21.04,21.04,100.0%
"形态: 两连阴 (-2.14%, -1.60%)",1,21.03,21.03,100.0%
"形态: 两连阴 (-2.62%, -0.51%)",1,18.0,18.0,100.0%
"形态: 两连阴 (-6.16%, -1.99%)",1,12.65,12.65,100.0%
"量能: 放量 (2.08X) | 形态: 两连阴 (-4.96%, -5.04%)",1,10.2,10.2,100.0%
量能: 放量 (1.55X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.17,9.17,100.0%
量能: 放量 (1.64X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.85,8.85,100.0%
"形态: 两连阴 (-3.46%, -1.26%)",1,8.39,9.97,100.0%
量能: 放量 (1.58X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.03,8.03,100.0%
量能: 放量 (2.24X) | 动量: 突破转强 (阳线上穿5/10),1,7.34,10.07,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.70%, -2.11%)",1,6.88,6.88,100.0%
"形态: 两连阴 (-1.89%, -0.18%)",1,6.52,6.52,100.0%
"形态: 两连阴 (-9.96%, -3.31%)",1,6.49,6.49,100.0%
"形态: 两连阴 (-5.11%, -1.58%)",1,6.46,6.46,100.0%
"形态: 两连阴 (-1.44%, -0.42%)",1,6.22,6.22,100.0%
"形态: 两连阴 (-1.48%, -3.95%)",1,6.1,6.1,100.0%
"形态: 两连阴 (-0.45%, -0.68%)",1,5.8,5.8,100.0%
"形态: 两连阴 (-0.88%, -1.13%)",1,5.79,5.79,100.0%
"形态: 两连阴 (-3.32%, -1.05%)",1,5.67,5.67,100.0%
"形态: 两连阴 (-3.41%, -2.14%)",1,5.36,5.36,100.0%
"形态: 两连阴 (-1.21%, -0.35%)",1,5.29,5.29,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.63X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.25,5.25,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.48%, -0.92%) | 趋势: 高于MA20",1,5.22,5.22,100.0%
"形态: 两连阴 (-1.31%, -1.02%)",1,5.07,6.15,100.0%
"形态: 两连阴 (-0.38%, -1.14%)",1,4.87,4.87,100.0%
"形态: 两连阴 (-1.90%, -0.97%)",1,4.81,4.81,100.0%
量能: 放量 (1.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.81,4.81,100.0%
"形态: 两连阴 (-0.19%, -0.19%)",1,4.73,4.73,100.0%
"形态: 两连阴 (-0.57%, -1.46%)",1,4.58,4.58,100.0%
"形态: 两连阴 (-0.19%, -3.45%)",1,4.54,4.54,100.0%
"形态: 两连阴 (-3.43%, -2.17%)",1,4.51,4.51,100.0%
"形态: 两连阴 (-1.37%, -0.32%)",1,4.5,4.5,100.0%
"形态: 两连阴 (-0.41%, -0.21%) | 趋势: 高于MA20",1,4.44,4.44,100.0%
"形态: 两连阴 (-2.04%, -0.69%)",1,4.42,9.86,100.0%
"形态: 两连阴 (-0.67%, -2.22%)",1,4.33,4.33,100.0%
"形态: 两连阴 (-1.09%, -0.88%)",1,4.22,4.22,100.0%
"形态: 两连阴 (-0.71%, -2.05%)",1,4.21,4.21,100.0%
"形态: 两连阴 (-0.82%, -0.83%)",1,4.08,4.08,100.0%
