触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
量能: 放量 (2.11X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,66.23,66.23,100.0%
"形态: 两连阴 (-2.02%, -2.95%)",1,58.06,75.59,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.18%, -2.06%) | 趋势: 高于MA20",1,32.7,33.15,100.0%
量能: 放量 (1.50X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,31.765,31.765,50.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,31.12,46.04,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.27%, -3.38%) | 趋势: 高于MA20",1,30.57,30.57,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,28.84,30.51,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.06%, -3.38%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,25.97,26.4,100.0%
量能: 放量 (2.16X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,25.43,25.43,100.0%
"量能: 放量 (1.77X) | 形态: 两连阴 (-0.06%, -1.66%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,25.15,25.39,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.70X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,24.475,38.365,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.63X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,22.88,22.88,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.58%, -0.27%) | 趋势: 高于MA20",1,22.27,22.27,100.0%
量能: 放量 (2.45X),1,20.07,22.82,100.0%
"形态: 两连阴 (-4.48%, -0.40%)",1,19.13,19.13,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.02%, -0.36%) | 趋势: 高于MA20",1,18.36,27.65,100.0%
"形态: 两连阴 (-2.31%, -3.14%)",1,16.97,20.46,100.0%
"形态: 两连阴 (-10.00%, -10.05%)",1,15.29,15.29,100.0%
量能: 放量 (2.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,14.57,14.57,100.0%
"形态: 两连阴 (-1.20%, -4.88%)",1,14.02,18.87,100.0%
量能: 放量 (1.68X),1,13.53,14.41,100.0%
量能: 放量 (1.76X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.45,22.38,100.0%
量能: 放量 (2.32X) | 动量: 突破转强 (阳线上穿5/10),1,12.98,18.24,100.0%
量能: 放量 (2.38X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.82,16.86,100.0%
量能: 放量 (2.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.71,17.5,100.0%
"形态: 两连阴 (-1.61%, -3.11%)",1,12.66,13.77,100.0%
"形态: 两连阴 (-9.94%, -3.07%)",1,12.63,17.19,100.0%
量能: 放量 (1.62X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,12.48,17.76,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.12%, -2.49%)",1,11.83,24.45,100.0%
量能: 放量 (1.50X),1,11.28,12.1,100.0%
"形态: 两连阴 (-0.50%, -2.82%)",1,11.11,18.73,100.0%
"形态: 两连阴 (-1.72%, -3.11%)",1,11.09,11.91,100.0%
"形态: 两连阴 (-0.96%, -0.19%)",1,10.97,10.97,100.0%
"形态: 两连阴 (-27.03%, -3.95%)",1,10.71,10.71,100.0%
"形态: 两连阴 (-5.18%, -0.78%)",1,10.66,12.46,100.0%
量能: 放量 (2.35X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.55,11.39,100.0%
量能: 放量 (2.94X) | 形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,10.52,16.35,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.36%, -1.94%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,10.22,18.87,100.0%
"形态: 两连阴 (-1.16%, -1.40%)",1,10.12,17.7,100.0%
"形态: 两连阴 (-0.77%, -5.71%)",1,10.07,10.07,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.50X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.99,9.99,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.67%, -4.24%) | 趋势: 高于MA20",1,9.98,9.98,100.0%
"形态: 两连阴 (-1.08%, -3.86%)",1,9.97,9.97,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.72X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,9.51,14.075,100.0%
"形态: 两连阴 (-3.07%, -2.78%)",1,9.49,13.92,100.0%
"形态: 两连阴 (-1.42%, -5.14%) | 趋势: 高于MA20",1,9.32,10.34,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.74%, -0.59%)",1,9.27,18.15,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.44%, -0.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.16,9.59,100.0%
量能: 放量 (1.51X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.09,9.09,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.54X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,9.04,16.37,100.0%
"形态: 两连阴 (-2.59%, -0.37%)",1,8.83,8.83,100.0%
量能: 放量 (2.01X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,8.73,8.73,100.0%
量能: 放量 (1.69X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4,8.627500000000001,10.05,75.0%
"形态: 两连阴 (-9.98%, -1.20%)",1,8.46,13.08,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.64%, -2.78%) | 趋势: 高于MA20",1,8.39,18.31,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.40%, -0.63%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,8.3,8.3,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.98,14.71,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.24%, -1.73%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,7.94,7.94,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-3.65%, -2.88%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,7.85,25.74,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.94X),1,7.68,21.69,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.78%, -3.63%) | 趋势: 高于MA20",1,7.54,17.37,100.0%
"形态: 两连阴 (-0.90%, -1.22%) | 趋势: 高于MA20",1,7.54,7.54,100.0%
"形态: 两连阴 (-1.66%, -0.11%)",1,7.41,7.41,100.0%
"形态: 两连阴 (-2.44%, -1.29%) | 趋势: 高于MA20",1,7.39,16.04,100.0%
量能: 放量 (2.36X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,7.37,7.49,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,7.29,24.27,50.0%
"形态: 两连阴 (-3.84%, -0.15%)",1,7.24,10.1,100.0%
量能: 放量 (1.61X),1,7.13,13.29,100.0%
"形态: 两连阴 (-3.24%, -0.15%)",1,6.98,9.77,100.0%
"形态: 两连阴 (-3.37%, -0.51%)",1,6.96,7.55,100.0%
"形态: 两连阴 (-0.71%, -5.44%)",1,6.89,14.54,100.0%
"形态: 两连阴 (-0.30%, -6.00%)",1,6.88,6.88,100.0%
"形态: 两连阴 (-0.28%, -1.39%)",1,6.79,8.31,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.50%, -7.32%)",1,6.72,13.54,100.0%
"量能: 放量 (2.03X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.43%, -0.91%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.38,6.38,100.0%
"形态: 两连阴 (-1.23%, -1.19%)",1,5.96,5.96,100.0%
"形态: 两连阴 (-0.86%, -2.16%)",1,5.88,5.88,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.69%, -7.33%)",1,5.7,5.7,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.35%, -0.35%) | 趋势: 高于MA20",1,5.67,13.22,100.0%
量能: 放量 (3.05X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.6,5.6,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.20%, -0.11%)",1,5.59,12.93,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.81X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.58,5.58,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.85X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,5.51,5.51,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.60%, -3.14%) | 趋势: 高于MA20",1,5.38,5.38,100.0%
"形态: 两连阴 (-0.07%, -0.15%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,5.34,8.42,100.0%
量能: 放量 (1.59X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,5.24,7.6000000000000005,50.0%
量能: 放量 (2.26X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.21,5.21,100.0%
量能: 放量 (1.78X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.08,10.01,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.51%, -1.77%) | 趋势: 高于MA20",1,5.08,9.92,100.0%
"形态: 两连阴 (-1.22%, -0.88%)",1,4.99,6.57,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.03%, -0.90%)",1,4.96,7.7,100.0%
量能: 放量 (1.87X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,4.9350000000000005,10.85,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.08%, -1.71%) | 趋势: 高于MA20",1,4.9,5.9,100.0%
量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.79,7.18,100.0%
"形态: 两连阴 (-0.84%, -1.69%)",2,4.73,7.880000000000001,50.0%
量能: 放量 (1.99X),2,4.59,8.605,100.0%
