代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
002911,2026-07-15,10.36,8.8,-15.06,-9.85,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603889,2026-07-15,5.54,5.84,5.42,5.6,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002243,2026-07-15,7.01,9.88,40.94,69.76,1,12,量能: 放量 (2.67X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600756,2026-07-15,14.13,9.22,-34.75,-33.05,0,12,形态: 10日内有涨停 | 趋势: 高于MA20
603317,2026-07-15,13.9,4.69,-66.26,-65.97,0,12,"形态: 两连阴 (-3.03%, -1.12%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
600644,2026-07-15,8.07,7.43,-7.93,8.18,0,12,动量: 突破转强 (阳线上穿5/10)
600382,2026-07-15,6.32,6.35,0.47,1.74,1,12,动量: 突破转强 (阳线上穿5/10)
000828,2026-07-15,9.98,6.21,-37.78,-36.27,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000048,2026-07-15,21.11,18.81,-10.9,-1.99,0,12,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.73%, -3.75%)"
002593,2026-07-15,4.31,4.27,-0.93,-0.7,0,12,量能: 放量 (2.06X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002245,2026-07-15,20.54,15.88,-22.69,-9.98,0,12,形态: 10日内有涨停 | 趋势: 高于MA20
000553,2026-07-15,5.44,6.74,23.9,28.86,1,12,量能: 放量 (2.41X)
002540,2026-07-15,4.79,5.01,4.59,4.59,1,12,动量: 突破转强 (阳线上穿5/10)
600737,2026-07-15,12.02,6.92,-42.43,-42.43,0,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002815,2026-07-15,15.41,10.65,-30.89,-27.9,0,12,形态: 10日内有涨停
600279,2026-07-15,4.18,4.24,1.44,1.67,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000948,2026-07-15,13.54,15.78,16.54,16.54,1,12,形态: 10日内有涨停 | 趋势: 高于MA20
002852,2026-07-15,7.69,10.35,34.59,53.84,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603331,2026-07-15,11.0,11.4,3.64,5.27,1,12,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
