触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.95X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,22.97,22.97,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.78X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,21.75,21.75,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.67%, -2.70%) | 趋势: 高于MA20",1,20.94,20.94,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.93X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,19.7,33.04,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.50X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,19.68,19.68,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.92%, -2.80%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,19.19,19.19,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.24X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,18.81,18.81,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.50X),1,16.6,16.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.33%, -1.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,15.56,15.56,100.0%
量能: 放量 (2.01X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.44,19.72,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.81X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,13.85,13.85,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.77%, -1.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,13.6,15.69,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,10.845,11.49,50.0%
"形态: 两连阴 (-1.12%, -1.60%)",1,9.94,9.94,100.0%
"量能: 放量 (1.77X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.76%, -0.44%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.24,9.24,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.91%, -0.46%) | 趋势: 高于MA20",1,8.82,21.05,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-10.00%, -1.14%)",1,8.05,8.05,100.0%
"形态: 两连阴 (-0.54%, -2.44%)",1,8.03,21.08,100.0%
量能: 放量 (1.65X) | 趋势: 高于MA20,1,7.14,7.14,100.0%
量能: 放量 (2.19X),1,6.45,6.45,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.67X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,6.425000000000001,6.58,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-3.31%, -0.35%) | 趋势: 高于MA20",1,6.04,6.04,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.92,5.92,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.19X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.56,5.56,100.0%
量能: 放量 (2.87X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.44,6.35,100.0%
量能: 放量 (2.29X) | 动量: 突破转强 (阳线上穿5/10),1,5.31,5.92,100.0%
量能: 放量 (1.94X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,5.29,5.29,100.0%
量能: 放量 (2.40X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.2,7.7,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.08X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,5.07,8.115,50.0%
量能: 放量 (2.57X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,5.05,5.05,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,4.97,9.045,50.0%
量能: 放量 (1.80X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,4.8149999999999995,8.14,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.32%, -2.12%) | 趋势: 高于MA20",1,4.61,9.98,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.58%, -1.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.55,16.67,100.0%
量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.53,9.4,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.2,5.47,100.0%
"量能: 放量 (1.52X) | 形态: 两连阴 (-1.38%, -0.31%)",1,4.01,4.01,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.15%, -1.61%) | 趋势: 高于MA20",1,3.99,3.99,100.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.62,3.62,100.0%
"形态: 两连阴 (-0.15%, -2.70%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,3.43,21.04,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.39X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.24,6.49,100.0%
量能: 放量 (1.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.21,8.97,100.0%
"形态: 两连阴 (-0.56%, -0.38%)",1,3.21,10.02,100.0%
"量能: 放量 (1.55X) | 形态: 两连阴 (-1.50%, -1.67%)",1,3.18,4.43,100.0%
"形态: 两连阴 (-0.37%, -1.39%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,3.03,3.03,100.0%
"形态: 两连阴 (-0.24%, -0.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,2.98,12.02,100.0%
量能: 放量 (1.62X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,2.9699999999999998,3.46,100.0%
"形态: 两连阴 (-1.25%, -0.23%)",1,2.89,2.89,100.0%
"形态: 两连阴 (-0.14%, -1.28%)",1,2.75,2.89,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.76X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,2.705,3.16,50.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.37%, -0.33%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,2.64,17.06,100.0%
"形态: 两连阴 (-0.18%, -0.80%) | 趋势: 高于MA20",1,2.62,2.62,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,2.59,3.473333333333333,100.0%
量能: 放量 (1.73X) | 趋势: 高于MA20,1,2.57,2.57,100.0%
"形态: 两连阴 (-0.10%, -0.10%) | 动量: 突破转强 (阳线上穿5/10)",1,2.37,11.96,100.0%
量能: 放量 (1.50X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,2.3000000000000003,3.07,50.0%
"形态: 两连阴 (-1.28%, -0.57%)",1,2.16,2.3,100.0%
量能: 放量 (1.65X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.15,2.15,100.0%
