代码,名称,信号日期,策略类型,信号价,当前总涨跌,平均表现,首次盈利天数,首次亏损天数,持仓天数,走势流,风险预警
600589,大位科技,20260218,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260218,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002698,博实股份,20251231,A_Strong_Pullback (中风险接力),17.05,-20.47%,-17.15%,6,1,144,-----++++++-++++--------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002403,爱仕达,20251231,B_Low_Position_Start (低风险埋伏),12.9,-25.19%,-16.45%,6,1,145,-----+++--+++++----------------------------------------------------------------------------------------------------------------------------------,深度套牢
002361,神剑股份,20251231,E_Leader_Restart (二次启动),13.04,-21.40%,11.49%,1,12,153,+++++++++++------------++++++-+++++------++----------++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++----------------------------------,深度套牢 | 冲高回落
002201,九鼎新材,20251231,E_Leader_Restart (二次启动),11.94,-32.75%,-4.13%,6,1,153,-----+-++-+++++++++++++++++++++++++++++++++--------------------++-+++++++++++++++++++++--++----------------+++++++---------------------------------------,深度套牢 | 冲高回落
002363,隆基机械,20251231,E_Leader_Restart (二次启动),10.8,-40.46%,-27.51%,从未,1,153,---------------------------------------------------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002202,金风科技,20251231,E_Leader_Restart (二次启动),20.2,-1.78%,22.14%,1,126,153,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++-----------------+++-++++++-,冲高回落
600736,苏州高新,20251231,E_Leader_Restart (二次启动),6.75,-0.89%,3.79%,1,36,145,+++++++++++++++++++++++++++++++++++----------------------------------+++++++++++++++++++++++++++++++++++++++++++++--------++--+--------------+---,冲高回落
000987,越秀资本,20251231,E_Leader_Restart (二次启动),8.12,-3.57%,7.98%,1,58,144,+++++++++++++++++++++++++++++++++++++++++++++++++++++++++--++++++++++++++++++++++++++++++++---------++------++++---+-+++------------------------,冲高回落
600589,大位科技,20260219,E_Leader_Restart (二次启动),13.19,-37.98%,-21.61%,53,1,115,----------------------------------------------------+----+---------------------------------------------------------,深度套牢
001330,博纳影业,20260219,E_Leader_Restart (二次启动),12.77,-59.28%,-43.64%,从未,1,111,---------------------------------------------------------------------------------------------------------------,长期未回正 | 深度套牢
002682,龙洲股份,20251211,E_Leader_Restart (二次启动),9.86,-53.85%,-38.63%,1,4,167,+++--------------------------------------------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000735,罗 牛 山,20251211,E_Leader_Restart (二次启动),10.14,-47.93%,-32.78%,1,4,154,+++---+++-------------------------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000505,京粮控股,20251211,E_Leader_Restart (二次启动),8.54,-33.96%,-22.33%,3,1,154,--+-------+++---------------------------------------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
000532,华金资本,20251211,E_Leader_Restart (二次启动),15.44,-29.60%,-12.36%,4,1,158,---+++-++++++++++++++++++++++++++++++++++++++++---------------------------------------------------------------------------------------------------------------,深度套牢 | 冲高回落
601872,招商轮船,20260403,E_Leader_Restart (二次启动),19.47,-6.63%,-13.16%,1,4,86,+++-----------------+------------------------------++++-------------------------------,冲高回落
002584,西陇科学,20260122,E_Leader_Restart (二次启动),9.95,-16.18%,-16.53%,97,1,131,------------------------------------------------------------------------------------------------+++---++---------------------------,深度套牢 | 冲高回落
603916,苏博特,20260122,E_Leader_Restart (二次启动),12.06,-9.20%,1.03%,1,10,131,+++++++++-+++++++++++-----------------------------------------++-+++++++++++++++++++++++++++++++++++++++++-------------------------,冲高回落
002579,中京电子,20251230,A_Strong_Pullback (中风险接力),12.25,-3.67%,13.02%,3,1,142,--+++++---++--+++++-------------++++-----+++-+-+-+-------+-++++++++++++++++-+-++++++++++++++++++++++++++++++++++++++++++++++++++++-----+------,冲高回落
000913,钱江摩托,20251230,B_Low_Position_Start (低风险埋伏),15.73,-26.57%,-14.08%,7,1,146,------++++++++++-----+--+++-------+-----++++++++--------++----------------------------------------------------------------------------------------,深度套牢 | 冲高回落
002560,通达股份,20251230,E_Leader_Restart (二次启动),10.33,-41.05%,-5.22%,7,1,154,------+-+++++++++++----+--+--+++++++++++++++++----------++++++++++++++++++++++++++++++--------------------------------------------------------------------,深度套牢 | 冲高回落
002201,九鼎新材,20251230,E_Leader_Restart (二次启动),11.21,-28.37%,2.11%,1,2,154,+---++++++++++++++++++++++++++++++++++++++++++++-------++++--+-++++++++++++++++++++++++++++++++---------+-+++++++++---------------------------------------,深度套牢 | 冲高回落
600992,贵绳股份,20260717,E_Leader_Restart (二次启动),11.35,-8.02%,1.40%,1,11,16,++++++++++------,冲高回落
603577,汇金通,20260717,E_Leader_Restart (二次启动),10.16,2.85%,3.27%,1,3,16,++-+++++++-----+,正常
