代码,名称,最后日期,涨停日,调整天数,现价
000566,海南海药,2026-08-04,2026-07-30,3,5.86
000506,招金黄金,2026-08-04,2026-07-31,2,14.82
600449,宁夏建材,2026-08-10,2026-08-07,1,13.95
600985,淮北矿业,2026-08-10,2026-08-06,2,16.86
600272,开开实业,2026-08-10,2026-08-07,1,14.27
