代码,名称,信号日期,策略类型,信号时价格,当前价格,累计涨跌幅,状态,数据更新于
002536,飞龙股份,20251222,E_Leader_Restart (二次启动),28.68,30.4,6.00%,涨,2025-12-22
603123,翠微股份,20251222,E_Leader_Restart (二次启动),13.98,14.23,1.79%,涨,2025-12-22
002355,兴民智通,20251222,E_Leader_Restart (二次启动),6.43,6.36,-1.09%,跌,2025-12-22
603221,爱丽家居,20251222,E_Leader_Restart (二次启动),13.55,13.36,-1.40%,跌,2025-12-22
002985,北摩高科,20251222,E_Leader_Restart (二次启动),31.28,30.68,-1.92%,跌,2025-12-22
600605,汇通能源,20251222,B_Low_Position_Start (低风险埋伏),30.12,29.37,-2.49%,跌,2025-12-22
603703,盛洋科技,20251222,E_Leader_Restart (二次启动),14.75,13.97,-5.29%,跌,2025-12-22
002536,飞龙股份,20251221,E_Leader_Restart (二次启动),28.68,30.4,6.00%,涨,2025-12-22
603123,翠微股份,20251221,E_Leader_Restart (二次启动),13.98,14.23,1.79%,涨,2025-12-22
002355,兴民智通,20251221,E_Leader_Restart (二次启动),6.43,6.36,-1.09%,跌,2025-12-22
603221,爱丽家居,20251221,E_Leader_Restart (二次启动),13.55,13.36,-1.40%,跌,2025-12-22
002985,北摩高科,20251221,E_Leader_Restart (二次启动),31.28,30.68,-1.92%,跌,2025-12-22
600605,汇通能源,20251221,B_Low_Position_Start (低风险埋伏),30.12,29.37,-2.49%,跌,2025-12-22
603703,盛洋科技,20251221,E_Leader_Restart (二次启动),14.75,13.97,-5.29%,跌,2025-12-22
002536,飞龙股份,20251220,E_Leader_Restart (二次启动),28.68,30.4,6.00%,涨,2025-12-22
603123,翠微股份,20251220,E_Leader_Restart (二次启动),13.98,14.23,1.79%,涨,2025-12-22
002355,兴民智通,20251220,E_Leader_Restart (二次启动),6.43,6.36,-1.09%,跌,2025-12-22
603221,爱丽家居,20251220,E_Leader_Restart (二次启动),13.55,13.36,-1.40%,跌,2025-12-22
002985,北摩高科,20251220,E_Leader_Restart (二次启动),31.28,30.68,-1.92%,跌,2025-12-22
600605,汇通能源,20251220,B_Low_Position_Start (低风险埋伏),30.12,29.37,-2.49%,跌,2025-12-22
603703,盛洋科技,20251220,E_Leader_Restart (二次启动),14.75,13.97,-5.29%,跌,2025-12-22
000546,金圆股份,20251219,E_Leader_Restart (二次启动),6.8,7.79,14.56%,涨,2025-12-22
001317,三羊马,20251219,E_Leader_Restart (二次启动),53.5,58.07,8.54%,涨,2025-12-22
603057,紫燕食品,20251219,B_Low_Position_Start (低风险埋伏),18.97,19.68,3.74%,涨,2025-12-22
002871,伟隆股份,20251219,A_Strong_Pullback (中风险接力),15.74,15.89,0.95%,涨,2025-12-22
603057,紫燕食品,20251218,B_Low_Position_Start (低风险埋伏),18.97,19.68,3.74%,涨,2025-12-22
000716,黑芝麻,20251218,E_Leader_Restart (二次启动),6.55,6.65,1.53%,涨,2025-12-22
