代码,名称,单阳日期,洗盘天数,今日收盘
600732,爱旭股份,2026-02-09,6,14.46
603618,杭电股份,2026-02-09,6,15.14
002716,湖南白银,2026-02-09,6,15.87
002340,格林美,2026-02-11,4,9.84
002806,华锋股份,2026-02-10,5,16.5
002054,德美化工,2026-02-09,6,10.79
600207,安彩高科,2026-02-10,5,5.42
