代码,信号日期,组合条件,初始价格,当前价格,区间涨跌%,是否盈利
601162,2025-12-19,KDJ低位,4.21,4.21,0.0,0
603867,2025-12-19,KDJ低位,24.85,25.24,1.57,1
603255,2025-12-19,KDJ低位,29.5,30.12,2.1,1
600779,2025-12-19,KDJ低位+放量,36.56,36.53,-0.08,0
002062,2025-12-19,KDJ低位,9.12,9.17,0.55,1
000831,2025-12-19,常规,45.15,45.75,1.33,1
002145,2025-12-19,放量,4.87,4.94,1.44,1
603786,2025-12-19,放量,72.72,74.8,2.86,1
603722,2025-12-19,RSI低位+KDJ低位,37.19,37.13,-0.16,0
603630,2025-12-19,放量,20.61,20.49,-0.58,0
605588,2025-12-19,常规,49.37,50.27,1.82,1
603086,2025-12-19,常规,8.17,8.19,0.24,1
600422,2025-12-19,RSI低位+KDJ低位,12.46,12.49,0.24,1
603859,2025-12-19,常规,39.26,39.43,0.43,1
002542,2025-12-19,KDJ低位,3.38,3.39,0.3,1
302132,2025-12-19,常规,76.69,76.25,-0.57,0
605259,2025-12-19,常规,21.43,21.47,0.19,1
000002,2025-12-12,常规,5.02,4.93,-1.79,0
000029,2025-12-12,缩量,23.3,23.43,0.56,1
600325,2025-12-12,KDJ低位+放量,4.41,4.37,-0.91,0
600048,2025-12-12,KDJ低位,6.42,6.34,-1.25,0
605377,2025-12-12,RSI低位+KDJ低位+放量,7.76,8.72,12.37,1
002180,2025-12-12,放量,18.62,19.25,3.38,1
600985,2025-12-12,RSI低位+KDJ低位+放量,11.35,11.4,0.44,1
600079,2025-12-12,KDJ低位,18.15,19.35,6.61,1
600548,2025-12-12,RSI低位+KDJ低位+放量,8.88,8.89,0.11,1
002017,2025-12-12,常规,20.91,21.47,2.68,1
600395,2025-12-12,RSI低位+KDJ低位+放量,4.62,4.72,2.16,1
600976,2025-12-12,RSI低位+KDJ低位+放量,35.2,35.58,1.08,1
600967,2025-12-12,KDJ低位+放量,16.42,16.27,-0.91,0
000932,2025-12-12,RSI低位+KDJ低位+放量,5.37,5.54,3.17,1
601865,2025-12-12,KDJ低位+放量,15.57,15.58,0.06,1
001289,2025-12-12,RSI低位+KDJ低位+放量,15.33,15.22,-0.72,0
000524,2025-12-12,放量,12.02,12.9,7.32,1
000995,2025-12-12,放量,12.27,13.05,6.36,1
002867,2025-12-12,RSI低位+KDJ低位+放量,11.95,12.19,2.01,1
603806,2025-12-12,放量,13.87,13.35,-3.75,0
600007,2025-12-12,RSI低位+KDJ低位+放量,18.76,19.06,1.6,1
600500,2025-12-12,KDJ低位,3.84,3.91,1.82,1
601216,2025-12-12,KDJ低位+放量,4.74,4.81,1.48,1
605050,2025-12-02,放量,13.3,12.93,-2.78,0
603275,2025-12-03,常规,40.99,41.47,1.17,1
603486,2025-12-02,常规,77.93,79.0,1.37,1
603950,2025-12-03,常规,29.86,29.6,-0.87,0
605198,2025-12-03,放量,38.96,36.59,-6.08,0
600498,2025-12-03,常规,22.72,28.55,25.66,1
002025,2025-12-03,放量,41.82,46.77,11.84,1
002543,2025-12-03,RSI低位+KDJ低位,10.6,10.01,-5.57,0
603266,2025-12-03,常规,20.45,22.31,9.1,1
600650,2025-12-03,常规,14.25,16.08,12.84,1
600436,2025-12-03,RSI低位+KDJ低位+放量,171.48,171.98,0.29,1
002423,2025-12-03,KDJ低位+放量,11.75,11.62,-1.11,0
000818,2025-12-03,常规,20.41,18.99,-6.96,0
603093,2025-12-03,放量,18.88,19.61,3.87,1
601618,2025-12-02,常规,3.24,3.01,-7.1,0
605050,2025-12-02,放量,13.3,12.93,-2.78,0
603009,2025-12-02,常规,40.36,41.76,3.47,1
603486,2025-12-02,常规,77.93,79.0,1.37,1
002180,2025-12-02,KDJ低位,18.67,19.25,3.11,1
600446,2025-12-02,常规,15.67,15.52,-0.96,0
603444,2025-12-02,常规,437.74,446.39,1.98,1
002674,2025-12-02,缩量,12.96,14.19,9.49,1
603701,2025-11-28,缩量,17.55,20.28,15.56,1
601098,2025-12-02,RSI低位+KDJ低位,11.17,11.07,-0.9,0
002025,2025-12-02,放量,42.6,46.77,9.79,1
601618,2025-12-02,常规,3.24,3.01,-7.1,0
603867,2025-12-17,RSI低位+KDJ低位+放量,24.14,25.24,4.56,1
002869,2025-12-17,KDJ低位+放量,22.87,24.65,7.78,1
601127,2025-12-17,常规,121.55,121.42,-0.11,0
000677,2025-12-17,RSI低位+KDJ低位,4.05,4.31,6.42,1
000661,2025-12-17,KDJ低位,95.31,95.19,-0.13,0
002456,2025-12-17,RSI低位+KDJ低位,10.47,10.67,1.91,1
600094,2025-12-17,KDJ低位,4.06,4.25,4.68,1
002616,2025-12-17,RSI低位+KDJ低位,5.45,5.51,1.1,1
002568,2025-12-17,KDJ低位,21.53,21.76,1.07,1
002365,2025-12-17,RSI低位+KDJ低位,14.95,15.19,1.61,1
000819,2025-12-17,RSI低位+KDJ低位+放量,15.66,16.95,8.24,1
000710,2025-12-17,KDJ低位+放量,11.31,11.58,2.39,1
002640,2025-12-17,放量,4.34,4.46,2.76,1
600845,2025-12-17,RSI低位+KDJ低位,20.03,20.38,1.75,1
600079,2025-12-17,放量,18.1,19.35,6.91,1
600548,2025-12-17,RSI低位+KDJ低位+缩量,8.88,8.89,0.11,1
600316,2025-12-17,RSI低位+KDJ低位,30.51,31.2,2.26,1
605378,2025-12-17,放量,22.55,22.51,-0.18,0
002179,2025-12-17,常规,32.88,34.18,3.95,1
603848,2025-12-17,KDJ低位+放量,18.87,19.01,0.74,1
603117,2025-12-17,RSI低位+KDJ低位,4.75,4.83,1.68,1
002951,2025-12-17,KDJ低位,13.0,14.67,12.85,1
603818,2025-12-17,RSI低位+KDJ低位,3.55,3.71,4.51,1
002017,2025-12-17,放量,20.9,21.47,2.73,1
002530,2025-12-17,放量,9.8,9.93,1.33,1
000617,2025-12-17,放量,9.06,9.21,1.66,1
605286,2025-12-17,KDJ低位+放量,37.68,37.19,-1.3,0
002674,2025-12-17,常规,12.92,14.19,9.83,1
000702,2025-12-17,RSI低位+KDJ低位+放量,6.56,6.83,4.12,1
600560,2025-12-17,RSI低位+KDJ低位,15.55,15.93,2.44,1
603605,2025-12-17,KDJ低位+放量,67.78,69.1,1.95,1
002037,2025-12-17,KDJ低位+放量,9.39,9.9,5.43,1
002959,2025-12-17,放量,42.93,43.97,2.42,1
600749,2025-12-17,KDJ低位+放量,16.86,17.1,1.42,1
003040,2025-12-17,放量,18.34,19.59,6.82,1
600178,2025-12-17,常规,11.6,12.02,3.62,1
002324,2025-12-17,KDJ低位,12.34,12.72,3.08,1
000401,2025-12-17,放量,4.45,4.5,1.12,1
601718,2025-12-17,RSI低位+KDJ低位,3.33,3.37,1.2,1
601162,2025-12-19,KDJ低位,4.21,4.21,0.0,0
603867,2025-12-19,KDJ低位,24.85,25.24,1.57,1
603255,2025-12-19,KDJ低位,29.5,30.12,2.1,1
600779,2025-12-19,KDJ低位+放量,36.56,36.53,-0.08,0
002062,2025-12-19,KDJ低位,9.12,9.17,0.55,1
000831,2025-12-19,常规,45.15,45.75,1.33,1
002145,2025-12-19,放量,4.87,4.94,1.44,1
603786,2025-12-19,放量,72.72,74.8,2.86,1
603722,2025-12-19,RSI低位+KDJ低位,37.19,37.13,-0.16,0
603630,2025-12-19,放量,20.61,20.49,-0.58,0
605588,2025-12-19,常规,49.37,50.27,1.82,1
603086,2025-12-19,常规,8.17,8.19,0.24,1
600422,2025-12-19,RSI低位+KDJ低位,12.46,12.49,0.24,1
603859,2025-12-19,常规,39.26,39.43,0.43,1
002542,2025-12-19,KDJ低位,3.38,3.39,0.3,1
302132,2025-12-19,常规,76.69,76.25,-0.57,0
605259,2025-12-19,常规,21.43,21.47,0.19,1
603867,2025-12-17,RSI低位+KDJ低位+放量,24.14,25.24,4.56,1
002869,2025-12-17,KDJ低位+放量,22.87,24.65,7.78,1
601127,2025-12-17,常规,121.55,121.42,-0.11,0
000661,2025-12-18,常规,95.36,95.19,-0.18,0
002456,2025-12-17,RSI低位+KDJ低位,10.47,10.67,1.91,1
600094,2025-12-17,KDJ低位,4.06,4.25,4.68,1
