触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.91%, -0.46%) | 趋势: 高于MA20",1,10.06,10.06,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.33%, -0.11%) | 趋势: 高于MA20",1,10.02,10.02,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.59X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,10.02,10.02,100.0%
形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),1,10.0,10.0,100.0%
"形态: 两连阴 (-1.43%, -0.75%) | 动量: 突破转强 (阳线上穿5/10)",1,10.0,10.0,100.0%
"形态: 两连阴 (-0.15%, -2.70%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,10.0,10.0,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.33%, -1.42%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.1,9.1,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.58%, -1.18%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,8.74,8.74,100.0%
"形态: 两连阴 (-0.83%, -1.20%)",1,6.39,6.39,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.77%, -1.22%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.38,6.38,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.86X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,6.17,6.17,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.10%, -0.78%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,6.13,6.13,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.28%, -0.49%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,5.91,5.91,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.67X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,4.73,4.73,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20,2,4.345000000000001,4.345000000000001,50.0%
"量能: 放量 (1.77X) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.76%, -0.44%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,4.1,4.1,100.0%
量能: 放量 (1.56X),1,3.79,3.79,100.0%
形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),4,3.76,3.76,75.0%
"量能: 放量 (1.55X) | 形态: 两连阴 (-1.50%, -1.67%)",1,3.73,3.73,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-3.56%, -0.83%) | 趋势: 高于MA20",1,3.66,3.66,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,3.64,3.64,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.71%, -0.95%) | 趋势: 高于MA20",1,2.88,2.88,100.0%
量能: 放量 (1.81X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.71,2.71,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.74X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,2.24,2.24,100.0%
"形态: 两连阴 (-0.24%, -0.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,1.79,1.79,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.62X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.62,1.62,100.0%
"形态: 两连阴 (-0.37%, -1.39%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,1.59,1.59,100.0%
量能: 放量 (1.71X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.58,1.58,100.0%
量能: 放量 (1.70X),1,1.35,1.35,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.56X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.07,1.07,100.0%
"形态: 两连阴 (-0.40%, -0.93%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.67,0.67,100.0%
"形态: 两连阴 (-0.14%, -1.28%)",1,0.58,0.58,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.35%, -0.15%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,0.55,0.55,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,0.42,0.42,100.0%
