触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
"形态: 10日内有涨停 | 形态: 两连阴 (-0.97%, -3.23%)",1,52.35,52.35,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-0.57%, -3.94%)",1,46.79,46.79,100.0%
"形态: 两连阴 (-4.69%, -3.32%)",1,41.92,41.92,100.0%
"形态: 两连阴 (-1.87%, -4.69%)",1,40.17,40.17,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.68%, -0.57%) | 趋势: 高于MA20",1,39.44,39.44,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.96X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,37.7,37.7,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.82%, -2.99%)",1,33.49,33.49,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.20%, -1.41%)",1,31.47,31.47,100.0%
"形态: 两连阴 (-0.06%, -1.92%)",1,31.41,31.41,100.0%
"形态: 两连阴 (-1.84%, -1.16%)",1,30.83,30.83,100.0%
量能: 放量 (1.92X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,30.545,30.545,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.96%, -1.08%)",1,30.18,30.18,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.97%, -3.35%)",1,29.96,29.96,100.0%
"形态: 两连阴 (-0.64%, -0.06%)",1,28.29,28.29,100.0%
量能: 放量 (1.60X),1,28.24,28.24,100.0%
量能: 放量 (2.04X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,28.08,37.54,100.0%
量能: 放量 (1.53X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,27.59,27.59,100.0%
量能: 放量 (1.62X),3,26.85666666666667,29.02,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.18%, -1.46%)",1,26.21,26.61,100.0%
量能: 放量 (2.00X),1,26.14,26.14,100.0%
"形态: 两连阴 (-1.89%, -1.84%)",1,25.88,25.88,100.0%
量能: 放量 (1.73X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,25.61,25.61,100.0%
"形态: 两连阴 (-1.27%, -0.83%) | 趋势: 高于MA20",1,25.52,25.52,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.27%, -0.64%) | 趋势: 高于MA20",1,25.51,31.01,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.08%, -3.18%) | 趋势: 高于MA20",1,24.53,24.53,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.00%, -0.41%) | 趋势: 高于MA20",1,24.42,26.52,100.0%
"形态: 两连阴 (-2.20%, -3.22%)",1,24.11,24.11,100.0%
"形态: 两连阴 (-1.81%, -3.81%)",1,23.84,24.27,100.0%
量能: 放量 (1.96X) | 动量: 突破转强 (阳线上穿5/10),1,23.53,23.66,100.0%
量能: 放量 (2.15X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,22.915000000000003,25.1,100.0%
量能: 放量 (2.38X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,22.08,22.08,100.0%
"形态: 两连阴 (-1.20%, -2.13%)",1,21.62,21.82,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-2.29%, -0.72%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,21.34,22.42,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,21.0,21.0,100.0%
"形态: 两连阴 (-1.94%, -1.43%)",1,20.3,20.3,100.0%
"形态: 两连阴 (-4.80%, -1.81%)",1,20.28,20.69,100.0%
量能: 放量 (3.05X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,19.42,19.48,100.0%
量能: 放量 (1.65X),1,19.39,19.39,100.0%
量能: 放量 (1.70X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,19.3,19.44,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (1.75X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,18.765,20.285,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-5.08%, -1.96%)",1,18.65,18.65,100.0%
"形态: 两连阴 (-1.72%, -2.49%)",1,18.63,18.63,100.0%
"形态: 两连阴 (-3.22%, -0.98%)",1,18.59,18.59,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.80%, -3.94%)",1,18.54,18.64,100.0%
量能: 放量 (1.91X) | 形态: 10日内有涨停,1,18.18,18.18,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-6.47%, -1.54%)",1,18.13,18.13,100.0%
量能: 放量 (1.68X),2,17.6,17.6,100.0%
"形态: 两连阴 (-0.80%, -2.15%)",1,17.56,17.56,100.0%
"形态: 两连阴 (-2.71%, -3.11%)",1,16.97,16.97,100.0%
趋势: 多头排列 (5>20>60) | 量能: 放量 (2.72X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,16.92,16.92,100.0%
"形态: 两连阴 (-1.68%, -1.94%)",1,16.72,16.72,100.0%
"形态: 两连阴 (-1.02%, -3.62%)",1,16.71,16.71,100.0%
"形态: 两连阴 (-0.29%, -0.73%)",1,16.6,16.6,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-4.81%, -1.08%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,16.46,16.46,100.0%
"形态: 两连阴 (-7.39%, -1.61%)",1,16.0,16.0,100.0%
"量能: 放量 (2.09X) | 形态: 两连阴 (-1.60%, -0.71%)",1,15.92,20.82,100.0%
"形态: 两连阴 (-0.55%, -0.09%)",1,15.88,15.88,100.0%
量能: 放量 (2.60X) | 动量: 突破转强 (阳线上穿5/10),1,15.48,15.48,100.0%
"形态: 两连阴 (-0.34%, -1.44%) | 动量: 突破转强 (阳线上穿5/10)",1,15.28,15.28,100.0%
"形态: 两连阴 (-1.28%, -2.52%)",1,15.16,15.16,100.0%
"形态: 两连阴 (-1.05%, -1.25%)",1,15.15,15.15,100.0%
"形态: 两连阴 (-0.55%, -0.18%)",1,14.83,15.11,100.0%
量能: 放量 (1.69X) | 动量: 突破转强 (阳线上穿5/10),1,14.79,14.79,100.0%
"形态: 两连阴 (-0.18%, -2.93%)",1,14.72,15.0,100.0%
量能: 放量 (1.53X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.72,14.72,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-5.64%, -5.14%) | 趋势: 高于MA20",1,14.56,22.83,100.0%
量能: 放量 (3.05X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,14.16,14.16,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.34%, -2.22%)",1,14.16,14.34,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.68%, -3.73%)",1,13.88,13.88,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.12%, -2.24%)",1,13.7,13.7,100.0%
量能: 放量 (2.32X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,13.665,14.709999999999999,100.0%
量能: 放量 (2.18X),1,13.46,18.05,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.28%, -2.84%)",1,13.27,13.27,100.0%
