代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
605228,2026-07-07,14.49,13.78,-4.9,1.66,0,6,趋势: 高于MA20
605228,2026-07-13,13.88,13.78,-0.72,3.24,0,2,趋势: 高于MA20
605228,2026-07-10,14.31,13.78,-3.7,0.14,0,3,趋势: 高于MA20
605228,2026-07-03,14.46,13.78,-4.7,3.11,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
605228,2026-07-09,14.73,13.78,-6.45,-2.72,0,4,"形态: 两连阴 (-2.82%, -3.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
605228,2026-07-01,13.61,13.78,1.25,9.55,1,10,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
601636,2026-07-07,7.75,6.55,-15.48,-6.45,0,6,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-7.47%, -6.53%)"
601636,2026-07-13,6.74,6.55,-2.82,3.12,0,2,"形态: 两连阴 (-0.55%, -1.80%)"
601636,2026-07-10,7.08,6.55,-7.49,-1.84,0,3,"形态: 10日内有涨停 | 形态: 两连阴 (-6.45%, -0.55%)"
601636,2026-07-03,8.42,6.55,-22.21,-6.53,0,8,"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-4.50%, -6.86%) | 趋势: 高于MA20"
601636,2026-07-09,7.21,6.55,-9.15,-1.8,0,4,"形态: 10日内有涨停 | 形态: 两连阴 (-1.52%, -6.45%)"
601636,2026-07-01,9.77,6.55,-32.96,-6.86,0,10,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
600966,2026-07-13,4.56,4.66,2.19,2.19,1,2,"量能: 放量 (1.83X) | 形态: 两连阴 (-0.41%, -0.20%)"
600966,2026-07-10,4.9,4.66,-4.9,-4.9,0,3,"形态: 两连阴 (-3.14%, -0.41%)"
600966,2026-07-03,5.04,4.66,-7.54,3.17,0,8,动量: 突破转强 (阳线上穿5/10)
600966,2026-07-09,4.91,4.66,-5.09,-0.2,0,4,"形态: 两连阴 (-2.12%, -3.14%)"
002629,2026-07-10,4.56,4.41,-3.29,-3.07,0,3,"形态: 两连阴 (-1.12%, -0.68%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)"
002629,2026-07-03,4.67,4.41,-5.57,-1.93,0,8,动量: 突破转强 (阳线上穿5/10)
002629,2026-07-09,4.37,4.41,0.92,4.35,1,4,"形态: 两连阴 (-2.84%, -1.12%)"
002629,2026-07-01,4.58,4.41,-3.71,1.97,0,10,动量: 突破转强 (阳线上穿5/10)
001313,2026-07-07,8.07,7.67,-4.96,0.5,0,6,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
001313,2026-07-13,7.29,7.67,5.21,5.21,1,2,形态: 10日内有涨停
001313,2026-07-10,8.1,7.67,-5.31,-5.31,0,3,形态: 10日内有涨停 | 趋势: 高于MA20
001313,2026-07-03,7.77,7.67,-1.29,4.38,0,8,形态: 10日内有涨停 | 趋势: 高于MA20
001313,2026-07-09,8.11,7.67,-5.43,-0.12,0,4,形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
001313,2026-07-01,7.8,7.67,-1.67,10.0,0,10,量能: 放量 (1.56X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002811,2026-07-03,11.86,10.66,-10.12,-5.14,0,8,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002811,2026-07-09,10.95,10.66,-2.65,1.1,0,4,"形态: 两连阴 (-3.02%, -1.65%)"
002811,2026-07-01,11.5,10.66,-7.3,3.13,0,10,"形态: 两连阴 (-0.09%, -0.18%)"
002406,2026-07-13,6.12,6.45,5.39,5.39,1,2,"形态: 两连阴 (-4.35%, -4.41%)"
002406,2026-07-03,6.95,6.45,-7.19,2.45,0,8,动量: 突破转强 (阳线上穿5/10)
605337,2026-07-03,8.7,8.9,2.3,2.3,1,8,动量: 突破转强 (阳线上穿5/10)
000712,2026-07-03,9.05,8.37,-7.51,-1.22,0,8,趋势: 高于MA20
000712,2026-07-09,8.49,8.37,-1.41,0.82,0,4,"形态: 两连阴 (-3.80%, -1.74%)"
