代码,信号日期,信号价格,当前价格,当前收益%,最高收益%,是否获利,持有天数,触发条件
003042,2026-04-30,17.09,17.37,1.64,1.64,1,3,动量: 突破转强 (阳线上穿5/10)
003042,2026-05-06,17.15,17.37,1.28,1.28,1,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002237,2026-04-30,16.61,16.12,-2.95,3.19,0,7,趋势: 高于MA20
002237,2026-05-06,17.05,16.12,-5.45,0.53,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603022,2026-04-30,11.3,11.69,3.45,3.45,1,3,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603022,2026-05-06,11.46,11.69,2.01,2.01,1,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000862,2026-04-30,6.47,7.12,10.05,16.38,1,7,趋势: 高于MA20
000862,2026-05-06,6.79,7.12,4.86,10.9,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
000407,2026-04-30,4.84,4.45,-8.06,-1.86,0,7,量能: 放量 (1.83X) | 趋势: 高于MA20
000407,2026-05-06,4.75,4.45,-6.32,-1.68,0,6,趋势: 高于MA20
002669,2026-04-30,13.47,14.35,6.53,6.53,1,3,"形态: 两连阴 (-2.79%, -2.87%) | 趋势: 高于MA20"
002669,2026-05-06,13.54,14.35,5.98,5.98,1,2,"形态: 两连阴 (-2.87%, -0.59%) | 趋势: 高于MA20"
002345,2026-04-30,10.57,9.93,-6.05,-0.09,0,7,量能: 放量 (2.22X)
000948,2026-05-06,15.17,15.47,1.98,1.98,1,2,量能: 放量 (1.51X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600802,2026-04-30,5.66,5.66,0.0,3.89,0,7,动量: 突破转强 (阳线上穿5/10)
600802,2026-05-06,5.75,5.66,-1.57,2.26,0,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600643,2026-05-06,4.88,4.96,1.64,1.64,1,2,动量: 突破转强 (阳线上穿5/10)
603356,2026-04-30,19.1,19.22,0.63,0.63,1,3,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603356,2026-05-06,19.08,19.22,0.73,0.73,1,2,趋势: 高于MA20
600051,2026-04-30,7.77,7.87,1.29,1.29,1,3,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
600051,2026-05-06,7.86,7.87,0.13,0.13,1,2,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002277,2026-04-30,6.17,6.74,9.24,9.24,1,7,量能: 放量 (1.86X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
002277,2026-05-06,6.22,6.74,8.36,8.36,1,6,趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)
603335,2026-04-30,7.07,7.42,4.95,4.95,1,3,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
603335,2026-05-06,7.05,7.42,5.25,5.25,1,2,趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20
600191,2026-04-30,12.7,11.6,-8.66,1.26,0,7,趋势: 高于MA20
600191,2026-05-06,12.79,11.6,-9.3,0.55,0,6,趋势: 高于MA20
