触发条件,出现次数,平均收益%,历史最高涨幅平均%,胜率
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),2,46.15,49.699999999999996,50.0%
趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,35.54,35.54,100.0%
形态: 10日内有涨停,5,26.1,37.492,100.0%
形态: 10日内有涨停 | 动量: 突破转强 (阳线上穿5/10),7,20.882857142857144,30.307142857142857,100.0%
"形态: 两连阴 (-0.39%, -6.14%)",1,18.57,24.58,100.0%
动量: 突破转强 (阳线上穿5/10),31,14.641612903225806,18.948709677419355,93.55%
"形态: 两连阴 (-1.64%, -2.25%) | 趋势: 高于MA20",1,14.04,19.66,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.19%, -0.99%) | 趋势: 高于MA20",1,13.55,13.55,100.0%
量能: 放量 (1.51X),1,10.42,10.42,100.0%
趋势: 高于MA20,86,9.105348837209302,10.772209302325582,82.56%
"形态: 两连阴 (-0.66%, -1.10%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,9.01,9.01,100.0%
趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),90,7.7845555555555555,12.435333333333334,80.0%
形态: 10日内有涨停 | 趋势: 高于MA20,13,7.416923076923077,13.886153846153844,76.92%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-2.95%, -0.14%) | 趋势: 高于MA20",1,6.66,6.66,100.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.96%, -0.38%)",1,6.4,6.4,100.0%
量能: 放量 (1.79X) | 形态: 10日内有涨停 | 趋势: 高于MA20,1,6.38,11.03,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.76%, -3.65%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,5.07,5.07,100.0%
形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),20,4.808999999999999,11.875499999999999,80.0%
"形态: 两连阴 (-0.47%, -1.72%) | 趋势: 高于MA20",1,4.52,4.52,100.0%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),3,3.89,7.669999999999999,66.67%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-0.15%, -0.75%) | 趋势: 高于MA20",1,2.32,2.32,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.73%, -4.80%) | 趋势: 高于MA20",1,1.63,6.05,100.0%
量能: 放量 (2.05X) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,1.31,1.31,100.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.30%, -0.28%) | 趋势: 高于MA20",1,0.88,9.61,100.0%
趋势: 多头排列 (5>20>60) | 趋势: 高于MA20,11,0.8300000000000001,4.325454545454545,63.64%
量能: 放量 (1.60X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-0.21,5.26,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-2.57%, -4.95%) | 趋势: 高于MA20",1,-0.67,13.54,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-0.28%, -2.81%)",1,-1.4,9.64,0.0%
趋势: 多头排列 (5>20>60),1,-1.69,15.69,0.0%
"形态: 两连阴 (-2.50%, -2.46%)",1,-2.37,-0.24,0.0%
量能: 放量 (1.52X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-6.08,4.42,0.0%
"形态: 两连阴 (-0.39%, -0.86%) | 趋势: 高于MA20",1,-6.15,1.1,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-1.79%, -3.52%) | 趋势: 高于MA20",1,-6.38,-6.0,0.0%
量能: 放量 (2.09X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-6.46,2.69,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 两连阴 (-1.17%, -0.20%) | 趋势: 高于MA20",1,-7.39,-1.0,0.0%
"形态: 两连阴 (-1.35%, -0.64%) | 趋势: 高于MA20",1,-7.95,5.71,0.0%
量能: 放量 (1.63X) | 形态: 10日内有涨停 | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10),1,-8.37,10.31,0.0%
"趋势: 多头排列 (5>20>60) | 形态: 10日内有涨停 | 形态: 两连阴 (-1.51%, -3.24%) | 趋势: 高于MA20 | 动量: 突破转强 (阳线上穿5/10)",1,-13.31,4.61,0.0%
"形态: 10日内有涨停 | 形态: 两连阴 (-4.37%, -0.51%)",1,-60.31,2.58,0.0%
