code,name,当时价格,涨跌,30日均换手,今日量比,RSI6,K值,距60日线空间%
002952,亚世光电,21.34,跌,2.96,1.67,76.54,74.94,4.24
600234,科新发展,21.22,涨,1.62,1.09,84.63,82.5,-10.41
000425,徐工机械,8.24,涨,1.31,2.69,75.86,52.01,-3.15
002631,德尔未来,9.16,涨,4.52,1.81,100.0,89.75,13.02
000035,中国天楹,4.91,涨,1.83,0.71,42.86,51.2,-3.95
002655,共达电声,31.27,涨,7.41,1.14,94.88,84.97,-11.14
603758,秦安股份,11.53,涨,1.12,2.13,94.9,89.1,15.01
603585,苏利股份,10.34,涨,1.49,1.04,96.79,93.52,-15.96
000735,罗 牛 山,5.9,涨,4.73,1.02,81.52,51.05,13.8
002349,精华制药,6.89,涨,2.31,1.32,69.05,87.78,4.38
601179,中国西电,14.07,跌,3.26,0.77,74.5,73.54,-3.63
002697,红旗连锁,4.77,涨,1.6,2.25,80.0,75.69,5.46
002014,永新股份,10.91,跌,0.53,0.96,34.88,54.99,1.02
002343,慈文传媒,5.23,涨,3.07,0.84,80.43,84.18,6.8
603598,引力传媒,18.79,涨,7.32,2.7,95.14,59.18,8.05
002100,天康生物,7.28,涨,1.22,1.22,6.61,7.44,-3.75
000633,合金投资,5.35,涨,2.51,0.96,84.62,91.02,2.4
603600,永艺股份,9.72,涨,1.46,0.93,64.38,71.2,-0.85
603506,南都物业,11.51,涨,2.99,1.37,83.94,56.09,13.48
600232,金鹰股份,6.67,涨,1.57,0.84,79.17,80.48,6.39
600724,宁波富达,5.2,涨,0.75,0.9,75.0,85.78,-11.35
600281,华阳新材,4.94,涨,3.86,0.46,69.66,66.08,13.15
601399,国机重装,3.25,涨,0.92,1.45,80.77,71.92,-2.04
600707,彩虹股份,8.98,跌,3.5,0.95,39.34,20.58,-16.61
002373,千方科技,7.91,涨,1.61,0.79,46.87,67.53,3.14
601198,东兴证券,13.82,涨,0.82,0.82,48.84,61.76,2.64
002031,巨轮智能,5.12,跌,6.28,0.63,16.49,38.59,-8.45
601377,兴业证券,5.91,涨,1.08,0.65,11.76,17.7,-1.65
002065,东华软件,7.45,涨,1.67,0.66,64.79,72.07,2.21
603058,永吉股份,10.3,涨,2.15,0.6,100.0,90.33,9.56
603015,弘讯科技,10.88,涨,1.57,0.98,100.0,89.6,-4.3
000570,苏常柴Ａ,5.05,涨,2.2,1.23,63.64,73.84,-2.13
600755,厦门国贸,5.68,涨,0.72,0.89,32.14,23.86,-0.99
002860,星帅尔,16.54,跌,7.26,0.65,47.31,31.0,9.51
